"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","522470000","540963000","2.66","325000","","","/mutual-fund/holding-history/11108/1036/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","506425000","491700000","2.41","2500000","","","/mutual-fund/holding-history/11108/412/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","534990000","487590000","2.39","300000","-100000","-25","/mutual-fund/holding-history/11108/710819/"
"Indian Bank","INDIANB","532814","Financial Services","478040000","452640000","2.22","800000","","","/mutual-fund/holding-history/11108/609/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","424990000","452160000","2.22","100000","","","/mutual-fund/holding-history/11108/914/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","422235000","449020000","2.2","1100000","","","/mutual-fund/holding-history/11108/629/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","466500000","445650000","2.19","15000","8000","114.29","/mutual-fund/holding-history/11108/1226/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","420125000","436075000","2.14","50000","","","/mutual-fund/holding-history/11108/964/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","519060000","435870000","2.14","30000","-13250","-30.64","/mutual-fund/holding-history/11108/202203/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","406080000","432000000","2.12","200000","90000","81.82","/mutual-fund/holding-history/11108/1437/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","451200000","425720000","2.09","80000","","","/mutual-fund/holding-history/11108/1023/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","420595000","420665000","2.07","700000","160000","29.63","/mutual-fund/holding-history/11108/790/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","421470000","420604000","2.07","1575000","","","/mutual-fund/holding-history/11108/755501/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","414600000","420528000","2.06","80000","","","/mutual-fund/holding-history/11108/1311/"
