"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","527670000","578940000","2.71","30000","","","/mutual-fund/holding-history/11108/202203/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","574700000","560350000","2.62","250000","25000","11.11","/mutual-fund/holding-history/11108/67/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","572640000","528480000","2.47","300000","","","/mutual-fund/holding-history/11108/710819/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","514025000","505150000","2.36","2500000","","","/mutual-fund/holding-history/11108/412/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","525395000","499558000","2.34","325000","","","/mutual-fund/holding-history/11108/1036/"
"Indian Bank","INDIANB","532814","Financial Services","506160000","493280000","2.31","800000","","","/mutual-fund/holding-history/11108/609/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","492030000","468230000","2.19","350000","50000","16.67","/mutual-fund/holding-history/11108/141324/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","458010000","467694000","2.19","1800000","","","/mutual-fund/holding-history/11108/189/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","434885000","452155000","2.12","1100000","440000","66.67","/mutual-fund/holding-history/11108/556/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","460521004.4","451192000","2.11","136783","","","/mutual-fund/holding-history/11108/463/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","481520000","451040000","2.11","80000","","","/mutual-fund/holding-history/11108/1023/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","443450000","426370000","2","14000","","","/mutual-fund/holding-history/11108/18/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","451340000","426120000","1.99","100000","","","/mutual-fund/holding-history/11108/914/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","409238827.2","425324000","1.99","1546632","-28368","-1.8","/mutual-fund/holding-history/11108/755501/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","484150000","423125000","1.98","50000","","","/mutual-fund/holding-history/11108/964/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","423850000","417515000","1.95","700000","","","/mutual-fund/holding-history/11108/790/"
