"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2972738580","3247510000","3.51","197393","","","/mutual-fund/holding-history/9311/60393/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2886930712.75","2949271000","3.19","3744155","-292320","-7.24","/mutual-fund/holding-history/9311/606/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","3100374728","2936719000","3.18","2674120","","","/mutual-fund/holding-history/9311/276825/"
"Marico Ltd","MARICO","531642","Consumer Defensive","2856193682.7","2836629000","3.07","3992722","36768","0.93","/mutual-fund/holding-history/9311/840/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","3106432770","2573941000","2.79","195410","2289","1.19","/mutual-fund/holding-history/9311/1263/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","2720927760","2567273000","2.78","482434","-17602","-3.52","/mutual-fund/holding-history/9311/1023/"
"Coforge Ltd","COFORGE","532541","Technology","2688359580","2321332000","2.51","317773","31458","10.99","/mutual-fund/holding-history/9311/942/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2310524010","2252742000","2.44","49386","8615","21.13","/mutual-fund/holding-history/9311/994/"
"Lupin Ltd","LUPIN","500257","Healthcare","1991416596","2118920000","2.29","1011128","123959","13.97","/mutual-fund/holding-history/9311/804/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2327038704.3","2115170000","2.29","1301403","","","/mutual-fund/holding-history/9311/710819/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","2192036793.6","1980924000","2.14","3160376","","","/mutual-fund/holding-history/9311/293/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","2107197787.5","1860994000","2.01","2081183","84496","4.23","/mutual-fund/holding-history/9311/864/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1910067650.3","1851970000","2","9416158","127688","1.37","/mutual-fund/holding-history/9311/412/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","1823705527","1834033000","1.98","348901","17991","5.44","/mutual-fund/holding-history/9311/1311/"
"Indian Bank","INDIANB","532814","Financial Services","1858197520.9","1760938000","1.91","3112298","549812","21.46","/mutual-fund/holding-history/9311/609/"
"BSE Ltd","BSE","","Financial Services","631264082.5","1670846000","1.81","262753","","","/mutual-fund/holding-history/9311/52884/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","1663251201.3","1613816000","1.75","2354046","38469","1.66","/mutual-fund/holding-history/9311/424/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","1745055875","1588673000","1.72","363175","","","/mutual-fund/holding-history/9311/94155/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1571755171.2","1575155000","1.7","641428","","","/mutual-fund/holding-history/9311/1090/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1630693400","1573065000","1.7","307678","5077","1.68","/mutual-fund/holding-history/9311/683/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","1618226551.2","1556466000","1.68","1110809","18727","1.71","/mutual-fund/holding-history/9311/642/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1723738482","1511865000","1.64","933365","126895","15.73","/mutual-fund/holding-history/9311/91/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","1435339879.2","1509131000","1.63","695484","18320","2.71","/mutual-fund/holding-history/9311/897/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1423774282.5","1361243000","1.47","222135","","","/mutual-fund/holding-history/9311/853/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","1183794056.2","1276520000","1.38","829394","-68813","-7.66","/mutual-fund/holding-history/9311/1410/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1181107936.6","1267669000","1.37","1771972","121285","7.35","/mutual-fund/holding-history/9311/701/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1288380038.4","1239687000","1.34","573531","12643","2.25","/mutual-fund/holding-history/9311/478/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","1330330741.5","1230086000","1.33","2010930","367923","22.39","/mutual-fund/holding-history/9311/1288/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","1127290192.2","1218578000","1.32","455526","62000","15.75","/mutual-fund/holding-history/9311/153/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","1120442839.6","1191541000","1.29","263522","6280","2.44","/mutual-fund/holding-history/9311/914/"
"Mphasis Ltd","MPHASIS","526299","Technology","1177593690","1146934000","1.24","464534","","","/mutual-fund/holding-history/9311/881/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","1106038558.5","1133517000","1.23","922083","","","/mutual-fund/holding-history/9311/407835/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1214655470","1127972000","1.22","218071","","","/mutual-fund/holding-history/9311/1412/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1377465994.4","1122923000","1.22","3575048","","","/mutual-fund/holding-history/9311/175/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1078252051.8","1109446000","1.2","666534","15736","2.42","/mutual-fund/holding-history/9311/1036/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","1389351366","1081833000","1.17","707265","19407","2.82","/mutual-fund/holding-history/9311/80210/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","1182993000.3","1064629000","1.15","713463","58591","8.95","/mutual-fund/holding-history/9311/262/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","1090811250","1047278000","1.13","35250","6443","22.37","/mutual-fund/holding-history/9311/1226/"
"SRF Ltd","SRF","503806","Industrials","1000207935.1","1043851000","1.13","346921","-86268","-19.91","/mutual-fund/holding-history/9311/1283/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","1169320216.8","1027169000","1.11","787103","21592","2.82","/mutual-fund/holding-history/9311/845/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","1287480150","1007944000","1.09","537570","","","/mutual-fund/holding-history/9311/4797/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1052314560","968783000","1.05","297264","47807","19.16","/mutual-fund/holding-history/9311/387/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","900778730.4","941739000","1.02","348006","10262","3.04","/mutual-fund/holding-history/9311/49/"
"KEI Industries Ltd","KEI","517569","Industrials","1082476618","936536000","1.01","305698","","","/mutual-fund/holding-history/9311/729/"
"Oil India Ltd","OIL","533106","Energy","932046930","890322000","0.96","2167551","70982","3.39","/mutual-fund/holding-history/9311/965/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","918986077.32","886441000","0.96","4063074","604083","17.46","/mutual-fund/holding-history/9311/721/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","879455661.04","827729000","0.9","3673736","123307","3.47","/mutual-fund/holding-history/9311/114/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","824208520","809402000","0.88","479191","71851","17.64","/mutual-fund/holding-history/9311/2170198/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","821794129.72","778058000","0.84","6566998","237734","3.76","/mutual-fund/holding-history/9311/2839786/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","809747302","774358000","0.84","1105910","36279","3.39","/mutual-fund/holding-history/9311/1110875/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","825971655.6","773174000","0.84","470988","","","/mutual-fund/holding-history/9311/962/"
