"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","3710000351.2","3355162000","3.35","2981836","307716","11.51","/mutual-fund/holding-history/9311/276825/"
"Coforge Ltd","COFORGE","532541","Technology","700681934.5","3264059000","3.25","381739","63966","20.13","/mutual-fund/holding-history/9311/942/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3455007318","3233889000","3.22","573588","91154","18.89","/mutual-fund/holding-history/9311/1023/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","3368313360","3186660000","3.18","197880","2470","1.26","/mutual-fund/holding-history/9311/1263/"
"Marico Ltd","MARICO","531642","Consumer Defensive","2787286204.6","2900227000","2.89","4048052","55330","1.39","/mutual-fund/holding-history/9311/840/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2526688847.1","2332695000","2.33","1324191","22788","1.75","/mutual-fund/holding-history/9311/710819/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2298389260","2330549000","2.32","50249","863","1.75","/mutual-fund/holding-history/9311/994/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","2203854176","2209969000","2.2","3218245","57869","1.83","/mutual-fund/holding-history/9311/293/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2110344471","2157182000","2.15","146827","-50566","-25.62","/mutual-fund/holding-history/9311/60393/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","2240732963","2135006000","2.13","2120902","39719","1.91","/mutual-fund/holding-history/9311/864/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2158967657","2119082000","2.11","1169665","236300","25.32","/mutual-fund/holding-history/9311/91/"
"BSE Ltd","BSE","","Financial Services","2126880433.8","2107805000","2.1","788259","","","/mutual-fund/holding-history/9311/52884/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2048710678.3","2086381000","2.08","2710114","-1034041","-27.62","/mutual-fund/holding-history/9311/606/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","2187353471.1","2023879000","2.02","2865466","511420","21.73","/mutual-fund/holding-history/9311/424/"
"Lupin Ltd","LUPIN","500257","Healthcare","2075115699","2019614000","2.01","1031626","20498","2.03","/mutual-fund/holding-history/9311/804/"
"Indian Bank","INDIANB","532814","Financial Services","2016753325.65","1959395000","1.95","3177741","65443","2.1","/mutual-fund/holding-history/9311/609/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1970970226.02","1942514000","1.94","9613551","197393","2.1","/mutual-fund/holding-history/9311/412/"
