"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3782514118.5","3999660000","3.64","662031","88443","15.42","/mutual-fund/holding-history/9311/1023/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","3634261716.8","3804823000","3.46","2981836","","","/mutual-fund/holding-history/9311/276825/"
"Coforge Ltd","COFORGE","532541","Technology","3547118788","3673284000","3.34","1908695","","","/mutual-fund/holding-history/9311/942/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","2955931440","3482292000","3.17","197880","","","/mutual-fund/holding-history/9311/1263/"
"Marico Ltd","MARICO","531642","Consumer Defensive","2899822050.2","2924110000","2.66","4048052","","","/mutual-fund/holding-history/9311/840/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2326277455","2482803000","2.26","50249","","","/mutual-fund/holding-history/9311/994/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2411086972.8","2415192000","2.2","1324191","","","/mutual-fund/holding-history/9311/710819/"
"Indian Bank","INDIANB","532814","Financial Services","2301644681.7","2358645000","2.15","3665623","487882","15.35","/mutual-fund/holding-history/9311/609/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","2251125382.8","2342112000","2.13","2120902","","","/mutual-fund/holding-history/9311/864/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","2318448540.6","2276613000","2.07","2865466","","","/mutual-fund/holding-history/9311/424/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2365676624","2199909000","2","146827","","","/mutual-fund/holding-history/9311/60393/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","2200635931","2195326000","2","3218245","","","/mutual-fund/holding-history/9311/293/"
"BSE Ltd","BSE","","Financial Services","2008799235.6","2183556000","1.99","788259","","","/mutual-fund/holding-history/9311/52884/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2049659218.2","2060500000","1.88","2710114","","","/mutual-fund/holding-history/9311/606/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","2041918232.4","2048840000","1.86","9613551","","","/mutual-fund/holding-history/9311/412/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1861378822","2041844000","1.86","228292","","","/mutual-fund/holding-history/9311/853/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1942111766","2034164000","1.85","1169665","","","/mutual-fund/holding-history/9311/91/"
"Lupin Ltd","LUPIN","500257","Healthcare","1963390603.2","1999291000","1.82","1031626","","","/mutual-fund/holding-history/9311/804/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","1851025544.5","1846386000","1.68","356893","","","/mutual-fund/holding-history/9311/1311/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","1859932861.2","1824880000","1.66","695484","","","/mutual-fund/holding-history/9311/897/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","1948538850","1808927000","1.65","348420","-23000","-6.19","/mutual-fund/holding-history/9311/94155/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1911222486.92","1802771000","1.64","13455523","6570511","95.43","/mutual-fund/holding-history/9311/2839786/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1821911740","1726465000","1.57","280726","","","/mutual-fund/holding-history/9311/683/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1813888857","1721162000","1.57","657635","","","/mutual-fund/holding-history/9311/1090/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","1577103746.4","1662601000","1.51","1009411","","","/mutual-fund/holding-history/9311/845/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","1660881126.8","1580806000","1.44","1137434","","","/mutual-fund/holding-history/9311/642/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1584436039.5","1570760000","1.43","670377","79015","13.36","/mutual-fund/holding-history/9311/478/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1482191041.1","1549847000","1.41","3676981","","","/mutual-fund/holding-history/9311/175/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","1449279696","1534652000","1.4","554006","","","/mutual-fund/holding-history/9311/4797/"
"Oil India Ltd","OIL","533106","Energy","1537632099","1479377000","1.35","3406740","453565","15.36","/mutual-fund/holding-history/9311/965/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","1326152664.2","1464330000","1.33","2071628","","","/mutual-fund/holding-history/9311/1288/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1207345415","1400368000","1.27","225230","","","/mutual-fund/holding-history/9311/1412/"
"SRF Ltd","SRF","503806","Industrials","1319196217.5","1363611000","1.24","420595","91933","27.97","/mutual-fund/holding-history/9311/1283/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","1331953846.8","1317711000","1.2","955902","","","/mutual-fund/holding-history/9311/407835/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1213165830","1285908000","1.17","1832300","","","/mutual-fund/holding-history/9311/701/"
"KEI Industries Ltd","KEI","517569","Industrials","1263476621.1","1200877000","1.09","316637","","","/mutual-fund/holding-history/9311/729/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","1154682871.2","1200858000","1.09","737628","","","/mutual-fund/holding-history/9311/262/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1086946782.6","1170249000","1.07","599298","","","/mutual-fund/holding-history/9311/2170198/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1149811447.2","1134922000","1.03","4242064","","","/mutual-fund/holding-history/9311/721/"
"City Union Bank Ltd","CUB","532210","Financial Services","1082863694.88","1120732000","1.02","5124284","1837568","55.91","/mutual-fund/holding-history/9311/295/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1019087236.8","1080014000","0.98","691563","","","/mutual-fund/holding-history/9311/1036/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","1080473399.6","1048886000","0.95","1416457","","","/mutual-fund/holding-history/9311/1110875/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1100743466.4","1043058000","0.95","306836","94383","44.43","/mutual-fund/holding-history/9311/297/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1015137188.25","1035948000","0.94","2364909","-508724","-17.7","/mutual-fund/holding-history/9311/556/"
"NMDC Ltd","NMDC","526371","Basic Materials","1065503615.88","1033896000","0.94","14769942","","","/mutual-fund/holding-history/9311/949/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","1065250230","1021942000","0.93","32934","","","/mutual-fund/holding-history/9311/1226/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","1041368576.6","1005227000","0.91","208549","","","/mutual-fund/holding-history/9311/914/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","949502626.6","1001308000","0.91","271799","","","/mutual-fund/holding-history/9311/244/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1023658310.4","991257000","0.9","297264","","","/mutual-fund/holding-history/9311/387/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","873093529.4","987886000","0.9","508381","","","/mutual-fund/holding-history/9311/80210/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","935787293.1","957793000","0.87","1358379","518784","61.79","/mutual-fund/holding-history/9311/696/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","902228631.4","941456000","0.86","494047","","","/mutual-fund/holding-history/9311/962/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","995650240","935366000","0.85","363376","","","/mutual-fund/holding-history/9311/49/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","455543264","921777000","0.84","3673736","","","/mutual-fund/holding-history/9311/114/"
