"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","4350179268","4364925638","3.41","20481070","-1458682","-6.65","/mutual-fund/holding-history/6421/412/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2643627672","2786942613","2.18","1692030","","","/mutual-fund/holding-history/6421/845/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2926192165.8","2704740893","2.12","1631918","","","/mutual-fund/holding-history/6421/1071/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2490419016.4","2608460438","2.04","1499891","","","/mutual-fund/holding-history/6421/91/"
"Mphasis Ltd","MPHASIS","526299","Technology","2502548806","2564004167","2.01","901105","","","/mutual-fund/holding-history/6421/881/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2455034542.5","2448184763","1.91","1223175","","","/mutual-fund/holding-history/6421/533/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","2573478788.4","2438613980","1.91","717366","","","/mutual-fund/holding-history/6421/297/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2548876110","2415344850","1.89","392739","-50000","-11.29","/mutual-fund/holding-history/6421/683/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2368092422.4","2372124214","1.86","1300578","","","/mutual-fund/holding-history/6421/710819/"
"Coforge Ltd","COFORGE","532541","Technology","2257630780","2337930713","1.83","1214825","","","/mutual-fund/holding-history/6421/942/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2228216254","2332789580","1.82","1828205","-325000","-15.09","/mutual-fund/holding-history/6421/276825/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2137788239.3","2301626010","1.8","1178689","-250000","-17.5","/mutual-fund/holding-history/6421/2170198/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2397035116","2281467884","1.78","1641580","","","/mutual-fund/holding-history/6421/642/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2147073919.4","2269782118","1.78","6391052","","","/mutual-fund/holding-history/6421/2020/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2120817119.4","2186054413","1.71","1100123","","","/mutual-fund/holding-history/6421/318/"
"Biocon Ltd","BIOCON","532523","Healthcare","2269874816","2085212996","1.63","5862280","5862280","New","/mutual-fund/holding-history/6421/197/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","1889179374.6","2010438031","1.57","802506","-208722","-20.64","/mutual-fund/holding-history/6421/284/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","2113097641.1","1980550247","1.55","3563102","","","/mutual-fund/holding-history/6421/447071/"
"City Union Bank Ltd","CUB","532210","Financial Services","1893515109.12","1959732583","1.53","8960416","","","/mutual-fund/holding-history/6421/295/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","1782357500","1902285000","1.49","38500","","","/mutual-fund/holding-history/6421/994/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1940685976.25","1901270210","1.49","3326225","","","/mutual-fund/holding-history/6421/374/"
