"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","4444335562.64","4315110423","3.67","21939752","","","/mutual-fund/holding-history/6421/412/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","2925600111.2","2681901038","2.28","1211228","","","/mutual-fund/holding-history/6421/284/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2765049058.5","2429523442","2.07","1499891","","","/mutual-fund/holding-history/6421/91/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2472489183.4","2413198590","2.05","1428689","","","/mutual-fund/holding-history/6421/2170198/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2496425877","2364649731","2.01","2153205","","","/mutual-fund/holding-history/6421/276825/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2356202002.5","2354611875","2","1223175","","","/mutual-fund/holding-history/6421/533/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2385215740","2300181896","1.96","1641580","","","/mutual-fund/holding-history/6421/642/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2339875615","2263591685","1.92","442739","","","/mutual-fund/holding-history/6421/683/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2357305551","2244050442","1.91","1631918","","","/mutual-fund/holding-history/6421/1071/"
"Mphasis Ltd","MPHASIS","526299","Technology","2285742943","2224828245","1.89","901105","","","/mutual-fund/holding-history/6421/881/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2514187377","2208099150","1.88","1692030","","","/mutual-fund/holding-history/6421/845/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2281605564","2155701840","1.83","6391052","","","/mutual-fund/holding-history/6421/2020/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2241830649.4","2129398079","1.81","1100123","","","/mutual-fund/holding-history/6421/318/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2319320747.4","2113829423","1.8","1300578","","","/mutual-fund/holding-history/6421/710819/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1960975948.75","2077892758","1.77","3326225","","","/mutual-fund/holding-history/6421/374/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1820002542.4","1884420398","1.6","1132124","","","/mutual-fund/holding-history/6421/1036/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","2005135650.5","1840520338","1.56","3563102","","","/mutual-fund/holding-history/6421/447071/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1682220916.8","1789596720","1.52","828517","","","/mutual-fund/holding-history/6421/1437/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1839133314","1787521516","1.52","617366","","","/mutual-fund/holding-history/6421/297/"
"Coforge Ltd","COFORGE","532541","Technology","2055362417.5","1774859325","1.51","242965","-20000","-7.61","/mutual-fund/holding-history/6421/942/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1736495583.9","1773993349","1.51","2252118","","","/mutual-fund/holding-history/6421/606/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","1801222500","1756177500","1.49","38500","","","/mutual-fund/holding-history/6421/994/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1790649240","1689528357","1.44","317491","-37499","-10.56","/mutual-fund/holding-history/6421/1023/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1915671000","1659948000","1.41","11850000","","","/mutual-fund/holding-history/6421/1366/"
"REC Ltd","RECLTD","532955","Financial Services","1600342500","1659395000","1.41","3950000","","","/mutual-fund/holding-history/6421/1119/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1702888936.5","1597498416","1.36","973135","","","/mutual-fund/holding-history/6421/962/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1564850000","1595025000","1.36","850000","","","/mutual-fund/holding-history/6421/61147/"
"SRF Ltd","SRF","503806","Industrials","1526559000","1594717000","1.36","530000","","","/mutual-fund/holding-history/6421/1283/"
"City Union Bank Ltd","CUB","532210","Financial Services","1732944454.4","1582051049","1.35","8960416","","","/mutual-fund/holding-history/6421/295/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","1509142720","1578704767","1.34","23580355","","","/mutual-fund/holding-history/6421/325199/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1591349200","1568335440","1.33","52304","","","/mutual-fund/holding-history/6421/18/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1646994393.4","1568220862","1.33","541027","","","/mutual-fund/holding-history/6421/67548/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","1544425365.6","1567454171","1.33","5981508","","","/mutual-fund/holding-history/6421/808/"
"UPL Ltd","UPL","512070","Basic Materials","1449805000","1540770000","1.31","2300000","","","/mutual-fund/holding-history/6421/1455/"
