"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","40058009560.8","42229613000","5.02","25638767","100000","0.39","/mutual-fund/holding-history/8750/845/"
"Coforge Ltd","COFORGE","532541","Technology","27914283040","28907145000","3.44","15020600","","","/mutual-fund/holding-history/8750/942/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","27150030000","27242064000","3.24","127825000","","","/mutual-fund/holding-history/8750/412/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","22196088990","25000417000","2.97","30581550","1102177","3.74","/mutual-fund/holding-history/8750/54902/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","23836608777.5","24325280000","2.89","55530830","","","/mutual-fund/holding-history/8750/556/"
"Indian Bank","INDIANB","532814","Financial Services","23140929247.8","23714016000","2.82","36854482","","","/mutual-fund/holding-history/8750/609/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","24691795094.4","23501340000","2.8","16909872","618053","3.79","/mutual-fund/holding-history/8750/642/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","26164985266.3","23207675000","2.76","9490727","24605","0.26","/mutual-fund/holding-history/8750/153/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","20613698802.9","20241730000","2.41","25477319","","","/mutual-fund/holding-history/8750/424/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","19130703867","20165427000","2.4","3337818","","","/mutual-fund/holding-history/8750/1023/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","19941439901.12","18809871000","2.24","140393128","52801238","60.28","/mutual-fund/holding-history/8750/2839786/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","18851484150","18801214000","2.24","41892187","","","/mutual-fund/holding-history/8750/94/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","19273999065.3","18762379000","2.23","11098059","","","/mutual-fund/holding-history/8750/1357/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","22906354500.6","18616787000","2.21","10615114","1836502","20.92","/mutual-fund/holding-history/8750/464/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","16457563752.3","16730255000","1.99","61975386","6886154","12.5","/mutual-fund/holding-history/8750/808/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","16230381024.6","16316222000","1.94","21460242","-3195085","-12.96","/mutual-fund/holding-history/8750/606/"
"Marico Ltd","MARICO","531642","Consumer Defensive","15799636512.5","15931971000","1.9","22055750","","","/mutual-fund/holding-history/8750/840/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","13094262412","15425949000","1.84","876574","","","/mutual-fund/holding-history/8750/1263/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","14697902143","15143617000","1.8","13344745","","","/mutual-fund/holding-history/8750/132/"
"Union Bank of India","UNIONBANK","532477","Financial Services","13847925413.38","14881700000","1.77","96886066","","","/mutual-fund/holding-history/8750/1447/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","14748030345","14391938000","1.71","15282933","","","/mutual-fund/holding-history/8750/677/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","13000588287.5","12974978000","1.54","7113865","","","/mutual-fund/holding-history/8750/710819/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","11782603098","11679563000","1.39","3528782","","","/mutual-fund/holding-history/8750/46/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","11748578331","11605985000","1.38","13645271","","","/mutual-fund/holding-history/8750/2974675/"
"Redington Ltd","REDINGTON","532805","Technology","11060474911.4","11537434000","1.37","35461606","","","/mutual-fund/holding-history/8750/1120/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","13135716500","11371529000","1.35","347966","71035","25.65","/mutual-fund/holding-history/8750/214/"
"SKF India Ltd","SKFINDIA","500472","Industrials","11666288034","11331688000","1.35","2353023","","","/mutual-fund/holding-history/8750/1251/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","10767921705.6","11020326000","1.31","50582120","","","/mutual-fund/holding-history/8750/596/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","12169046497.5","10663411000","1.27","27856350","1097464","4.1","/mutual-fund/holding-history/8750/888524/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","10882216053.8","10317679000","1.23","3035147","","","/mutual-fund/holding-history/8750/297/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","9664291791.3","10216619000","1.22","28767054","","","/mutual-fund/holding-history/8750/2020/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","10898422886","10180004000","1.21","5551922","","","/mutual-fund/holding-history/8750/338662/"
