"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","37912299611.5","33328091000","4.45","25538767","","","/mutual-fund/holding-history/8750/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","25896066750","25140621000","3.36","127825000","","","/mutual-fund/holding-history/8750/412/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","23200820806.2","25055313000","3.34","9366122","202613","2.21","/mutual-fund/holding-history/8750/153/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","24253609770.6","24766099000","3.31","31441029","-2574074","-7.57","/mutual-fund/holding-history/8750/606/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","23511337851.5","22556718000","3.01","16098143","277811","1.76","/mutual-fund/holding-history/8750/642/"
"Coforge Ltd","COFORGE","532541","Technology","25405842840","21945097000","2.93","3004120","","","/mutual-fund/holding-history/8750/942/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","22750981051","21029525000","2.81","55530830","","","/mutual-fund/holding-history/8750/556/"
"Indian Bank","INDIANB","532814","Financial Services","21992912133.5","20852266000","2.78","36854482","","","/mutual-fund/holding-history/8750/609/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","20663321237.75","19768923000","2.64","41892187","","","/mutual-fund/holding-history/8750/94/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","19996818230.4","19334389000","2.58","28491584","2228358","8.48","/mutual-fund/holding-history/8750/54902/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","18833638065","17762198000","2.37","3337818","-254917","-7.1","/mutual-fund/holding-history/8750/1023/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","18734633397.9","17661451000","2.36","11098059","","","/mutual-fund/holding-history/8750/1357/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","17937306441.95","17465976000","2.33","25477319","","","/mutual-fund/holding-history/8750/424/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","15886918922.5","16402026000","2.19","13344745","31773","0.24","/mutual-fund/holding-history/8750/132/"
"Marico Ltd","MARICO","531642","Consumer Defensive","15780889125","15669508000","2.09","22055750","","","/mutual-fund/holding-history/8750/840/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","14237812010.4","14436133000","1.93","55089232","","","/mutual-fund/holding-history/8750/808/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","14495097803.85","13688159000","1.83","15282933","","","/mutual-fund/holding-history/8750/677/"
"Union Bank of India","UNIONBANK","532477","Financial Services","13670623912.6","12186329000","1.63","96886066","","","/mutual-fund/holding-history/8750/1447/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","12176812705.2","12125019000","1.62","8778612","","","/mutual-fund/holding-history/8750/464/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","12745200534","11562165000","1.54","7113865","","","/mutual-fund/holding-history/8750/710819/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","13911229380","11546233000","1.54","876574","","","/mutual-fund/holding-history/8750/1263/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","11967511274.8","11270577000","1.5","3528782","","","/mutual-fund/holding-history/8750/46/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","10434079713.6","9741610000","1.3","50582120","","","/mutual-fund/holding-history/8750/596/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","10271276630.7","9703127000","1.3","28767054","","","/mutual-fund/holding-history/8750/2020/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","11189122220","9544867000","1.27","13645271","4928239","56.54","/mutual-fund/holding-history/8750/2974675/"
"SKF India Ltd","SKFINDIA","500472","Industrials","10757315249.1","9143141000","1.22","2353023","","","/mutual-fund/holding-history/8750/1251/"
"Mphasis Ltd","MPHASIS","526299","Technology","9080112960","8831514000","1.18","3576960","200000","5.92","/mutual-fund/holding-history/8750/881/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","9031079898.5","8787965000","1.17","3035147","","","/mutual-fund/holding-history/8750/297/"
"ACC Ltd","ACC","500410","Basic Materials","8986150069.2","8771508000","1.17","4645926","","","/mutual-fund/holding-history/8750/22/"
"Redington Ltd","REDINGTON","532805","Technology","9298742325.32","8713271000","1.16","35461606","","","/mutual-fund/holding-history/8750/1120/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","7754464620","8461099000","1.13","514290","","","/mutual-fund/holding-history/8750/60393/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","8071222507.92","8359185000","1.12","35950392","","","/mutual-fund/holding-history/8750/589490/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","9750938058.4","8176178000","1.09","26758886","1000000","3.88","/mutual-fund/holding-history/8750/888524/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","8479450470.6","7772691000","1.04","5551922","","","/mutual-fund/holding-history/8750/338662/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","7579189395.5","7735109000","1.03","9226037","","","/mutual-fund/holding-history/8750/625/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","7973111753.25","7536133000","1.01","63606795","971282","1.55","/mutual-fund/holding-history/8750/2839786/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","7993051828","7301223000","0.97","7961207","","","/mutual-fund/holding-history/8750/1313/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","8668235518.5","7278144000","0.97","18671482","","","/mutual-fund/holding-history/8750/746520/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","7487466350","7218154000","0.96","33085000","","","/mutual-fund/holding-history/8750/721/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","7589158010","6897212000","0.92","234161","58261","33.12","/mutual-fund/holding-history/8750/214/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","7431618231.9","6564269000","0.88","5944819","684416","13.01","/mutual-fund/holding-history/8750/184/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","7288990293.3","6345639000","0.85","9935242","","","/mutual-fund/holding-history/8750/64356/"
"KEC International Ltd","KEC","532714","Industrials","7856789647.5","6306387000","0.84","9032350","","","/mutual-fund/holding-history/8750/727/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","6957129682.5","5865981000","0.78","1657525","","","/mutual-fund/holding-history/8750/1324/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","5870417903.4","5834775000","0.78","4628937","","","/mutual-fund/holding-history/8750/476/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","5567076399.6","5397633000","0.72","1386604","","","/mutual-fund/holding-history/8750/169265/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","5812370792.8","5368890000","0.72","1647404","215328","15.04","/mutual-fund/holding-history/8750/387/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","5553663820.5","5095058000","0.68","2301083","686952","42.56","/mutual-fund/holding-history/8750/284/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","5080904188.8","5014641000","0.67","22928268","","","/mutual-fund/holding-history/8750/752/"
"Timken India Ltd","TIMKEN","522113","Industrials","6226809908","4888365000","0.65","1993217","70209","3.65","/mutual-fund/holding-history/8750/1399/"
