"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","40274635559","38377105000","4.81","25538767","","","/mutual-fund/holding-history/8750/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","26282098250","25828320000","3.24","127825000","","","/mutual-fund/holding-history/8750/412/"
"Coforge Ltd","COFORGE","532541","Technology","5496037540","25686728000","3.22","3004120","","","/mutual-fund/holding-history/8750/942/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","23269621100.4","23402147000","2.94","9466122","100000","1.07","/mutual-fund/holding-history/8750/153/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","22197603387.5","23212584000","2.91","16291819","193676","1.2","/mutual-fund/holding-history/8750/642/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","21954113640.5","22825948000","2.86","55530830","","","/mutual-fund/holding-history/8750/556/"
"Indian Bank","INDIANB","532814","Financial Services","23317830761.4","22724474000","2.85","36854482","","","/mutual-fund/holding-history/8750/609/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","23036656030.85","20430679000","2.56","29479373","987789","3.47","/mutual-fund/holding-history/8750/54902/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","18748848291.85","19712369000","2.47","41892187","","","/mutual-fund/holding-history/8750/94/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","18612306352.3","18980903000","2.38","24655327","-6785702","-21.58","/mutual-fund/holding-history/8750/606/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","20090326542","18818618000","2.36","3337818","","","/mutual-fund/holding-history/8750/1023/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","18983229919.5","18602566000","2.33","11098059","","","/mutual-fund/holding-history/8750/1357/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","19486327437.15","17994630000","2.26","25477319","","","/mutual-fund/holding-history/8750/424/"
"Marico Ltd","MARICO","531642","Consumer Defensive","15236112100","15801842000","1.98","22055750","","","/mutual-fund/holding-history/8750/840/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","15285070923","15317098000","1.92","13344745","","","/mutual-fund/holding-history/8750/132/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","14100033985.8","14501975000","1.82","15282933","","","/mutual-fund/holding-history/8750/677/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","15061396028.8","14383798000","1.8","55089232","","","/mutual-fund/holding-history/8750/808/"
"Union Bank of India","UNIONBANK","532477","Financial Services","14239345120.02","14221906000","1.78","96886066","","","/mutual-fund/holding-history/8750/1447/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","14909647166","14116348000","1.77","876574","","","/mutual-fund/holding-history/8750/1263/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","14777915440.8","12791316000","1.6","8778612","","","/mutual-fund/holding-history/8750/464/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","13578945512","12531785000","1.57","7113865","","","/mutual-fund/holding-history/8750/710819/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","11997153043.6","12343327000","1.55","3528782","","","/mutual-fund/holding-history/8750/46/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","11399941656.95","11700820000","1.47","13645271","","","/mutual-fund/holding-history/8750/2974675/"
"SKF India Ltd","SKFINDIA","500472","Industrials","10856142215.1","11049796000","1.39","2353023","","","/mutual-fund/holding-history/8750/1251/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","10935847466.5","10919205000","1.37","87591890","23985095","37.71","/mutual-fund/holding-history/8750/2839786/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","10740101539.6","10453301000","1.31","50582120","","","/mutual-fund/holding-history/8750/596/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","10029633377.1","10151893000","1.27","28767054","","","/mutual-fund/holding-history/8750/2020/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","10039052217.2","9919164000","1.24","3035147","","","/mutual-fund/holding-history/8750/297/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","9220386829.2","9782581000","1.23","20480646","1809164","9.69","/mutual-fund/holding-history/8750/746520/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","9775021055.8","9579681000","1.2","26758886","","","/mutual-fund/holding-history/8750/888524/"
"Redington Ltd","REDINGTON","532805","Technology","10532096982","9172854000","1.15","35461606","","","/mutual-fund/holding-history/8750/1120/"
"Mphasis Ltd","MPHASIS","526299","Technology","9684261504","9152725000","1.15","3576960","","","/mutual-fund/holding-history/8750/881/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","9831343477.6","8819783000","1.11","5551922","","","/mutual-fund/holding-history/8750/338662/"
"ACC Ltd","ACC","500410","Basic Materials","8700425620.2","8747349000","1.1","4645926","","","/mutual-fund/holding-history/8750/22/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","8939332680","8699787000","1.09","276931","42770","18.27","/mutual-fund/holding-history/8750/214/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","9064891342.8","8567338000","1.07","35950392","","","/mutual-fund/holding-history/8750/589490/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","8241702448","7738445000","0.97","6236155","291336","4.9","/mutual-fund/holding-history/8750/184/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","7361032770","7555949000","0.95","514290","","","/mutual-fund/holding-history/8750/60393/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","7576882886.25","7537211000","0.95","9226037","","","/mutual-fund/holding-history/8750/625/"
"KEC International Ltd","KEC","532714","Industrials","8136340880","7518528000","0.94","9032350","","","/mutual-fund/holding-history/8750/727/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","7060492773.7","7402304000","0.93","7211207","-750000","-9.42","/mutual-fund/holding-history/8750/1313/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","7408709959.4","7361518000","0.92","9935242","","","/mutual-fund/holding-history/8750/64356/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","8223276750","7334614000","0.92","33085000","","","/mutual-fund/holding-history/8750/721/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","7553838682.5","6872430000","0.86","1657525","","","/mutual-fund/holding-history/8750/1324/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","6251716630.4","6593322000","0.83","1984924","337520","20.49","/mutual-fund/holding-history/8750/387/"
"Timken India Ltd","TIMKEN","522113","Industrials","6560416180.2","6306121000","0.79","2018217","25000","1.25","/mutual-fund/holding-history/8750/1399/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","5986196018.2","6048547000","0.76","2641979","340896","14.81","/mutual-fund/holding-history/8750/284/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","5499177156","5700073000","0.72","4628937","","","/mutual-fund/holding-history/8750/476/"
"City Union Bank Ltd","CUB","532210","Financial Services","5087434560","5098376000","0.64","26052000","","","/mutual-fund/holding-history/8750/295/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","5034897784.4","4927020000","0.62","1386604","","","/mutual-fund/holding-history/8750/169265/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","4881657539.88","4833279000","0.61","22928268","","","/mutual-fund/holding-history/8750/752/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","4602903698.8","4779870000","0.6","1264951","","","/mutual-fund/holding-history/8750/244/"
"Symphony Ltd","SYMPHONY","517385","Consumer Cyclical","4242553375.5","4525044000","0.57","3712095","110860","3.08","/mutual-fund/holding-history/8750/1341/"
