"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","1923921200","5089108000","4.75","800300","","","/mutual-fund/holding-history/10643/52884/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","4599736800","5014570000","4.68","304800","","","/mutual-fund/holding-history/10643/60393/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","5049187000","4782661000","4.46","4355000","","","/mutual-fund/holding-history/10643/276825/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","3955517235","4091538000","3.82","17596500","","","/mutual-fund/holding-history/10643/589490/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","4100844000","3869263000","3.61","727100","-100198","-12.11","/mutual-fund/holding-history/10643/1023/"
"Lupin Ltd","LUPIN","500257","Healthcare","3462429480","3682807000","3.43","1757400","","","/mutual-fund/holding-history/10643/804/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","3799114100","3526093000","3.29","681700","","","/mutual-fund/holding-history/10643/1412/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","3381054250","3454065000","3.22","4385000","-397177","-8.31","/mutual-fund/holding-history/10643/606/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","3536689887","3433856000","3.2","17459100","-1341900","-7.14","/mutual-fund/holding-history/10643/412/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3927554000","3298083000","3.08","227000","","","/mutual-fund/holding-history/10643/202203/"
"Coforge Ltd","COFORGE","532541","Technology","3721334050","3213470000","3","439900","","","/mutual-fund/holding-history/10643/942/"
"Godfrey Phillips India Ltd","GODFRYPHLP","500163","Consumer Defensive","3073494672.5","3042567000","2.84","374885","","","/mutual-fund/holding-history/10643/475/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","3242651190","2925714000","2.73","4667700","-503600","-9.74","/mutual-fund/holding-history/10643/293/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","3957524465","2803836000","2.61","1790330","","","/mutual-fund/holding-history/10643/67/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","2847668042","2677607000","2.5","11884100","","","/mutual-fund/holding-history/10643/114/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","2668623804.5","2545859000","2.37","415447","","","/mutual-fund/holding-history/10643/853/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2517984000","2470222000","2.3","1998400","","","/mutual-fund/holding-history/10643/1500/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2234101320","2460655000","2.29","1442100","","","/mutual-fund/holding-history/10643/209/"
"Bharat Electronics Ltd","BEL","500049","Industrials","2814504901","2293814000","2.14","7302815","","","/mutual-fund/holding-history/10643/175/"
"KEI Industries Ltd","KEI","517569","Industrials","2622991280","2274110000","2.12","742300","168754","29.42","/mutual-fund/holding-history/10643/729/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","2088068460","2254628000","2.1","1464900","","","/mutual-fund/holding-history/10643/1410/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","2612767660","2239665000","2.09","3506600","","","/mutual-fund/holding-history/10643/64356/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2045569200","1996516000","1.86","1182000","","","/mutual-fund/holding-history/10643/2170198/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1815285992","1944095000","1.81","2717494","1519694","126.87","/mutual-fund/holding-history/10643/701/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2103440040","1847358000","1.72","1415600","1415600","New","/mutual-fund/holding-history/10643/845/"
"Transformers & Rectifiers (India) Ltd","TARIL","532928","Industrials","1909159505.6","1830567000","1.71","3698488","","","/mutual-fund/holding-history/10643/1417/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1972864790","1798069000","1.68","1106300","-160000","-12.64","/mutual-fund/holding-history/10643/710819/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1786586425","1760749000","1.64","58721","","","/mutual-fund/holding-history/10643/18/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","2071242938.7","1747960000","1.63","571677","","","/mutual-fund/holding-history/10643/305195/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","1805337220","1739414000","1.62","593900","","","/mutual-fund/holding-history/10643/807/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","1864053500","1620716000","1.51","808700","","","/mutual-fund/holding-history/10643/2912/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1583386000","1531765000","1.43","299600","144100","92.67","/mutual-fund/holding-history/10643/683/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1368150052.5","1372734000","1.28","558999","","","/mutual-fund/holding-history/10643/1090/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","1317659732","1367688000","1.28","6480400","","","/mutual-fund/holding-history/10643/1093348/"
"Biocon Ltd","BIOCON","532523","Healthcare","1367004000","1312944000","1.22","4080000","","","/mutual-fund/holding-history/10643/197/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","1341871901.5","1156283000","1.08","602953","","","/mutual-fund/holding-history/10643/253/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","1147776000","1137600000","1.06","960000","","","/mutual-fund/holding-history/10643/140/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1250234260","1115692000","1.04","248600","","","/mutual-fund/holding-history/10643/80502/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1466571614","1074706000","1","191809","-53083","-21.68","/mutual-fund/holding-history/10643/88/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","1097202430","1047157000","0.98","391900","","","/mutual-fund/holding-history/10643/1430/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1090940157","1023423000","0.95","623430","-200000","-24.29","/mutual-fund/holding-history/10643/962/"
"PG Electroplast Ltd","PGEL","533581","Technology","756451468.4","834647000","0.78","988567","-30133","-2.96","/mutual-fund/holding-history/10643/1031/"
"Global Health Ltd","MEDANTA","543654","Healthcare","591928736","585958000","0.55","489440","","","/mutual-fund/holding-history/10643/1108489/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","605466720","542564000","0.51","363600","309700","574.58","/mutual-fund/holding-history/10643/262/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","JCHAC","523398","Consumer Cyclical","477032901.3","485228000","0.45","275917","-7278","-2.57","/mutual-fund/holding-history/10643/563/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","508073400","478351000","0.45","55400","","","/mutual-fund/holding-history/10643/150/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","504795720","446096000","0.42","179400","","","/mutual-fund/holding-history/10643/755079/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","449748000","409444000","0.38","93600","","","/mutual-fund/holding-history/10643/94155/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","358680000","344832000","0.32","60000","","","/mutual-fund/holding-history/10643/1124672/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","356896480","329829000","0.31","539200","","","/mutual-fund/holding-history/10643/1288/"
"Polycab India Ltd","POLYCAB","542652","Industrials","336003687","311146000","0.29","56367","","","/mutual-fund/holding-history/10643/139599/"
"Mphasis Ltd","MPHASIS","526299","Technology","271669860","264430000","0.25","107100","-366048","-77.36","/mutual-fund/holding-history/10643/881/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","200666816","193152000","0.18","89360","","","/mutual-fund/holding-history/10643/478/"
"CRISIL Ltd","CRISIL","500092","Financial Services","132343856.5","113949000","0.11","25591","","","/mutual-fund/holding-history/10643/292/"
"L&T Technology Services Ltd","LTTS","540115","Technology","99394776","95172000","0.09","22356","-112194","-83.38","/mutual-fund/holding-history/10643/4708/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","96203700","91582000","0.09","66600","","","/mutual-fund/holding-history/10643/1071/"
"Firstsource Solutions Ltd","FSL","532809","Technology","98066645","86446000","0.08","253730","-1413043","-84.78","/mutual-fund/holding-history/10643/428/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","68003500","68289000","0.06","27700","","","/mutual-fund/holding-history/10643/1436676/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","62766560","59170000","0.06","47200","","","/mutual-fund/holding-history/10643/141324/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","51691640","52462000","0.05","200200","","","/mutual-fund/holding-history/10643/808/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","49926294","52131000","0.05","45846","","","/mutual-fund/holding-history/10643/191143/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","41837267","40834000","0.04","10490","","","/mutual-fund/holding-history/10643/169265/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","40974600","39514000","0.04","28200","","","/mutual-fund/holding-history/10643/642/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","31022535","30659000","0.03","96900","","","/mutual-fund/holding-history/10643/2755533/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","22778630","21947000","0.02","45800","-562900","-92.48","/mutual-fund/holding-history/10643/697/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","18202265","17590000","0.02","90500","","","/mutual-fund/holding-history/10643/705188/"
"Indian Bank","INDIANB","532814","Financial Services","17508215","16578000","0.02","29300","","","/mutual-fund/holding-history/10643/609/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","15899910","16127000","0.02","3068","","","/mutual-fund/holding-history/10643/1311/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","10194558.75","10710000","0.01","25407","","","/mutual-fund/holding-history/10643/1267/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","6052776.4","5100000","0","1441","","","/mutual-fund/holding-history/10643/1324/"
"ABB India Ltd","ABB","500002","Industrials","5400000","4970000","0","900","","","/mutual-fund/holding-history/10643/17/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","5370000","4818000","0","600","","","/mutual-fund/holding-history/10643/144/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","5437553","4741000","0","20900","","","/mutual-fund/holding-history/10643/189/"
"Thermax Ltd","THERMAX","500411","Industrials","3734739.4","3561000","0","1082","","","/mutual-fund/holding-history/10643/1387/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","3192586.6","2678000","0","4102","","","/mutual-fund/holding-history/10643/879/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","2733302","2358000","0","41800","","","/mutual-fund/holding-history/10643/1337/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1000320","883000","0","800","","","/mutual-fund/holding-history/10643/184/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","893700","869000","0","300","","","/mutual-fund/holding-history/10643/297/"
