"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5832608600","5823618000","4.92","345800","","","https://trendlyne.com/mutual-fund/holding-history/10643/60393/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","5337488000","5426330000","4.58","4355000","","","https://trendlyne.com/mutual-fund/holding-history/10643/276825/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","5746137075","5416203000","4.57","17596500","","","https://trendlyne.com/mutual-fund/holding-history/10643/589490/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","4904371972.5","4795855000","4.05","1758785","","","https://trendlyne.com/mutual-fund/holding-history/10643/67/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","4422829527.6","4559869000","3.85","6956322","","","https://trendlyne.com/mutual-fund/holding-history/10643/701/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","4471461900","4209029000","3.55","5181300","","","https://trendlyne.com/mutual-fund/holding-history/10643/64356/"
"BSE Ltd","BSE","","Financial Services","3799385700","3655422000","3.09","1505900","-488400","-24.49","https://trendlyne.com/mutual-fund/holding-history/10643/52884/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","3510723100","3494586000","2.95","566200","42000","8.01","https://trendlyne.com/mutual-fund/holding-history/10643/1124672/"
"Godfrey Phillips India Ltd","GODFRYPHLP","500163","Consumer Defensive","4147727640","3415390000","2.88","374885","","","https://trendlyne.com/mutual-fund/holding-history/10643/475/"
"Coforge Ltd","COFORGE","532541","Technology","3322325480","3399725000","2.87","1944700","290515","17.56","https://trendlyne.com/mutual-fund/holding-history/10643/942/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","3416636128","3196034000","2.7","415447","","","https://trendlyne.com/mutual-fund/holding-history/10643/853/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3309886640","3020216000","2.55","2011600","","","https://trendlyne.com/mutual-fund/holding-history/10643/845/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3066426500","2960579000","2.5","573700","","","https://trendlyne.com/mutual-fund/holding-history/10643/1023/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","3163547420","2877141000","2.43","23768200","","","https://trendlyne.com/mutual-fund/holding-history/10643/114/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","2947110804","2743465000","2.32","13087800","1180000","9.91","https://trendlyne.com/mutual-fund/holding-history/10643/705188/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","2711967675.75","2661489000","2.25","4022199","500699","14.22","https://trendlyne.com/mutual-fund/holding-history/10643/293/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","2544372810","2511095000","2.12","3110100","","","https://trendlyne.com/mutual-fund/holding-history/10643/188792/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","2389685220","2388220000","2.02","861800","","","https://trendlyne.com/mutual-fund/holding-history/10643/305195/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","2420877800","2356295000","1.99","902000","231200","34.47","https://trendlyne.com/mutual-fund/holding-history/10643/897/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","2303117500","2316954000","1.96","115300","-9100","-7.32","https://trendlyne.com/mutual-fund/holding-history/10643/202203/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","1969700420","2128405000","1.8","8926000","1145400","14.72","https://trendlyne.com/mutual-fund/holding-history/10643/189/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2113918040","2004726000","1.69","1106300","","","https://trendlyne.com/mutual-fund/holding-history/10643/710819/"
