"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","541470212.5","2635404000","4.44","372785","","","/mutual-fund/holding-history/7923/913/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","2633317582.5","2489215000","4.2","2779227","100000","3.73","/mutual-fund/holding-history/7923/677/"
"UPL Ltd","UPL","512070","Basic Materials","1976830549.4","2100863000","3.54","3136084","","","/mutual-fund/holding-history/7923/1455/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2138665096.4","2087380000","3.52","1235794","","","/mutual-fund/holding-history/7923/2170198/"
"BSE Ltd","BSE","","Financial Services","751033640","1986615000","3.35","312410","10000","3.31","/mutual-fund/holding-history/7923/52884/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2048327001","1949917000","3.29","1418018","","","/mutual-fund/holding-history/7923/1071/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2066104630.5","1883048000","3.17","1158585","","","/mutual-fund/holding-history/7923/710819/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","2007569572.2","1811535000","3.05","3106731","","","/mutual-fund/holding-history/7923/696/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2060911329","1810829000","3.05","1117934","","","/mutual-fund/holding-history/7923/91/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","1700615762.6","1789085000","3.02","824501","","","/mutual-fund/holding-history/7923/897/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1662469328.8","1600208000","2.7","740323","","","/mutual-fund/holding-history/7923/478/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","1572327664","1484778000","2.5","937360","-43380","-4.42","/mutual-fund/holding-history/7923/154217/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1892438522","1386782000","2.34","247507","28329","12.93","/mutual-fund/holding-history/7923/88/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1502340875","1384065000","2.33","424690","","","/mutual-fund/holding-history/7923/387/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1469088708","1297319000","2.19","1174895","80000","7.31","/mutual-fund/holding-history/7923/184/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1330008960","1290378000","2.18","354480","","","/mutual-fund/holding-history/7923/1038/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1322878572","1285754000","2.17","444068","","","/mutual-fund/holding-history/7923/297/"
"KEI Industries Ltd","KEI","517569","Industrials","1479136691.2","1282398000","2.16","418592","","","/mutual-fund/holding-history/7923/729/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","1350296430","1270817000","2.14","654150","-52","-0.01","/mutual-fund/holding-history/7923/120412/"
"SRF Ltd","SRF","503806","Industrials","1202882407.2","1256589000","2.12","417624","","","/mutual-fund/holding-history/7923/1283/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1119828025.5","1068313000","1.8","174333","","","/mutual-fund/holding-history/7923/853/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1103005102.7","1057920000","1.78","1960201","","","/mutual-fund/holding-history/7923/71/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","1225610519.4","1050594000","1.77","1644894","","","/mutual-fund/holding-history/7923/64356/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1134766368","988693000","1.67","284688","","","/mutual-fund/holding-history/7923/406/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","992626283.4","971107000","1.64","984846","90000","10.06","/mutual-fund/holding-history/7923/166089/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1055208918","967448000","1.63","691034","","","/mutual-fund/holding-history/7923/338662/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","852238595.6","882403000","1.49","530131","-606205","-53.35","/mutual-fund/holding-history/7923/1036/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","810834171.1","862672000","1.45","190789","","","/mutual-fund/holding-history/7923/914/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","903423930","758632000","1.28","52215","","","/mutual-fund/holding-history/7923/202203/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","709072785","722731000","1.22","62085","","","/mutual-fund/holding-history/7923/1443/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","833363560.4","702141000","1.18","198401","40000","25.25","/mutual-fund/holding-history/7923/1324/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","681069937.5","642284000","1.08","403597","","","/mutual-fund/holding-history/7923/1357/"
"Timken India Ltd","TIMKEN","522113","Industrials","806960462.7","633120000","1.07","258153","","","/mutual-fund/holding-history/7923/1399/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","710130206.8","612398000","1.03","614087","5939","0.98","/mutual-fund/holding-history/7923/764/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","602088292.8","593781000","1","1457488","","","/mutual-fund/holding-history/7923/1026/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","637819000","573061000","0.97","4300000","2100000","95.45","/mutual-fund/holding-history/7923/878/"
"ACC Ltd","ACC","500410","Basic Materials","561362112","547218000","0.92","289840","-150000","-34.1","/mutual-fund/holding-history/7923/22/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","588525332.1","537640000","0.91","586239","","","/mutual-fund/holding-history/7923/1313/"
"Vedanta Ltd","VEDL","500295","Basic Materials","563674048","527438000","0.89","1258201","250000","24.8","/mutual-fund/holding-history/7923/1289/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","547923664","520444000","0.88","268880","","","/mutual-fund/holding-history/7923/318/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","537763828.7","507599000","0.86","301049","","","/mutual-fund/holding-history/7923/496/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","497133525","480926000","0.81","94065","-3977","-4.06","/mutual-fund/holding-history/7923/683/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","481010019","454467000","0.77","1347367","","","/mutual-fund/holding-history/7923/2020/"
"Polycab India Ltd","POLYCAB","542652","Industrials","484092810","448279000","0.76","81210","","","/mutual-fund/holding-history/7923/139599/"
"BEML Ltd","BEML","500048","Industrials","598199820.4","437357000","0.74","138229","","","/mutual-fund/holding-history/7923/176/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","457501610.4","433477000","0.73","576816","","","/mutual-fund/holding-history/7923/167028/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","491265000","422469000","0.71","2700000","500000","22.73","/mutual-fund/holding-history/7923/911/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","398227373.2","408237000","0.69","1390216","-244155","-14.94","/mutual-fund/holding-history/7923/1698179/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","433590557.4","382828000","0.65","795652","","","/mutual-fund/holding-history/7923/547977/"
"NMDC Ltd","NMDC","526371","Basic Materials","392796000","349866000","0.59","5400000","","","/mutual-fund/holding-history/7923/949/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","328280000","335360000","0.57","400000","","","/mutual-fund/holding-history/7923/625/"
"IRB Infrastructure Developers Ltd","IRB","532947","Industrials","356965779.24","318171000","0.54","6977439","","","/mutual-fund/holding-history/7923/644/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","336700000","294875000","0.5","700000","","","/mutual-fund/holding-history/7923/14/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","367001310","289137000","0.49","359400","","","/mutual-fund/holding-history/7923/709/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","296752500","281093000","0.47","450000","","","/mutual-fund/holding-history/7923/549/"
"Atul Ltd","ATUL","500027","Basic Materials","288790176","277045000","0.47","41068","","","/mutual-fund/holding-history/7923/129/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","303318198","268276000","0.45","300018","169658","130.15","/mutual-fund/holding-history/7923/864/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","270298975.8","262014000","0.44","413238","158335","62.12","/mutual-fund/holding-history/7923/1771/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","221926561.8","230353000","0.39","1091460","","","/mutual-fund/holding-history/7923/1093348/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","234782333.1","220252000","0.37","134169","80000","147.69","/mutual-fund/holding-history/7923/962/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","200272484.5","195472000","0.33","50215","15215","43.47","/mutual-fund/holding-history/7923/169265/"
"Mphasis Ltd","MPHASIS","526299","Technology","192997211","187854000","0.32","76085","","","/mutual-fund/holding-history/7923/881/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","200106560.75","179273000","0.3","561545","","","/mutual-fund/holding-history/7923/622855/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","178998920","164556000","0.28","61301","","","/mutual-fund/holding-history/7923/1114/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","160674708.6","154808000","0.26","52857","","","/mutual-fund/holding-history/7923/807/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","136842998.25","148964000","0.25","329385","","","/mutual-fund/holding-history/7923/2889731/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","128060000","116332000","0.2","3370","","","/mutual-fund/holding-history/7923/569/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","112800000","106430000","0.18","20000","20000","New","/mutual-fund/holding-history/7923/1023/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","108492095","98770000","0.17","22579","","","/mutual-fund/holding-history/7923/94155/"
"SKF India Ltd","SKFINDIA","500472","Industrials","114670825.6","97135000","0.16","24998","","","/mutual-fund/holding-history/7923/1251/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","111079815.1","95931000","0.16","335893","","","/mutual-fund/holding-history/7923/2266638/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","91097551.6","93232000","0.16","91207","","","/mutual-fund/holding-history/7923/238/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","98085484.5","85263000","0.14","79197","79197","New","/mutual-fund/holding-history/7923/1873481/"
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","84475000","82810000","0.14","500000","500000","New","/mutual-fund/holding-history/7923/79883/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","71270000","76955000","0.13","50000","","","/mutual-fund/holding-history/7923/1410/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","82473162.75","76876000","0.13","187205","","","/mutual-fund/holding-history/7923/623875/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","72452338.4","66417000","0.11","29996","-4206","-12.3","/mutual-fund/holding-history/7923/284/"
"Hindustan Zinc Ltd","HINDZINC","500188","Basic Materials","57965376","56386000","0.1","128384","","","/mutual-fund/holding-history/7923/561/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","34271602.2","36989000","0.06","13827","-3442","-19.93","/mutual-fund/holding-history/7923/153/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","38857658","36051000","0.06","33260","","","/mutual-fund/holding-history/7923/477/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","32768593.2","30446000","0.05","67032","","","/mutual-fund/holding-history/7923/1504/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","25117140","24784000","0.04","54650","","","/mutual-fund/holding-history/7923/515/"
"Tech Mahindra Ltd","TECHM","532755","Technology","24478372.8","23104000","0.04","15372","","","/mutual-fund/holding-history/7923/1374/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","20279259.05","17404000","0.03","24881","24881","New","/mutual-fund/holding-history/7923/2974675/"
"Astral Ltd","ASTRAL","532830","Industrials","17578846.6","15481000","0.03","11509","11509","New","/mutual-fund/holding-history/7923/122/"
