"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","2689928202","2666593000","4.15","997230","60000","6.4","/mutual-fund/holding-history/7923/52884/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","2774265970","2660753000","4.14","1863925","","","/mutual-fund/holding-history/7923/913/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","2564114830.2","2637209000","4.11","2779227","","","/mutual-fund/holding-history/7923/677/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2185007371.4","2262368000","3.52","1235794","","","/mutual-fund/holding-history/7923/2170198/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2409637987.4","2079665000","3.24","1418018","","","/mutual-fund/holding-history/7923/1071/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2211507048","2040963000","3.18","1158585","","","/mutual-fund/holding-history/7923/710819/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2071419908.6","2025361000","3.15","1117934","","","/mutual-fund/holding-history/7923/91/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1914837905.5","2008272000","3.13","247507","","","/mutual-fund/holding-history/7923/88/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","2180769825.45","2003065000","3.12","3106731","","","/mutual-fund/holding-history/7923/696/"
"UPL Ltd","UPL","512070","Basic Materials","2018854075","1969147000","3.07","3136084","","","/mutual-fund/holding-history/7923/1455/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","2171158483.3","1826600000","2.84","824501","","","/mutual-fund/holding-history/7923/897/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1802242311.2","1661137000","2.59","740323","","","/mutual-fund/holding-history/7923/478/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","1838256696","1626882000","2.53","937360","","","/mutual-fund/holding-history/7923/154217/"
"KEI Industries Ltd","KEI","517569","Industrials","1542595238.4","1511201000","2.35","418592","","","/mutual-fund/holding-history/7923/729/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1755966557.5","1481046000","2.31","224333","50000","28.68","/mutual-fund/holding-history/7923/853/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1552741232","1457927000","2.27","1174895","","","/mutual-fund/holding-history/7923/184/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1337603624","1410693000","2.2","424690","","","/mutual-fund/holding-history/7923/387/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1469851320","1355425000","2.11","354480","","","/mutual-fund/holding-history/7923/1038/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","1226597455.8","1218784000","1.9","1644894","","","/mutual-fund/holding-history/7923/64356/"
"SRF Ltd","SRF","503806","Industrials","1293882676.8","1194822000","1.86","417624","","","/mutual-fund/holding-history/7923/1283/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1143876384","1192473000","1.86","284688","","","/mutual-fund/holding-history/7923/406/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1223683007.2","1097777000","1.71","691034","","","/mutual-fund/holding-history/7923/338662/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1078404580.15","1084971000","1.69","1960201","","","/mutual-fund/holding-history/7923/71/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","918409635","1007645000","1.57","52215","","","/mutual-fund/holding-history/7923/202203/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1151875881.6","982335000","1.53","984846","","","/mutual-fund/holding-history/7923/166089/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","983670317.2","971923000","1.51","297397","-146671","-33.03","/mutual-fund/holding-history/7923/297/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","904172877.3","822610000","1.28","198401","","","/mutual-fund/holding-history/7923/1324/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","855055305.2","813006000","1.27","528922","-1209","-0.23","/mutual-fund/holding-history/7923/1036/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","861107072.6","812990000","1.27","190789","","","/mutual-fund/holding-history/7923/914/"
"Timken India Ltd","TIMKEN","522113","Industrials","839152141.8","806625000","1.26","258153","","","/mutual-fund/holding-history/7923/1399/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","736048743.3","755085000","1.18","670293","56206","9.15","/mutual-fund/holding-history/7923/764/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","713667075","695973000","1.08","62085","","","/mutual-fund/holding-history/7923/1443/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","690352668.5","676509000","1.05","403597","","","/mutual-fund/holding-history/7923/1357/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","658674000","658416000","1.03","4300000","","","/mutual-fund/holding-history/7923/878/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","573986604.9","601774000","0.94","586239","","","/mutual-fund/holding-history/7923/1313/"
