"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","2719093790","2774080000","4.06","1863925","","","/mutual-fund/holding-history/7923/913/"
"BSE Ltd","BSE","","Financial Services","2467755882","2682440000","3.93","968355","-28875","-2.9","/mutual-fund/holding-history/7923/52884/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","2681954055","2617198000","3.84","2779227","","","/mutual-fund/holding-history/7923/677/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2241359577.8","2413135000","3.54","1235794","","","/mutual-fund/holding-history/7923/2170198/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2542648075.8","2350223000","3.44","1418018","","","/mutual-fund/holding-history/7923/1071/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","2140226985.9","2190556000","3.21","3106731","","","/mutual-fund/holding-history/7923/696/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","2204963024.3","2163408000","3.17","824501","","","/mutual-fund/holding-history/7923/897/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2274094316","2158632000","3.16","247507","","","/mutual-fund/holding-history/7923/88/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2109551568","2113143000","3.1","1158585","","","/mutual-fund/holding-history/7923/710819/"
"UPL Ltd","UPL","512070","Basic Materials","2266918319.4","2073736000","3.04","3136084","","","/mutual-fund/holding-history/7923/1455/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1829099115.5","2006434000","2.94","224333","","","/mutual-fund/holding-history/7923/853/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1856217613.6","1944199000","2.85","1117934","","","/mutual-fund/holding-history/7923/91/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","1777901013.7","1872545000","2.74","937069","-291","-0.03","/mutual-fund/holding-history/7923/154217/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1749753410.5","1734651000","2.54","740323","","","/mutual-fund/holding-history/7923/478/"
"KEI Industries Ltd","KEI","517569","Industrials","1670307657.6","1587552000","2.33","418592","","","/mutual-fund/holding-history/7923/729/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1415396006.5","1536880000","2.25","1174895","","","/mutual-fund/holding-history/7923/184/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1446278400","1455034000","2.13","354480","","","/mutual-fund/holding-history/7923/1038/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1462462484","1416171000","2.08","424690","","","/mutual-fund/holding-history/7923/387/"
"SRF Ltd","SRF","503806","Industrials","1309877676","1353979000","1.98","417624","","","/mutual-fund/holding-history/7923/1283/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","1409920892.1","1315997000","1.93","1644894","","","/mutual-fund/holding-history/7923/64356/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1355670501.2","1267080000","1.86","691034","","","/mutual-fund/holding-history/7923/338662/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1126762308.6","1176399000","1.72","984846","","","/mutual-fund/holding-history/7923/166089/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1218806265.6","1152218000","1.69","284688","","","/mutual-fund/holding-history/7923/406/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1216402730.55","1131918000","1.66","1960201","","","/mutual-fund/holding-history/7923/71/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1066881997.8","1010971000","1.48","297397","","","/mutual-fund/holding-history/7923/297/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","930238290","925244000","1.36","46246","-5969","-11.43","/mutual-fund/holding-history/7923/202203/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","952685792.6","919622000","1.35","190789","","","/mutual-fund/holding-history/7923/914/"
"Timken India Ltd","TIMKEN","522113","Industrials","903690391.8","903097000","1.32","258153","","","/mutual-fund/holding-history/7923/1399/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","811083128.1","871258000","1.28","198401","","","/mutual-fund/holding-history/7923/1324/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","816040687.4","775079000","1.14","679298","9005","1.34","/mutual-fund/holding-history/7923/764/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","700926909.9","682321000","1","403597","","","/mutual-fund/holding-history/7923/1357/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","418132000","665769000","0.98","4300000","","","/mutual-fund/holding-history/7923/878/"
"Vedanta Ltd","VEDL","500295","Basic Materials","621017370.6","635144000","0.93","1378201","100000","7.82","/mutual-fund/holding-history/7923/1289/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","614004300","632891000","0.93","318500","49620","18.45","/mutual-fund/holding-history/7923/318/"
"Polycab India Ltd","POLYCAB","542652","Industrials","669669705","630272000","0.92","96210","15000","18.47","/mutual-fund/holding-history/7923/139599/"
"BEML Ltd","BEML","500048","Industrials","600549713.4","616142000","0.9","138229","","","/mutual-fund/holding-history/7923/176/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","590928912","608633000","0.89","586239","","","/mutual-fund/holding-history/7923/1313/"
