"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","361370380","299558000","2.67","22742","-2274","-9.09","/mutual-fund/holding-history/424603/1263/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","297259725.4","281569000","2.51","256391","50376","24.45","/mutual-fund/holding-history/424603/276825/"
"Indian Bank","INDIANB","532814","Financial Services","268618444.15","254346000","2.27","449533","","","/mutual-fund/holding-history/424603/609/"
"SRF Ltd","SRF","503806","Industrials","214354806.3","223925000","2","74421","","","/mutual-fund/holding-history/424603/1283/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","226645164.75","210894000","1.88","943765","148247","18.64","/mutual-fund/holding-history/424603/54143/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","212104651.05","206268000","1.84","300879","21917","7.86","/mutual-fund/holding-history/424603/424/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","239011108.57","206151000","1.84","3655163","","","/mutual-fund/holding-history/424603/1337/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","222705637.2","202974000","1.81","124884","-2654","-2.08","/mutual-fund/holding-history/424603/710819/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","207627970.33","201591000","1.8","1024969","","","/mutual-fund/holding-history/424603/412/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","196712152.5","199525000","1.78","37957","","","/mutual-fund/holding-history/424603/1311/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","188462340","183943000","1.64","108900","-7249","-6.24","/mutual-fund/holding-history/424603/2170198/"
"UPL Ltd","UPL","512070","Basic Materials","172916981.65","183766000","1.64","274319","6707","2.51","/mutual-fund/holding-history/424603/1455/"
"Marico Ltd","MARICO","531642","Consumer Defensive","181219755.6","179903000","1.61","253224","-38917","-13.32","/mutual-fund/holding-history/424603/840/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","156765308","170903000","1.52","10388","-4287","-29.21","/mutual-fund/holding-history/424603/60393/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","160049265.35","169592000","1.51","271477","7238","2.74","/mutual-fund/holding-history/424603/374/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","181869950","167552000","1.49","51412","","","/mutual-fund/holding-history/424603/387/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","156727812.2","166748000","1.49","36878","","","/mutual-fund/holding-history/424603/914/"
"REC Ltd","RECLTD","532955","Financial Services","160135942.65","166045000","1.48","395251","25915","7.02","/mutual-fund/holding-history/424603/1119/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","179122038.6","164585000","1.47","434604","57752","15.32","/mutual-fund/holding-history/424603/556/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","163071961.2","162737000","1.45","609387","20289","3.44","/mutual-fund/holding-history/424603/755501/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","166442040","157043000","1.4","29511","-9453","-24.26","/mutual-fund/holding-history/424603/1023/"
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","173498002.5","153777000","1.37","127807","21831","20.6","/mutual-fund/holding-history/424603/2582/"
