"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","387114324","366237000","3.05","22742","","","/mutual-fund/holding-history/424603/1263/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","319001682.2","288491000","2.4","256391","","","/mutual-fund/holding-history/424603/276825/"
"Indian Bank","INDIANB","532814","Financial Services","285296118.45","277182000","2.31","449533","","","/mutual-fund/holding-history/424603/609/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","238426282.49","261271000","2.18","3655163","","","/mutual-fund/holding-history/424603/1337/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","217113138.25","227674000","1.9","943765","","","/mutual-fund/holding-history/424603/54143/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","238291160.4","219996000","1.83","124884","","","/mutual-fund/holding-history/424603/710819/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","221813803.26","218611000","1.82","1081913","56944","5.56","/mutual-fund/holding-history/424603/412/"
"SRF Ltd","SRF","503806","Industrials","230816731.5","212918000","1.77","74421","","","/mutual-fund/holding-history/424603/1283/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","229675984.65","212511000","1.77","300879","","","/mutual-fund/holding-history/424603/424/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","200930945","206107000","1.72","40126","2169","5.71","/mutual-fund/holding-history/424603/1311/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","192698550","199363000","1.66","108900","","","/mutual-fund/holding-history/424603/2170198/"
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","195120827.4","184449000","1.54","132402","4595","3.6","/mutual-fund/holding-history/424603/2582/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","188046705","183335000","1.53","81795","","","/mutual-fund/holding-history/424603/67/"
"Marico Ltd","MARICO","531642","Consumer Defensive","174357385.2","181422000","1.51","253224","","","/mutual-fund/holding-history/424603/840/"
"UPL Ltd","UPL","512070","Basic Materials","183678316.25","179407000","1.49","285725","11406","4.16","/mutual-fund/holding-history/424603/1455/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","171494738.4","178644000","1.49","434604","","","/mutual-fund/holding-history/424603/556/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","166521950.7","173263000","1.44","630049","20662","3.39","/mutual-fund/holding-history/424603/755501/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","162040341.6","170775000","1.42","51412","","","/mutual-fund/holding-history/424603/387/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","168298075.4","167521000","1.4","60242","5019","9.09","/mutual-fund/holding-history/424603/1430/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","177759508.5","166383000","1.39","29511","","","/mutual-fund/holding-history/424603/1023/"
"REC Ltd","RECLTD","532955","Financial Services","164885295.75","164497000","1.37","408891","13640","3.45","/mutual-fund/holding-history/424603/1119/"
"PTC Industries Ltd","PTCIL","539006","Industrials","160868032","160900000","1.34","10517","","","/mutual-fund/holding-history/424603/4156/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","193092301.6","158874000","1.32","108424","10933","11.21","/mutual-fund/holding-history/424603/1527/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","155121957.8","158597000","1.32","271477","","","/mutual-fund/holding-history/424603/374/"
"Coforge Ltd","COFORGE","532541","Technology","33973269.5","158261000","1.32","18509","","","/mutual-fund/holding-history/424603/942/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","165726044.2","157145000","1.31","36878","","","/mutual-fund/holding-history/424603/914/"
