"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","1216652427.5","3220268000","5.33","506411","","","/mutual-fund/holding-history/8665/52884/"
"L&T Finance Ltd","LTF","533519","Financial Services","2919281323.6","2767081000","4.58","16854973","","","/mutual-fund/holding-history/8665/777/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2736276565","2603913000","4.31","1893617","236434","14.27","/mutual-fund/holding-history/8665/1071/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2339345100","2555571000","4.23","155335","","","/mutual-fund/holding-history/8665/60393/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2604515579.6","2467034000","4.08","2246434","","","/mutual-fund/holding-history/8665/276825/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","2537000728.7","2459834000","4.07","12506782","","","/mutual-fund/holding-history/8665/412/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","2457211070","2281854000","3.77","441151","20000","4.75","/mutual-fund/holding-history/8665/1412/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2285540200","2204770000","3.65","431234","","","/mutual-fund/holding-history/8665/683/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2501903416.8","2197754000","3.63","1684103","","","/mutual-fund/holding-history/8665/845/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2109798620","1920729000","3.18","439084","101760","30.17","/mutual-fund/holding-history/8665/94155/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1837327002.2","1828457000","3.02","1323818","150087","12.79","/mutual-fund/holding-history/8665/464/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1831104396","1807518000","2.99","344322","","","/mutual-fund/holding-history/8665/1784/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","1913848660.2","1722360000","2.85","1154242","","","/mutual-fund/holding-history/8665/262/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1674958782.4","1656693000","2.74","1383806","","","/mutual-fund/holding-history/8665/1108489/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1438113619.4","1543510000","2.55","2157548","","","/mutual-fund/holding-history/8665/701/"
"Coforge Ltd","COFORGE","532541","Technology","1742489280","1504596000","2.49","205968","-28950","-12.32","/mutual-fund/holding-history/8665/942/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1502357005.5","1483959000","2.45","212693","","","/mutual-fund/holding-history/8665/93/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1452996710.2","1433962000","2.37","4532117","1792825","65.45","/mutual-fund/holding-history/8665/2755533/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1372805948.85","1402450000","2.32","1780437","","","/mutual-fund/holding-history/8665/606/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","1460231330.8","1394107000","2.31","2000728","","","/mutual-fund/holding-history/8665/2840733/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1212980120","1191189000","1.97","705221","","","/mutual-fund/holding-history/8665/2170198/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","1321840397.5","1186812000","1.96","479675","","","/mutual-fund/holding-history/8665/877860/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","1113926480","1052969000","1.74","1175648","","","/mutual-fund/holding-history/8665/677/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","966229562.2","994183000","1.64","597286","32023","5.67","/mutual-fund/holding-history/8665/1036/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","951565400.6","967445000","1.6","515558","","","/mutual-fund/holding-history/8665/61147/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","951397303.5","915201000","1.51","159243","","","/mutual-fund/holding-history/8665/1124672/"
"ABB India Ltd","ABB","500002","Industrials","989454928","911698000","1.51","165088","","","/mutual-fund/holding-history/8665/17/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","934514160","881741000","1.46","165694","","","/mutual-fund/holding-history/8665/1023/"
