"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","4097979094.2","4062429000","6.12","1519233","","","/mutual-fund/holding-history/8665/52884/"
"L&T Finance Ltd","LTF","533519","Financial Services","3230424125.18","2887088000","4.35","16854973","","","/mutual-fund/holding-history/8665/777/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","3217823368.1","2777179000","4.18","1893617","","","/mutual-fund/holding-history/8665/1071/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2836284964","2702654000","4.07","1798532","114429","6.79","/mutual-fund/holding-history/8665/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","2620693134.62","2575445000","3.88","12745942","239160","1.91","/mutual-fund/holding-history/8665/412/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2800853911.2","2527688000","3.81","2246434","","","/mutual-fund/holding-history/8665/276825/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","2505517104.5","2489636000","3.75","441151","","","/mutual-fund/holding-history/8665/1412/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2578132469","2370709000","3.57","431234","","","/mutual-fund/holding-history/8665/683/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2223309855","2282182000","3.44","155335","","","/mutual-fund/holding-history/8665/60393/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2182379205.2","2100139000","3.16","439084","","","/mutual-fund/holding-history/8665/94155/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2068613165","2048436000","3.08","384322","40000","11.62","/mutual-fund/holding-history/8665/1784/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","2360458429.8","2043141000","3.08","1402197","78379","5.92","/mutual-fund/holding-history/8665/464/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2171057219.9","2003243000","3.02","6014842","1482725","32.72","/mutual-fund/holding-history/8665/2755533/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","1863124513.25","1912298000","2.88","2230085","2230085","New","/mutual-fund/holding-history/8665/2974675/"
