"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","3830594086.2","3687786000","4.73","1519233","","","https://trendlyne.com/mutual-fund/holding-history/8665/52884/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","3220564698.7","3577642000","4.59","1676417","","","https://trendlyne.com/mutual-fund/holding-history/8665/464/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","3685587313.8","3534994000","4.53","8755404","957513","12.28","https://trendlyne.com/mutual-fund/holding-history/8665/2755533/"
"L&T Finance Ltd","LTF","533519","Financial Services","3648596005.31","3414649000","4.38","16854973","","","https://trendlyne.com/mutual-fund/holding-history/8665/777/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","3309512238","3304433000","4.24","2031622","","","https://trendlyne.com/mutual-fund/holding-history/8665/1071/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","3486159425","3084962000","3.95","463277","32043","7.43","https://trendlyne.com/mutual-fund/holding-history/8665/683/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3316785472","3028168000","3.88","2016896","174838","9.49","https://trendlyne.com/mutual-fund/holding-history/8665/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","2913420176.7","2953988000","3.79","14592638","1181051","8.81","https://trendlyne.com/mutual-fund/holding-history/8665/412/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2757722378.4","2799057000","3.59","2246434","","","https://trendlyne.com/mutual-fund/holding-history/8665/276825/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2621588795","2615997000","3.35","155335","","","https://trendlyne.com/mutual-fund/holding-history/8665/60393/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2507169640","2480825000","3.18","439084","","","https://trendlyne.com/mutual-fund/holding-history/8665/94155/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","2645275752.9","2334559000","2.99","2887698","255607","9.71","https://trendlyne.com/mutual-fund/holding-history/8665/2840733/"
"Global Health Ltd","MEDANTA","543654","Healthcare","2410604358.3","2293914000","2.94","1749477","115671","7.08","https://trendlyne.com/mutual-fund/holding-history/8665/1108489/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","2408022733.5","2213696000","2.84","441151","","","https://trendlyne.com/mutual-fund/holding-history/8665/1412/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2244210475.5","2152090000","2.76","364113","-20209","-5.26","https://trendlyne.com/mutual-fund/holding-history/8665/1784/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","2020650550.1","1834468000","2.35","2605778","343750","15.2","https://trendlyne.com/mutual-fund/holding-history/8665/2974675/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1799294794.99","1673712000","2.15","11994499","","","https://trendlyne.com/mutual-fund/holding-history/8665/2839786/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","1759988201.6","1665802000","2.14","1154242","","","https://trendlyne.com/mutual-fund/holding-history/8665/262/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1686121343","1607136000","2.06","214342","-26950","-11.17","https://trendlyne.com/mutual-fund/holding-history/8665/93/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","1325889625.5","1447211000","1.85","524295","44620","9.3","https://trendlyne.com/mutual-fund/holding-history/8665/877860/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1506811446","1432484000","1.84","965286","224000","30.22","https://trendlyne.com/mutual-fund/holding-history/8665/1036/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1233859300","1284395000","1.65","695132","-10089","-1.43","https://trendlyne.com/mutual-fund/holding-history/8665/2170198/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","1259353718.4","1276599000","1.64","676272","643080","1937.45","https://trendlyne.com/mutual-fund/holding-history/8665/1424/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1119768648","1194460000","1.53","134096","","","https://trendlyne.com/mutual-fund/holding-history/8665/88/"
