"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","18656804925","17171675000","3.46","7755250","","","/mutual-fund/holding-history/8582/284/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","17429425597.85","16949773000","3.41","24724343","","","/mutual-fund/holding-history/8582/424/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","16482789863","15895172000","3.2","11343971","353499","3.22","/mutual-fund/holding-history/8582/642/"
"Mphasis Ltd","MPHASIS","526299","Technology","15677362445.8","15259563000","3.07","6180463","236383","3.98","/mutual-fund/holding-history/8582/881/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","17552364130","14550015000","2.93","1104617","","","/mutual-fund/holding-history/8582/1263/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","12855329252.5","13343380000","2.69","1529941","","","/mutual-fund/holding-history/8582/964/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","14018401652.7","13150813000","2.65","8010973","","","/mutual-fund/holding-history/8582/962/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","12823471150","12405404000","2.5","2426390","-111425","-4.39","/mutual-fund/holding-history/8582/683/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","11408299560","12398556000","2.5","753620","","","/mutual-fund/holding-history/8582/60393/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","12238783080","11547639000","2.33","2169997","","","/mutual-fund/holding-history/8582/1023/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","15678637882.2","11099500000","2.24","7087351","449550","6.77","/mutual-fund/holding-history/8582/67/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","11304583890.6","11049460000","2.23","6541626","-745261","-10.23","/mutual-fund/holding-history/8582/2170198/"
"Bharat Electronics Ltd","BEL","500049","Industrials","12944716923","10549911000","2.13","33587745","","","/mutual-fund/holding-history/8582/175/"
"PI Industries Ltd","PIIND","523642","Basic Materials","10616197500","10305355000","2.08","2830986","","","/mutual-fund/holding-history/8582/1038/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","11564167256","10075564000","2.03","2901196","","","/mutual-fund/holding-history/8582/406/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","10186844163.2","10063337000","2.03","24701368","1000000","4.22","/mutual-fund/holding-history/8582/1026/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","9973113102","9189338000","1.85","24265482","","","/mutual-fund/holding-history/8582/556/"
"Wipro Ltd","WIPRO","507685","Technology","9366505269","9111827000","1.84","37730132","","","/mutual-fund/holding-history/8582/1526/"
"Global Health Ltd","MEDANTA","543654","Healthcare","9074507951.6","8982968000","1.81","7503314","","","/mutual-fund/holding-history/8582/1108489/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","7901536581.6","8702809000","1.75","5100398","100000","2","/mutual-fund/holding-history/8582/209/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","8924948547.6","8446552000","1.7","7691269","","","/mutual-fund/holding-history/8582/276825/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","7848657150","7997831000","1.61","4262100","","","/mutual-fund/holding-history/8582/61147/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","8626909699.2","7885955000","1.59","22419204","","","/mutual-fund/holding-history/8582/404/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","8107217986.4","7703270000","1.55","3979784","","","/mutual-fund/holding-history/8582/318/"
"SRF Ltd","SRF","503806","Industrials","7315791655","7629978000","1.54","2535803","","","/mutual-fund/holding-history/8582/1283/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","7620293520.3","7620928000","1.54","12681467","","","/mutual-fund/holding-history/8582/790/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","6841334380","7243698000","1.46","11595482","","","/mutual-fund/holding-history/8582/374/"
"Birlasoft Ltd","BSOFT","532400","Technology","7700836281","7231929000","1.46","18533902","500000","2.77","/mutual-fund/holding-history/8582/763/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","7120149135.6","6913121000","1.39","35149080","","","/mutual-fund/holding-history/8582/412/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","6978142868.4","6897483000","1.39","21799884","5313484","32.23","/mutual-fund/holding-history/8582/2755533/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","7672696497.6","6848907000","1.38","6400848","","","/mutual-fund/holding-history/8582/750564/"
"KEI Industries Ltd","KEI","517569","Industrials","7588851483","6580398000","1.33","2147930","345508","19.17","/mutual-fund/holding-history/8582/729/"
