"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","18788430553","17788752000","3.33","1104617","","","/mutual-fund/holding-history/8582/1263/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","18910413743.55","17462803000","3.27","24724343","","","/mutual-fund/holding-history/8582/424/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","15492374375","16200760000","3.03","11370550","26579","0.23","/mutual-fund/holding-history/8582/642/"
"Mphasis Ltd","MPHASIS","526299","Technology","16928278410.4","15999143000","2.99","6252596","72133","1.17","/mutual-fund/holding-history/8582/881/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","16292402478.8","15885589000","2.97","7087351","","","/mutual-fund/holding-history/8582/67/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","13811987748","14177721000","2.65","964996","211376","28.05","/mutual-fund/holding-history/8582/60393/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","15452365819.7","13989562000","2.62","8010973","","","/mutual-fund/holding-history/8582/962/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","14506172615","13339079000","2.49","2426390","","","/mutual-fund/holding-history/8582/683/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","12980335432.2","13115535000","2.45","5728809","-2026441","-26.13","/mutual-fund/holding-history/8582/284/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","14814418703","12947126000","2.42","1529941","","","/mutual-fund/holding-history/8582/964/"
"Bharat Electronics Ltd","BEL","500049","Industrials","13564410818.25","12917847000","2.42","33587745","","","/mutual-fund/holding-history/8582/175/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","13763370733.9","12699517000","2.38","38130962","16331078","74.91","/mutual-fund/holding-history/8582/2755533/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","13061211943","12234443000","2.29","2169997","","","/mutual-fund/holding-history/8582/1023/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","11657005528","12152240000","2.27","2901196","","","/mutual-fund/holding-history/8582/406/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","11566248930.6","11975755000","2.24","6541626","","","/mutual-fund/holding-history/8582/2170198/"
"PI Industries Ltd","PIIND","523642","Basic Materials","11738683449","10824841000","2.02","2830986","","","/mutual-fund/holding-history/8582/1038/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","10042341160.4","10027520000","1.88","24701368","","","/mutual-fund/holding-history/8582/1026/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","9593358308.7","9974326000","1.87","24265482","","","/mutual-fund/holding-history/8582/556/"
"Wipro Ltd","WIPRO","507685","Technology","9918874401.48","9420082000","1.76","37730132","","","/mutual-fund/holding-history/8582/1526/"
"Global Health Ltd","MEDANTA","543654","Healthcare","9133033800.8","8915438000","1.67","7503314","","","/mutual-fund/holding-history/8582/1108489/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","8615700097.2","8672869000","1.62","22419204","","","/mutual-fund/holding-history/8582/404/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","9589474189.2","8654216000","1.62","7691269","","","/mutual-fund/holding-history/8582/276825/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","7595019785.6","8068216000","1.51","3979784","","","/mutual-fund/holding-history/8582/318/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","8288505870","7993142000","1.5","4262100","","","/mutual-fund/holding-history/8582/61147/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","8664040588.8","7924970000","1.48","5171944","71546","1.4","/mutual-fund/holding-history/8582/209/"
"KEI Industries Ltd","KEI","517569","Industrials","7915551636","7754457000","1.45","2147930","","","/mutual-fund/holding-history/8582/729/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","7923609739.2","7723903000","1.44","6400848","","","/mutual-fund/holding-history/8582/750564/"
"Apar Industries Ltd","APARINDS","532259","Industrials","7254461894.5","7608441000","1.42","937693","","","/mutual-fund/holding-history/8582/88/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","7678628268.5","7563861000","1.41","12681467","","","/mutual-fund/holding-history/8582/790/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","7851521867","7481599000","1.4","4978771","","","/mutual-fund/holding-history/8582/845/"
"Birlasoft Ltd","BSOFT","532400","Technology","7826866814.6","7422828000","1.39","18533902","","","/mutual-fund/holding-history/8582/763/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","7753763790","7328175000","1.37","30750600","10000000","48.19","/mutual-fund/holding-history/8582/589490/"
"SRF Ltd","SRF","503806","Industrials","7856424854.6","7254932000","1.36","2535803","","","/mutual-fund/holding-history/8582/1283/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","7686774502.4","7217402000","1.35","5816264","","","/mutual-fund/holding-history/8582/184/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","6987022746","7118116000","1.33","989383","139680","16.44","/mutual-fund/holding-history/8582/1715909/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","7227002338.8","7102223000","1.33","35149080","","","/mutual-fund/holding-history/8582/412/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","7303951728.4","6963276000","1.3","6917276","","","/mutual-fund/holding-history/8582/864/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","6652328023.4","6774081000","1.27","11595482","","","/mutual-fund/holding-history/8582/374/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","6970086705.6","6733493000","1.26","4016878","","","/mutual-fund/holding-history/8582/665/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","6671916954.5","6709668000","1.25","6453155","","","/mutual-fund/holding-history/8582/709/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","6532670377.2","6522729000","1.22","52324152","3723872","7.66","/mutual-fund/holding-history/8582/2839786/"
"Oil India Ltd","OIL","533106","Energy","7324565897.3","6501247000","1.22","15232538","","","/mutual-fund/holding-history/8582/965/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","6316729337.6","6072447000","1.14","4808716","31780","0.67","/mutual-fund/holding-history/8582/1500/"
"Polycab India Ltd","POLYCAB","542652","Industrials","6024439467","5910008000","1.11","986481","","","/mutual-fund/holding-history/8582/139599/"
"MRF Ltd","MRF","500290","Consumer Cyclical","5782622730","5898152000","1.1","42474","","","/mutual-fund/holding-history/8582/883/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","5262352098.5","5538459000","1.04","1875727","","","/mutual-fund/holding-history/8582/888523/"
"BSE Ltd","BSE","","Financial Services","5549671221","5501528000","1.03","2057415","-600000","-22.58","/mutual-fund/holding-history/8582/52884/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","5438951350","5380203000","1.01","1895105","","","/mutual-fund/holding-history/8582/1114/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","5174188044.9","5059138000","0.95","2792481","","","/mutual-fund/holding-history/8582/91/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","4610515541.35","4847454000","0.91","10301677","","","/mutual-fund/holding-history/8582/94/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","4788032275","4803483000","0.9","359327","","","/mutual-fund/holding-history/8582/1508/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","4101310630.95","4134003000","0.77","10897597","","","/mutual-fund/holding-history/8582/1476/"
"Thermax Ltd","THERMAX","500411","Industrials","3751385316","3599163000","0.67","1062264","-353739","-24.98","/mutual-fund/holding-history/8582/1387/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","3782194534","3586559000","0.67","2544020","","","/mutual-fund/holding-history/8582/118204/"
"Tech Mahindra Ltd","TECHM","532755","Technology","3676743768.1","3416274000","0.64","2170579","","","/mutual-fund/holding-history/8582/1374/"
"REC Ltd","RECLTD","532955","Financial Services","3284843342","3291388000","0.62","8181428","","","/mutual-fund/holding-history/8582/1119/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","3110670193.2","3128386000","0.59","1265426","","","/mutual-fund/holding-history/8582/153/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","2717127405.3","2790102000","0.52","25077318","-7559330","-23.16","/mutual-fund/holding-history/8582/2789016/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","2512982515.4","2398688000","0.45","4288732","","","/mutual-fund/holding-history/8582/77534/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","2231354113.45","2290246000","0.43","2670841","","","/mutual-fund/holding-history/8582/2974675/"
