"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","20004465921.3","19643491000","3.44","24724343","","","/mutual-fund/holding-history/8582/424/"
"Mphasis Ltd","MPHASIS","526299","Technology","18312523536","18762226000","3.29","6593880","341284","5.46","/mutual-fund/holding-history/8582/881/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","14745389428","17371091000","3.04","987106","-117511","-10.64","/mutual-fund/holding-history/8582/1263/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","17373932241.4","16733944000","2.93","7087351","","","/mutual-fund/holding-history/8582/67/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","17256050492.4","16563161000","2.9","41366536","3235574","8.49","/mutual-fund/holding-history/8582/2755533/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","17388872011","16550510000","2.9","11908555","538005","4.73","/mutual-fund/holding-history/8582/642/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","17786810176","16540453000","2.9","1103948","138952","14.4","/mutual-fund/holding-history/8582/60393/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","17166940053.96","16192809000","2.84","120859899","68535747","130.98","/mutual-fund/holding-history/8582/2839786/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","14629638892.6","15265710000","2.67","8010973","","","/mutual-fund/holding-history/8582/962/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","15747271100","14922299000","2.61","2426390","","","/mutual-fund/holding-history/8582/683/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","13486189266.9","14351812000","2.51","5728809","","","/mutual-fund/holding-history/8582/284/"
"Bharat Electronics Ltd","BEL","500049","Industrials","13539220009.5","14157235000","2.48","33587745","","","/mutual-fund/holding-history/8582/175/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","13321961257.5","13748050000","2.41","1529941","","","/mutual-fund/holding-history/8582/964/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","12398277859.5","13110037000","2.3","2169997","","","/mutual-fund/holding-history/8582/1023/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","11864547076.2","12773833000","2.24","6541626","","","/mutual-fund/holding-history/8582/2170198/"
