"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","1275340000","1208020000","3.4","1100000","100000","10","/mutual-fund/holding-history/135331/276825/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","937114351.2","892293000","2.51","307836","116343","60.76","/mutual-fund/holding-history/135331/67548/"
"Indian Bank","INDIANB","532814","Financial Services","836570000","792120000","2.23","1400000","","","/mutual-fund/holding-history/135331/609/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","881969113.5","774946000","2.18","478421","278421","139.21","/mutual-fund/holding-history/135331/91/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","782155000","772750000","2.18","550000","550000","New","/mutual-fund/holding-history/135331/1127/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","761464000","743204000","2.09","440000","","","/mutual-fund/holding-history/135331/2170198/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","759637500","737550000","2.08","3750000","","","/mutual-fund/holding-history/135331/412/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","731994000","731500000","2.06","380000","","","/mutual-fund/holding-history/135331/533/"
"Marico Ltd","MARICO","531642","Consumer Defensive","726384750","721107000","2.03","1015000","","","/mutual-fund/holding-history/135331/840/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","720307200","710646000","2","498000","-52000","-9.45","/mutual-fund/holding-history/135331/584/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","802912947","710153000","2","794177","225176","39.57","/mutual-fund/holding-history/135331/864/"
"State Bank of India","SBIN","500112","Financial Services","702424500","697955000","1.96","885000","-170000","-16.11","/mutual-fund/holding-history/135331/1193/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","655160000","676005000","1.9","550000","","","/mutual-fund/holding-history/135331/132/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","687050000","664651000","1.87","130000","","","/mutual-fund/holding-history/135331/683/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","696412500","658303000","1.85","735000","","","/mutual-fund/holding-history/135331/677/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","595661203.2","656066000","1.85","384496","40000","11.61","/mutual-fund/holding-history/135331/209/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","662462242.4","638287000","1.8","1331984","906984","213.41","/mutual-fund/holding-history/135331/697/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","652984000","634384000","1.79","124000","","","/mutual-fund/holding-history/135331/1878/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","642600000","630411000","1.77","510000","","","/mutual-fund/holding-history/135331/1500/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","711811674.35","629538000","1.77","650383","","","/mutual-fund/holding-history/135331/1019/"
"Petronet LNG Ltd","PETRONET","532522","Energy","616200000","611813000","1.72","1950000","","","/mutual-fund/holding-history/135331/1025/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","707108096.1","606133000","1.71","949011","","","/mutual-fund/holding-history/135331/64356/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","561346751.8","606124000","1.71","393817","","","/mutual-fund/holding-history/135331/1410/"
"Coforge Ltd","COFORGE","532541","Technology","698534753","603203000","1.7","82574","","","/mutual-fund/holding-history/135331/942/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","626790120","591394000","1.66","111133","","","/mutual-fund/holding-history/135331/1023/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","584512183.4","589026000","1.66","467722","356931","322.17","/mutual-fund/holding-history/135331/1521/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","541058838.3","575382000","1.62","1409558","","","/mutual-fund/holding-history/135331/629/"
"REC Ltd","RECLTD","532955","Financial Services","548167950","568395000","1.6","1353000","560000","70.62","/mutual-fund/holding-history/135331/1119/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","638003146","555876000","1.56","160061","","","/mutual-fund/holding-history/135331/406/"
"Lupin Ltd","LUPIN","500257","Healthcare","522079357.6","555309000","1.56","264988","133111","100.94","/mutual-fund/holding-history/135331/804/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","618113334","530547000","1.49","1019989","435890","74.63","/mutual-fund/holding-history/135331/1418/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","482912000","526464000","1.48","32000","","","/mutual-fund/holding-history/135331/60393/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","628878530","521308000","1.47","39577","","","/mutual-fund/holding-history/135331/1263/"
"Mphasis Ltd","MPHASIS","526299","Technology","532686000","518490000","1.46","210000","","","/mutual-fund/holding-history/135331/881/"
"Oil India Ltd","OIL","533106","Energy","539750000","513438000","1.45","1250000","","","/mutual-fund/holding-history/135331/965/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","556402500","511245000","1.44","1350000","","","/mutual-fund/holding-history/135331/556/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","514635000","501765000","1.41","11000","","","/mutual-fund/holding-history/135331/994/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","461118095.1","496066000","1.4","949682","","","/mutual-fund/holding-history/135331/4813/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","481680000","480690000","1.35","1800000","","","/mutual-fund/holding-history/135331/755501/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","476100000","472688000","1.33","375000","","","/mutual-fund/holding-history/135331/476/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","452358000","465732000","1.31","180000","","","/mutual-fund/holding-history/135331/276/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","485991009.3","456575000","1.29","266691","166427","165.99","/mutual-fund/holding-history/135331/744/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","497506598","453387000","1.28","2331880","700000","42.9","/mutual-fund/holding-history/135331/2956218/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","523120000","451200000","1.27","8000000","","","/mutual-fund/holding-history/135331/1337/"
"KEI Industries Ltd","KEI","517569","Industrials","517022217.6","448254000","1.26","146316","","","/mutual-fund/holding-history/135331/729/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","498885220.8","444842000","1.25","133506","","","/mutual-fund/holding-history/135331/244/"
"CRISIL Ltd","CRISIL","500092","Financial Services","515681294","444005000","1.25","99716","","","/mutual-fund/holding-history/135331/292/"
"Biocon Ltd","BIOCON","532523","Healthcare","438915500","421558000","1.19","1310000","","","/mutual-fund/holding-history/135331/197/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","425950000","419790000","1.18","14000","","","/mutual-fund/holding-history/135331/18/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","450532462.5","415063000","1.17","127359","","","/mutual-fund/holding-history/135331/387/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","440440000","389160000","1.1","800000","","","/mutual-fund/holding-history/135331/863/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","413710192.8","377784000","1.06","1074014","","","/mutual-fund/holding-history/135331/404/"
"L&T Finance Ltd","LTF","533519","Financial Services","395010327.9","376372000","1.06","2292573","","","/mutual-fund/holding-history/135331/777/"
"Apar Industries Ltd","APARINDS","532259","Industrials","451114000","330577000","0.93","59000","","","/mutual-fund/holding-history/135331/88/"
"NMDC Ltd","NMDC","526371","Basic Materials","369586775.46","329193000","0.93","5080929","500000","10.91","/mutual-fund/holding-history/135331/949/"
"Havells India Ltd","HAVELLS","517354","Industrials","314520000","320200000","0.9","200000","","","/mutual-fund/holding-history/135331/525/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","315446250","315499000","0.89","525000","","","/mutual-fund/holding-history/135331/790/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","403659533.7","309062000","0.87","164833","","","/mutual-fund/holding-history/135331/4797/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","325906360","307962000","0.87","96422","","","/mutual-fund/holding-history/135331/46/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","318273255.2","306297000","0.86","748526","","","/mutual-fund/holding-history/135331/1419/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","221364823.55","234563000","0.66","375481","","","/mutual-fund/holding-history/135331/374/"
"LMW Ltd","LMW","500252","Industrials","183592500","171192000","0.48","10491","","","/mutual-fund/holding-history/135331/785/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","173528000","153096000","0.43","40000","","","/mutual-fund/holding-history/135331/540/"
"Atul Ltd","ATUL","500027","Basic Materials","147672000","141666000","0.4","21000","21000","New","/mutual-fund/holding-history/135331/129/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","121998000","126630000","0.36","600000","","","/mutual-fund/holding-history/135331/1093348/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","94812500","97744000","0.28","125000","","","/mutual-fund/holding-history/135331/816269/"
