"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","1371480000","1237720000","3.28","1100000","","","/mutual-fund/holding-history/135331/276825/"
"Indian Bank","INDIANB","532814","Financial Services","1005993000","980394000","2.6","1590000","190000","13.57","/mutual-fund/holding-history/135331/609/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","919598482.8","942625000","2.5","307836","","","/mutual-fund/holding-history/135331/67548/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","886466270.9","866755000","2.3","478421","","","/mutual-fund/holding-history/135331/91/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","777964000","805508000","2.13","440000","","","/mutual-fund/holding-history/135331/2170198/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","838571494.3","799458000","2.12","794177","","","/mutual-fund/holding-history/135331/864/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","790790000","781495000","2.07","550000","","","/mutual-fund/holding-history/135331/1127/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","771037500","757725000","2.01","3750000","","","/mutual-fund/holding-history/135331/412/"
"Marico Ltd","MARICO","531642","Consumer Defensive","701162000","727197000","1.93","1015000","","","/mutual-fund/holding-history/135331/840/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","748460756.4","720754000","1.91","650383","","","/mutual-fund/holding-history/135331/1019/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","777205000","714675000","1.89","130000","","","/mutual-fund/holding-history/135331/683/"
"Coforge Ltd","COFORGE","532541","Technology","151069133","706049000","1.87","82574","","","/mutual-fund/holding-history/135331/942/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","707677502.7","703170000","1.86","949011","","","/mutual-fund/holding-history/135331/64356/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","678111000","697442000","1.85","735000","","","/mutual-fund/holding-history/135331/677/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","643125098","670448000","1.78","160061","","","/mutual-fund/holding-history/135331/406/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","711115699.2","650455000","1.72","424496","40000","10.4","/mutual-fund/holding-history/135331/209/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","683107994.4","649942000","1.72","1331984","","","/mutual-fund/holding-history/135331/697/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","669936000","644028000","1.71","510000","","","/mutual-fund/holding-history/135331/1500/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","673165193","637348000","1.69","39577","","","/mutual-fund/holding-history/135331/1263/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","603632000","632214000","1.67","124000","","","/mutual-fund/holding-history/135331/1878/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","629970000","631290000","1.67","550000","","","/mutual-fund/holding-history/135331/132/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","668909527","626568000","1.66","111133","","","/mutual-fund/holding-history/135331/1023/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","616436537.04","622185000","1.65","2874232","542352","23.26","/mutual-fund/holding-history/135331/2956218/"
"Petronet LNG Ltd","PETRONET","532522","Energy","586170000","599235000","1.59","1950000","","","/mutual-fund/holding-history/135331/1025/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","612911390.1","592869000","1.57","1019989","","","/mutual-fund/holding-history/135331/1418/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","619076839.2","578058000","1.53","467722","","","/mutual-fund/holding-history/135331/1521/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","523280000","571840000","1.51","8000000","","","/mutual-fund/holding-history/135331/1337/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","533722500","554918000","1.47","1350000","","","/mutual-fund/holding-history/135331/556/"
"REC Ltd","RECLTD","532955","Financial Services","543229500","544312000","1.44","1353000","","","/mutual-fund/holding-history/135331/1119/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","551207655.9","541482000","1.43","1409558","","","/mutual-fund/holding-history/135331/629/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","559613957","541105000","1.43","393817","","","/mutual-fund/holding-history/135331/1410/"
"Mphasis Ltd","MPHASIS","526299","Technology","568554000","537348000","1.42","210000","","","/mutual-fund/holding-history/135331/881/"
"Oil India Ltd","OIL","533106","Energy","601062500","533500000","1.41","1250000","","","/mutual-fund/holding-history/135331/965/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","537078500","529051000","1.4","887000","362000","68.95","/mutual-fund/holding-history/135331/790/"
"KEI Industries Ltd","KEI","517569","Industrials","539203723.2","528230000","1.4","146316","","","/mutual-fund/holding-history/135331/729/"
