"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lupin Ltd","LUPIN","500257","Healthcare","4957261594.2","5272783000","3.42","2516121","295023","13.28","/mutual-fund/holding-history/156995/804/"
"Mphasis Ltd","MPHASIS","526299","Technology","4383358947","4266543000","2.77","1728045","143111","9.03","/mutual-fund/holding-history/156995/881/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","4323248737.43","4197544000","2.72","21341999","-3032726","-12.44","/mutual-fund/holding-history/156995/412/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","4161169125","3924198000","2.55","2465878","268905","12.24","/mutual-fund/holding-history/156995/1357/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","3780477508.5","3598847000","2.33","2617153","165928","6.77","/mutual-fund/holding-history/156995/1071/"
"L&T Finance Ltd","LTF","533519","Financial Services","3767504046.5","3589734000","2.33","21865955","756828","3.59","/mutual-fund/holding-history/156995/777/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","4055676151.2","3581476000","2.32","3243503","605349","22.95","/mutual-fund/holding-history/156995/184/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","4248323968","3575473000","2.32","11701760","","","/mutual-fund/holding-history/156995/888524/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","3658819270.4","3443459000","2.23","1772512","522601","41.81","/mutual-fund/holding-history/156995/120412/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3418870806.4","3388560000","2.2","2859544","-250000","-8.04","/mutual-fund/holding-history/156995/140/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3465959048.16","3349468000","2.17","17232432","","","/mutual-fund/holding-history/156995/705188/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2909763360","2854570000","1.85","2309336","","","/mutual-fund/holding-history/156995/1500/"
"One97 Communications Ltd","PAYTM","543396","Technology","2856720723","2850787000","1.85","3296660","-1192632","-26.57","/mutual-fund/holding-history/156995/712312/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","3087696324.15","2837100000","1.84","7491681","-727108","-8.85","/mutual-fund/holding-history/156995/556/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","2607573727.2","2690538000","1.75","2189031","","","/mutual-fund/holding-history/156995/132/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","2809136941.6","2684814000","1.74","6984428","-573516","-7.59","/mutual-fund/holding-history/156995/1364/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","2568593835","2666110000","1.73","305694","","","/mutual-fund/holding-history/156995/964/"
"Indian Bank","INDIANB","532814","Financial Services","2809984252.95","2660680000","1.73","4702509","-972889","-17.14","/mutual-fund/holding-history/156995/609/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","2848514061.6","2539940000","1.65","762287","-105460","-12.15","/mutual-fund/holding-history/156995/244/"
