"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lupin Ltd","LUPIN","500257","Healthcare","4788681487.2","4876242000","2.84","2516121","","","/mutual-fund/holding-history/156995/804/"
"L&T Finance Ltd","LTF","533519","Financial Services","4708899307.63","4636874000","2.7","22508003","","","/mutual-fund/holding-history/156995/777/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","4460437814.7","4342037000","2.53","2568341","102463","4.16","/mutual-fund/holding-history/156995/1357/"
"Mphasis Ltd","MPHASIS","526299","Technology","4232577774","4336518000","2.52","1524045","-204000","-11.81","/mutual-fund/holding-history/156995/881/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","4937173856","4326314000","2.52","11301760","","","/mutual-fund/holding-history/156995/888524/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","3907448064.1","4242826000","2.47","3243503","","","/mutual-fund/holding-history/156995/184/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","4422526943.4","4087835000","2.38","2466414","-100739","-3.92","/mutual-fund/holding-history/156995/1071/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","4112582342.4","3912997000","2.28","1772512","","","/mutual-fund/holding-history/156995/120412/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3999579100","3871996000","2.25","2946500","637164","27.59","/mutual-fund/holding-history/156995/1500/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","4038637521.6","3826990000","2.23","1125784","147525","15.08","/mutual-fund/holding-history/156995/297/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","3482561481.75","3553957000","2.07","8113131","","","/mutual-fund/holding-history/156995/556/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","3535958661","3533763000","2.06","487954","140526","40.45","/mutual-fund/holding-history/156995/93/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","3671957034.9","3524515000","2.05","8802486","1515584","20.8","/mutual-fund/holding-history/156995/2755533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3139779312","3429165000","2","2859544","","","/mutual-fund/holding-history/156995/140/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","3232952931.6","3243912000","1.89","15221059","-889996","-5.52","/mutual-fund/holding-history/156995/412/"
