"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Persistent Systems Ltd","PERSISTENT","533179","Technology","29610000000","27937875000","10.06","5250000","750200","16.67","/mutual-fund/holding-history/18899/1023/"
"Coforge Ltd","COFORGE","532541","Technology","30454200000","26298000000","9.47","3600000","350000","10.77","/mutual-fund/holding-history/18899/942/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","24474138187.5","22464889000","8.09","43490250","3495625","8.74","/mutual-fund/holding-history/18899/447071/"
"Polycab India Ltd","POLYCAB","542652","Industrials","14902500000","13800000000","4.97","2500000","275000","12.36","/mutual-fund/holding-history/18899/139599/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","11094903200","12095510000","4.35","735200","","","/mutual-fund/holding-history/18899/60393/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","11902501312","11047136000","3.98","2135744","","","/mutual-fund/holding-history/18899/1412/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","11248900000","10979150000","3.95","6500000","","","/mutual-fund/holding-history/18899/2170198/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","11558477143.4","10948352000","3.94","9969361","","","/mutual-fund/holding-history/18899/276825/"
"One97 Communications Ltd","PAYTM","543396","Technology","10735254675","10712955000","3.86","12388500","","","/mutual-fund/holding-history/18899/712312/"
"KEI Industries Ltd","KEI","517569","Industrials","9540720000","8271720000","2.98","2700000","200000","8","/mutual-fund/holding-history/18899/729/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","6284954231.15","6420671000","2.31","8151163","1194000","17.16","/mutual-fund/holding-history/18899/606/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","6643601012","6262910000","2.25","4995940","221069","4.63","/mutual-fund/holding-history/18899/141324/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","6392820000","6087060000","2.19","2100000","-75736","-3.48","/mutual-fund/holding-history/18899/67548/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","6081348725","5748559000","2.07","6418310","","","/mutual-fund/holding-history/18899/677/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","5778000000","5500400000","1.98","4000000","","","/mutual-fund/holding-history/18899/1071/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","6055700000","5085150000","1.83","350000","","","/mutual-fund/holding-history/18899/202203/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","5796960000","4892160000","1.76","1600000","","","/mutual-fund/holding-history/18899/305195/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","4023781547.4","4342781000","1.56","1623409","","","/mutual-fund/holding-history/18899/153/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2813300000","2912875000","1.05","1750000","","","/mutual-fund/holding-history/18899/1036/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","2720002623.2","2291708000","0.82","647558","","","/mutual-fund/holding-history/18899/1324/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2255135995","2264597000","0.82","918589","","","/mutual-fund/holding-history/18899/1436676/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","1993017600","1955214000","0.7","1581760","-250000","-13.65","/mutual-fund/holding-history/18899/1500/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","1045825902.65","976182000","0.35","5068705","-9369878","-64.89","/mutual-fund/holding-history/18899/596/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","291400000","260420000","0.09","1000000","","","/mutual-fund/holding-history/18899/1564869/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","70008392.5","63166000","0.02","100775","100775","New","/mutual-fund/holding-history/18899/293/"
