"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Coforge Ltd","COFORGE","532541","Technology","33451200000","34641000000","10.48","18000000","","","/mutual-fund/holding-history/18899/942/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","29995875000","31717875000","9.6","5250000","","","/mutual-fund/holding-history/18899/1023/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","26760361109.5","31038624000","9.39","4992139","2848945","132.93","/mutual-fund/holding-history/18899/1412/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","32223983888","29965985000","9.07","1999999","1164799","139.46","/mutual-fund/holding-history/18899/60393/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","26687250000","25013250000","7.57","45000000","1509750","3.47","/mutual-fund/holding-history/18899/447071/"
"Polycab India Ltd","POLYCAB","542652","Industrials","17749275000","16705050000","5.05","2550000","50000","2","/mutual-fund/holding-history/18899/139599/"
"KEI Industries Ltd","KEI","517569","Industrials","13966050000","13274100000","4.02","3500000","750000","27.27","/mutual-fund/holding-history/18899/729/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","12242475000","13180725000","3.99","6750000","","","/mutual-fund/holding-history/18899/2170198/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","12150657186.8","12720905000","3.85","9969361","","","/mutual-fund/holding-history/18899/276825/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","9248786598","9747770000","2.95","1599306","1599306","New","/mutual-fund/holding-history/18899/1124672/"
"One97 Communications Ltd","PAYTM","543396","Technology","10611468067.2","9328763000","2.82","10096064","-2804750","-21.74","/mutual-fund/holding-history/18899/712312/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","8048663442.45","8289929000","2.51","29970819","29970819","New","/mutual-fund/holding-history/18899/61684/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","7040250000","7002450000","2.12","350000","","","/mutual-fund/holding-history/18899/202203/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","7172400000","6629600000","2.01","4000000","","","/mutual-fund/holding-history/18899/1071/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","6132150000","6587100000","1.99","1500000","852442","131.64","/mutual-fund/holding-history/18899/1324/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","6193920505","6528869000","1.98","2099990","","","/mutual-fund/holding-history/18899/67548/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","5726279840","5738590000","1.74","4559140","-436800","-8.74","/mutual-fund/holding-history/18899/141324/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2578800000","2732975000","0.83","1750000","","","/mutual-fund/holding-history/18899/1036/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2564857102.9","2274963000","0.69","930341","-693068","-42.69","/mutual-fund/holding-history/18899/153/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2453091924.5","2130943000","0.64","918589","","","/mutual-fund/holding-history/18899/1436676/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","310800000","326750000","0.1","1000000","","","/mutual-fund/holding-history/18899/1564869/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","4189660.8","4197000","0","2301","2301","New","/mutual-fund/holding-history/18899/710819/"
