"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","4554378000","12047126000","3.47","1894500","","","/mutual-fund/holding-history/6337/52884/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","10099155000","9944974000","2.87","5335000","","","/mutual-fund/holding-history/6337/1424/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","9345123148.3","9087948000","2.62","13256434","","","/mutual-fund/holding-history/6337/424/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","9273468480","8749781000","2.52","1644232","","","/mutual-fund/holding-history/6337/1023/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","8262000000","8148000000","2.35","20000000","","","/mutual-fund/holding-history/6337/1026/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","8102800000","7867200000","2.27","40000000","","","/mutual-fund/holding-history/6337/412/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","8067640000","7821001000","2.25","11525200","","","/mutual-fund/holding-history/6337/54902/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","6790950000","7403400000","2.13","450000","","","/mutual-fund/holding-history/6337/60393/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","6909300000","7347600000","2.12","18000000","","","/mutual-fund/holding-history/6337/629/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","7434000000","7292990000","2.1","5900000","172178","3.01","/mutual-fund/holding-history/6337/1500/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","7304220000","6918660000","1.99","6300000","","","/mutual-fund/holding-history/6337/276825/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","7578090000","6655500000","1.92","5100000","","","/mutual-fund/holding-history/6337/845/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","5801258659.95","6240938000","1.8","11947809","","","/mutual-fund/holding-history/6337/4813/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","6807186352.8","6011273000","1.73","5444007","","","/mutual-fund/holding-history/6337/184/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","6211466062.24","5840520000","1.68","25922152","","","/mutual-fund/holding-history/6337/114/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","5001271046.6","5400208000","1.56","3508679","","","/mutual-fund/holding-history/6337/1410/"
"Lupin Ltd","LUPIN","500257","Healthcare","5028703016.4","5348772000","1.54","2552382","","","/mutual-fund/holding-history/6337/804/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","5383729503","5125072000","1.48","3727054","","","/mutual-fund/holding-history/6337/1071/"
"NTPC Ltd","NTPC","532555","Utilities","4739700000","4963700000","1.43","14000000","","","/mutual-fund/holding-history/6337/959/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","4787561002","4879880000","1.41","2600522","","","/mutual-fund/holding-history/6337/61147/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","5530500000","4859400000","1.4","3000000","","","/mutual-fund/holding-history/6337/91/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","4475600000","4793180000","1.38","6700000","","","/mutual-fund/holding-history/6337/701/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","974241135","4741754000","1.37","670734","","","/mutual-fund/holding-history/6337/913/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","4626300000","4726200000","1.36","6000000","","","/mutual-fund/holding-history/6337/606/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","4162320000","4428000000","1.28","2050000","","","/mutual-fund/holding-history/6337/1437/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","4550366398","4420751000","1.27","864103","","","/mutual-fund/holding-history/6337/1878/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4271010000","4417880000","1.27","19000000","","","/mutual-fund/holding-history/6337/589490/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","4491360000","4379040000","1.26","96000","","","/mutual-fund/holding-history/6337/994/"
"One97 Communications Ltd","PAYTM","543396","Technology","4358678042.55","4349624000","1.25","5029921","","","/mutual-fund/holding-history/6337/712312/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","4504300000","4343720000","1.25","3100000","","","/mutual-fund/holding-history/6337/642/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","5132405754","4324251000","1.25","1221885","","","/mutual-fund/holding-history/6337/1324/"
"REC Ltd","RECLTD","532955","Financial Services","4051500000","4201000000","1.21","10000000","","","/mutual-fund/holding-history/6337/1119/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4370820192","4134569000","1.19","34896768","","","/mutual-fund/holding-history/6337/2839786/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","4341029200","4133404000","1.19","1426000","","","/mutual-fund/holding-history/6337/67548/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4398383088","3988253000","1.15","2335590","","","/mutual-fund/holding-history/6337/2710663/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","4275600000","3920000000","1.13","2800000","","","/mutual-fund/holding-history/6337/338662/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","4397107153","3833800000","1.11","16900900","","","/mutual-fund/holding-history/6337/189/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","3872700000","3764020000","1.09","1300000","","","/mutual-fund/holding-history/6337/297/"
"NLC India Ltd","NLCINDIA","513683","Utilities","3837803852.35","3663161000","1.06","16096145","","","/mutual-fund/holding-history/6337/935/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","3591835275","3643192000","1.05","693070","","","/mutual-fund/holding-history/6337/1311/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","3901100000","3620750000","1.04","700000","","","/mutual-fund/holding-history/6337/1412/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","4004910000","3598290000","1.04","27000000","","","/mutual-fund/holding-history/6337/878/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","3715560000","3496860000","1.01","1800000","","","/mutual-fund/holding-history/6337/120412/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","3479618271.6","3433435000","0.99","7570971","","","/mutual-fund/holding-history/6337/515/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3378984000","3265416000","0.94","16800000","","","/mutual-fund/holding-history/6337/705188/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","4169977128.9","3200318000","0.92","1384041","","","/mutual-fund/holding-history/6337/300864/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","3544084993.5","3197686000","0.92","5101605","","","/mutual-fund/holding-history/6337/293/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3489948380","3177197000","0.92","726316","","","/mutual-fund/holding-history/6337/94155/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3188100000","3149700000","0.91","600000","","","/mutual-fund/holding-history/6337/1784/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3854000000","3141000000","0.91","10000000","","","/mutual-fund/holding-history/6337/175/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","4222055000","2991251000","0.86","1910000","","","/mutual-fund/holding-history/6337/67/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2855551703.77","2966473000","0.86","16604941","","","/mutual-fund/holding-history/6337/616664/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2726460000","2942610000","0.85","1100000","","","/mutual-fund/holding-history/6337/153/"
"Union Bank of India","UNIONBANK","532477","Financial Services","3245070000","2892940000","0.83","23000000","","","/mutual-fund/holding-history/6337/1447/"
