"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","4909549190","4069766000","3.84","308971","","","/mutual-fund/holding-history/17663/1263/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","4088108167","3872314000","3.65","3526055","","","/mutual-fund/holding-history/17663/276825/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","3493098679","3808128000","3.59","231469","","","/mutual-fund/holding-history/17663/60393/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2896740210","2802302000","2.64","548106","","","/mutual-fund/holding-history/17663/683/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","2932619520","2767010000","2.61","519968","","","/mutual-fund/holding-history/17663/1023/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2857042457.1","2509214000","2.37","1922769","","","/mutual-fund/holding-history/17663/845/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2279672551.1","2328900000","2.2","2956582","","","/mutual-fund/holding-history/17663/606/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2556740500","2327618000","2.2","532100","","","/mutual-fund/holding-history/17663/94155/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2265999370","2275506000","2.15","923014","","","/mutual-fund/holding-history/17663/1436676/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","2260577500","2227886000","2.1","74300","","","/mutual-fund/holding-history/17663/18/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","2460051135","2175843000","2.05","2433285","","","/mutual-fund/holding-history/17663/864/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","1970772189.75","2120138000","2","4058845","","","/mutual-fund/holding-history/17663/4813/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","2239116920.25","2118088000","2","17877181","","","/mutual-fund/holding-history/17663/2839786/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","2069293205","2109195000","1.99","1124005","","","/mutual-fund/holding-history/17663/61147/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2122696850.2","2071794000","1.95","1226567","","","/mutual-fund/holding-history/17663/2170198/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","2178112500","2050694000","1.93","237500","","","/mutual-fund/holding-history/17663/150/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1981446658","1957581000","1.85","372908","","","/mutual-fund/holding-history/17663/1784/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","2042456741.9","1949296000","1.84","729527","","","/mutual-fund/holding-history/17663/1430/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1831170136.23","1894140000","1.79","8146137","","","/mutual-fund/holding-history/17663/589490/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","1991987626.2","1826057000","1.72","824703","","","/mutual-fund/holding-history/17663/284/"
