"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","5250344203","4975669000","4.5","308971","","","/mutual-fund/holding-history/17663/1263/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","4381828548.5","3967517000","3.59","3526055","","","/mutual-fund/holding-history/17663/276825/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","3327598344","3400743000","3.08","231469","","","/mutual-fund/holding-history/17663/60393/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","3265889601","3013213000","2.73","548106","","","/mutual-fund/holding-history/17663/683/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3134887072","2931580000","2.65","519968","","","/mutual-fund/holding-history/17663/1023/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3021631483.5","2889345000","2.61","1922769","","","/mutual-fund/holding-history/17663/845/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2639588470","2545034000","2.3","532100","","","/mutual-fund/holding-history/17663/94155/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","2572712230.5","2449466000","2.22","2433285","","","/mutual-fund/holding-history/17663/864/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2186897070.2","2277722000","2.06","923014","","","/mutual-fund/holding-history/17663/1436676/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2231036777.2","2276125000","2.06","2956582","","","/mutual-fund/holding-history/17663/606/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","2348251500","2262807000","2.05","74300","","","/mutual-fund/holding-history/17663/18/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2170042336.4","2245476000","2.03","1226567","","","/mutual-fund/holding-history/17663/2170198/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","2210513430.65","2228569000","2.02","17877181","","","/mutual-fund/holding-history/17663/2839786/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","223012500","2180369000","1.97","237500","","","/mutual-fund/holding-history/17663/150/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","2180569700","2107959000","1.91","1124005","","","/mutual-fund/holding-history/17663/61147/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","2036182809.7","2028669000","1.84","729527","","","/mutual-fund/holding-history/17663/1430/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1993193260","1987600000","1.8","372908","","","/mutual-fund/holding-history/17663/1784/"
