"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","9274509570","9162989000","10.44","6521700","","","/mutual-fund/holding-history/6759/1127/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","7110272800","7336498000","8.36","5969000","","","/mutual-fund/holding-history/6759/132/"
"IRB Infrastructure Developers Ltd","IRB","532947","Industrials","6542595788.8","5826999000","6.64","127785074","","","/mutual-fund/holding-history/6759/644/"
"Marico Ltd","MARICO","531642","Consumer Defensive","5740291423.8","5688646000","6.48","8007102","","","/mutual-fund/holding-history/6759/840/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","5845621500","5512724000","6.28","3464072","423000","13.91","/mutual-fund/holding-history/6759/1357/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","6263321000","5512213000","6.28","8182000","","","/mutual-fund/holding-history/6759/279/"
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","4970534000","4416947000","5.03","3671000","","","/mutual-fund/holding-history/6759/2582/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","3721493580","3738215000","4.26","42874350","5982472","16.22","/mutual-fund/holding-history/6759/472/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","3607381250","3033360000","3.46","478750","","","/mutual-fund/holding-history/6759/791/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","2553124602","2710495000","3.09","6640116","1148584","20.92","/mutual-fund/holding-history/6759/629/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","2978802050","2639590000","3.01","2390500","","","/mutual-fund/holding-history/6759/184/"
"MRF Ltd","MRF","500290","Consumer Cyclical","2727926300","2541875000","2.9","18898","","","/mutual-fund/holding-history/6759/883/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","1896011569.2","1941296000","2.21","6610919","2346389","55.02","/mutual-fund/holding-history/6759/1698179/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1879554618","1797266000","2.05","4675509","1259259","36.86","/mutual-fund/holding-history/6759/1364/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1847696746.3","1683991000","1.92","1036111","443365","74.8","/mutual-fund/holding-history/6759/710819/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1509805440","1606176000","1.83","743600","","","/mutual-fund/holding-history/6759/1437/"
"Cochin Shipyard Ltd","COCHINSHIP","540678","Industrials","1694828393.6","1400680000","1.6","880156","","","/mutual-fund/holding-history/6759/57095/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","1311173750","1243733000","1.42","1655000","","","/mutual-fund/holding-history/6759/167028/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1039305564","957628000","1.09","2528724","2528724","New","/mutual-fund/holding-history/6759/556/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","841393399.8","841463000","0.96","1400222","1400222","New","/mutual-fund/holding-history/6759/790/"
"Oil India Ltd","OIL","533106","Energy","869575248.4","827184000","0.94","2013838","","","/mutual-fund/holding-history/6759/965/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","860585948.8","786507000","0.9","988384","","","/mutual-fund/holding-history/6759/829878/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","764583130","737325000","0.84","526210","-524790","-49.93","/mutual-fund/holding-history/6759/642/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","242858425.95","728575000","0.83","2764467","","","/mutual-fund/holding-history/6759/1029/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","666430634.4","595579000","0.68","2286996","","","/mutual-fund/holding-history/6759/1564869/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","609309114","576437000","0.66","587003","","","/mutual-fund/holding-history/6759/2571009/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","372462984.5","383719000","0.44","148303","148303","New","/mutual-fund/holding-history/6759/276/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","438311964.3","380799000","0.43","1678713","1678713","New","/mutual-fund/holding-history/6759/189/"
