"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","9012016813.8","8906089000","9.86","6267921","-253779","-3.89","/mutual-fund/holding-history/6759/1127/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","6836892600","6851218000","7.59","5969000","","","/mutual-fund/holding-history/6759/132/"
"IRB Infrastructure Developers Ltd","IRB","532947","Industrials","6390531550.74","6551541000","7.25","127785074","","","/mutual-fund/holding-history/6759/644/"
"Marico Ltd","MARICO","531642","Consumer Defensive","5699793563.2","5911432000","6.55","8251004","243902","3.05","/mutual-fund/holding-history/6759/840/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","5925295156","5806477000","6.43","3464072","","","/mutual-fund/holding-history/6759/1357/"
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","5574046400","5114070000","5.66","3671000","","","/mutual-fund/holding-history/6759/2582/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","3583009429.5","3604875000","3.99","42874350","","","/mutual-fund/holding-history/6759/472/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","3417078125","3593258000","3.98","478750","","","/mutual-fund/holding-history/6759/791/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","3159284800","2966371000","3.28","2390500","","","/mutual-fund/holding-history/6759/184/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","2596617361.8","2550801000","2.82","6640116","","","/mutual-fund/holding-history/6759/629/"
"ITC Ltd","ITC","500875","Consumer Defensive","2091000000","2090250000","2.31","5000000","5000000","New","/mutual-fund/holding-history/6759/647/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1889764302.3","1964810000","2.18","4779978","2251254","89.03","/mutual-fund/holding-history/6759/556/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","2019966300.45","1922786000","2.13","6610919","","","/mutual-fund/holding-history/6759/1698179/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1867398294.6","1836540000","2.03","4675509","","","/mutual-fund/holding-history/6759/1364/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1977728676.8","1825213000","2.02","1036111","","","/mutual-fund/holding-history/6759/710819/"
"MRF Ltd","MRF","500290","Consumer Cyclical","1769340420","1804690000","2","12996","-5902","-31.23","/mutual-fund/holding-history/6759/883/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","1574954428.6","1615739000","1.79","2059841","-6122159","-74.82","/mutual-fund/holding-history/6759/279/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1510549040","1469948000","1.63","743600","","","/mutual-fund/holding-history/6759/1437/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","1274515500","1251180000","1.39","1655000","","","/mutual-fund/holding-history/6759/167028/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","943237253.4","971114000","1.08","395421","247118","166.63","/mutual-fund/holding-history/6759/276/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","938371769.6","943363000","1.04","988384","","","/mutual-fund/holding-history/6759/829878/"
"Oil India Ltd","OIL","533106","Energy","968354002.3","859506000","0.95","2013838","","","/mutual-fund/holding-history/6759/965/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","789137251","777343000","0.86","1303282","-96940","-6.92","/mutual-fund/holding-history/6759/790/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","672719873.4","655567000","0.73","2286996","","","/mutual-fund/holding-history/6759/1564869/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","605258793.3","623162000","0.69","587003","","","/mutual-fund/holding-history/6759/2571009/"
"Aditya Birla Lifestyle Brands Limited","","","","","472586000","0.52","2764467","2764467","New",""
"Lupin Ltd","LUPIN","500257","Healthcare","383028188.4","372895000","0.41","190476","190476","New","/mutual-fund/holding-history/6759/804/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","165630442.17","189769000","0.21","2210469","-553998","-20.04","/mutual-fund/holding-history/6759/1029/"
