"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","7721925000","7832334000","3.64","1490000","","","/mutual-fund/holding-history/8044/1311/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","6699380000","7233770000","3.36","4700000","","","/mutual-fund/holding-history/8044/1410/"
"CRISIL Ltd","CRISIL","500092","Financial Services","8274400000","7124320000","3.31","1600000","","","/mutual-fund/holding-history/8044/292/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","7336800000","6907600000","3.21","800000","","","/mutual-fund/holding-history/8044/150/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","6997500000","6684750000","3.11","225000","","","/mutual-fund/holding-history/8044/1226/"
"Tata Elxsi Ltd","TATAELXSI","500408","Technology","6730500000","6054300000","2.81","1050000","400000","61.54","/mutual-fund/holding-history/8044/1358/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","6376700000","6040100000","2.81","5500000","","","/mutual-fund/holding-history/8044/276825/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","6377600000","5556640000","2.58","1600000","","","/mutual-fund/holding-history/8044/406/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","5010668000","5366215000","2.49","7501000","","","/mutual-fund/holding-history/8044/701/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","5469390000","5310360000","2.47","27000000","","","/mutual-fund/holding-history/8044/412/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","5164000000","5241000000","2.44","20000000","","","/mutual-fund/holding-history/8044/808/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","5289327823.2","5028780000","2.34","1696276","","","/mutual-fund/holding-history/8044/463/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","5626800000","4968900000","2.31","4500000","1000000","28.57","/mutual-fund/holding-history/8044/184/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","5070000000","4790850000","2.23","1500000","","","/mutual-fund/holding-history/8044/46/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","5524812014.4","4764458000","2.21","4777596","-1222404","-20.37","/mutual-fund/holding-history/8044/764/"
"Berger Paints India Ltd","BERGEPAINT","509480","Basic Materials","4699200000","4649645000","2.16","8544000","","","/mutual-fund/holding-history/8044/178/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","4940000000","4487600000","2.09","130000","","","/mutual-fund/holding-history/8044/569/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","4491360000","4379040000","2.04","96000","","","/mutual-fund/holding-history/8044/994/"
"L&T Technology Services Ltd","LTTS","540115","Technology","4446000000","4257100000","1.98","1000000","","","/mutual-fund/holding-history/8044/4708/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","3838500000","4082000000","1.9","10000000","","","/mutual-fund/holding-history/8044/629/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","4045231926.3","4042502000","1.88","2100001","","","/mutual-fund/holding-history/8044/533/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3895320000","3986580000","1.85","3900000","","","/mutual-fund/holding-history/8044/238/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","4231610000","3982535000","1.85","2050000","","","/mutual-fund/holding-history/8044/120412/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","4101403110","3967690000","1.84","776046","","","/mutual-fund/holding-history/8044/683/"
"Thermax Ltd","THERMAX","500411","Industrials","4142040000","3949560000","1.84","1200000","","","/mutual-fund/holding-history/8044/1387/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","3769650000","3881100000","1.8","1500000","1500000","New","/mutual-fund/holding-history/8044/276/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","3607431504","3600858000","1.67","252816","","","/mutual-fund/holding-history/8044/1032/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","3611907272","3509023000","1.63","685892","","","/mutual-fund/holding-history/8044/1878/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","3572600000","3372200000","1.57","2000000","","","/mutual-fund/holding-history/8044/496/"
"Jupiter Life Line Hospitals Ltd","JLHL","543980","Healthcare","3274046433","3357785000","1.56","2287943","","","/mutual-fund/holding-history/8044/1665481/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","3215200000","3329000000","1.55","2000000","","","/mutual-fund/holding-history/8044/1036/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","3107718215","3120757000","1.45","1265873","","","/mutual-fund/holding-history/8044/1436676/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3016950000","2915550000","1.36","15000000","","","/mutual-fund/holding-history/8044/705188/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","3091846262.5","2840913000","1.32","7501750","","","/mutual-fund/holding-history/8044/556/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","2919280000","2809950000","1.31","1300000","650000","100","/mutual-fund/holding-history/8044/478/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","2967500000","2788000000","1.3","50000000","","","/mutual-fund/holding-history/8044/856676/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2698675000","2756950000","1.28","3500000","","","/mutual-fund/holding-history/8044/606/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","3011700000","2751300000","1.28","3000000","","","/mutual-fund/holding-history/8044/1313/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","2739780000","2608740000","1.21","900000","","","/mutual-fund/holding-history/8044/67548/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","2615959065.5","2504897000","1.16","421487","","","/mutual-fund/holding-history/8044/1182/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2520126000","2472324000","1.15","2000100","","","/mutual-fund/holding-history/8044/1500/"
