"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"CRISIL Ltd","CRISIL","500092","Financial Services","8659200000","8399520000","3.75","1600000","","","/mutual-fund/holding-history/8044/292/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","7439570000","7653385000","3.42","1490000","","","/mutual-fund/holding-history/8044/1311/"
"Tata Elxsi Ltd","TATAELXSI","500408","Technology","6695850000","6761475000","3.02","1050000","","","/mutual-fund/holding-history/8044/1358/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","6428800000","6701920000","2.99","1600000","","","/mutual-fund/holding-history/8044/406/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","6706125000","6658875000","2.97","225000","","","/mutual-fund/holding-history/8044/1226/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","6678700000","6457800000","2.88","4700000","","","/mutual-fund/holding-history/8044/1410/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","6857400000","6188600000","2.76","5500000","","","/mutual-fund/holding-history/8044/276825/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","5711022036.8","5595336000","2.5","1696276","","","/mutual-fund/holding-history/8044/463/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","5947200000","5584050000","2.49","4500000","","","/mutual-fund/holding-history/8044/184/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","5551470000","5455620000","2.43","27000000","","","/mutual-fund/holding-history/8044/412/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","5099700000","5246850000","2.34","1500000","","","/mutual-fund/holding-history/8044/46/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","5468000000","5222000000","2.33","20000000","","","/mutual-fund/holding-history/8044/808/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","4941450000","5069250000","2.26","4500000","-277596","-5.81","/mutual-fund/holding-history/8044/764/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","4953000000","5008900000","2.24","130000","","","/mutual-fund/holding-history/8044/569/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","5194817550","4917281000","2.19","7501000","","","/mutual-fund/holding-history/8044/701/"
"Berger Paints India Ltd","BERGEPAINT","509480","Basic Materials","4866662400","4855555000","2.17","8544000","","","/mutual-fund/holding-history/8044/178/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","4731000000","4508100000","2.01","3000000","2295355","325.75","/mutual-fund/holding-history/8044/845/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","4380480000","4452480000","1.99","96000","","","/mutual-fund/holding-history/8044/994/"
"L&T Technology Services Ltd","LTTS","540115","Technology","4518000000","4367600000","1.95","1000000","","","/mutual-fund/holding-history/8044/4708/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","4639591011","4266313000","1.9","776046","","","/mutual-fund/holding-history/8044/683/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","4296185000","4133620000","1.84","2050000","","","/mutual-fund/holding-history/8044/120412/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","4064341935.4","4084292000","1.82","2100001","","","/mutual-fund/holding-history/8044/533/"
"Thermax Ltd","THERMAX","500411","Industrials","4237800000","4065840000","1.81","1200000","","","/mutual-fund/holding-history/8044/1387/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3660930000","3868020000","1.73","3900000","","","/mutual-fund/holding-history/8044/238/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","3910500000","3841500000","1.71","10000000","","","/mutual-fund/holding-history/8044/629/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","3663984581.25","3741455000","1.67","14399625","14399625","New","/mutual-fund/holding-history/8044/189/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","3578100000","3683850000","1.64","1500000","","","/mutual-fund/holding-history/8044/276/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","375200000","3672200000","1.64","400000","-400000","-50","/mutual-fund/holding-history/8044/150/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","3495400000","3593200000","1.6","2000000","","","/mutual-fund/holding-history/8044/496/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","3338922256","3497020000","1.56","685892","","","/mutual-fund/holding-history/8044/1878/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","3411170724","3457237000","1.54","254508","1692","0.67","/mutual-fund/holding-history/8044/1032/"
"Jupiter Life Line Hospitals Ltd","JLHL","543980","Healthcare","3471267119.6","3351379000","1.5","2287943","","","/mutual-fund/holding-history/8044/1665481/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","3000119010","3123795000","1.39","1265873","","","/mutual-fund/holding-history/8044/1436676/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2965816862.5","3083594000","1.38","7501750","","","/mutual-fund/holding-history/8044/556/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","2937300000","3079500000","1.37","3000000","","","/mutual-fund/holding-history/8044/1313/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","3233200000","3074200000","1.37","2000000","","","/mutual-fund/holding-history/8044/1036/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","2926500000","3048900000","1.36","15000000","","","/mutual-fund/holding-history/8044/705188/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","3164720000","2916940000","1.3","1300000","","","/mutual-fund/holding-history/8044/478/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","3073500000","2894000000","1.29","50000000","","","/mutual-fund/holding-history/8044/856676/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","2688570000","2755890000","1.23","900000","","","/mutual-fund/holding-history/8044/67548/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","2582240105.5","2610058000","1.16","421487","","","/mutual-fund/holding-history/8044/1182/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","2855763454.6","2585422000","1.15","1480514","","","/mutual-fund/holding-history/8044/962/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2627331360","2525726000","1.13","2000100","","","/mutual-fund/holding-history/8044/1500/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","2281200000","2406600000","1.07","12000000","","","/mutual-fund/holding-history/8044/63143/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2486989011","2393270000","1.07","500370","","","/mutual-fund/holding-history/8044/94155/"
"Biocon Ltd","BIOCON","532523","Healthcare","2500750000","2350950000","1.05","7000000","","","/mutual-fund/holding-history/8044/197/"
"Hatsun Agro Product Ltd","HATSUN","531531","Consumer Defensive","2090660000","2121680000","0.95","2200000","","","/mutual-fund/holding-history/8044/524/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","2297549324.7","2041129000","0.91","3249946","","","/mutual-fund/holding-history/8044/4957/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","1800720000","1958220000","0.87","3600000","","","/mutual-fund/holding-history/8044/547977/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","1775211708.6","1720424000","0.77","541917","","","/mutual-fund/holding-history/8044/1409/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1658600000","1529480000","0.68","400000","","","/mutual-fund/holding-history/8044/1038/"
"Relaxo Footwears Ltd","RELAXO","530517","Consumer Cyclical","1055500000","1092625000","0.49","2500000","","","/mutual-fund/holding-history/8044/1125/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","944730000","966195000","0.43","2700000","","","/mutual-fund/holding-history/8044/622855/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","472911239.4","501746000","0.22","1050447","1050447","New","/mutual-fund/holding-history/8044/746520/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","211905714.3","216102000","0.1","280707","-3219293","-91.98","/mutual-fund/holding-history/8044/606/"
"Mahindra &Mah Fin","","","","","167750000","0.07","2500000","2500000","New",""
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","25281100","24380000","0.01","13000","","","/mutual-fund/holding-history/8044/61147/"
