"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","1931670000","1696500000","3.77","1300000","","","/mutual-fund/holding-history/14416/845/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1421820000","1381320000","3.07","270000","","","/mutual-fund/holding-history/14416/1878/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1202400000","1287720000","2.86","1800000","","","/mutual-fund/holding-history/14416/701/"
"Lupin Ltd","LUPIN","500257","Healthcare","1182120000","1257360000","2.79","600000","","","/mutual-fund/holding-history/14416/804/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","1191200000","1229100000","2.73","1000000","","","/mutual-fund/holding-history/14416/132/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","1190000000","1153620000","2.56","1700000","","","/mutual-fund/holding-history/14416/54902/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1104600000","1125900000","2.5","600000","","","/mutual-fund/holding-history/14416/61147/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1101318426","1070412000","2.38","369694","","","/mutual-fund/holding-history/14416/297/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","997048847.4","973139000","2.16","576129","","","/mutual-fund/holding-history/14416/2170198/"
"PI Industries Ltd","PIIND","523642","Basic Materials","938000000","910050000","2.02","250000","","","/mutual-fund/holding-history/14416/1038/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1012138386","895207000","1.99","1001126","","","/mutual-fund/holding-history/14416/864/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","924875000","894723000","1.99","175000","65000","59.09","/mutual-fund/holding-history/14416/683/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","911565000","885060000","1.96","4500000","","","/mutual-fund/holding-history/14416/412/"
"Mphasis Ltd","MPHASIS","526299","Technology","897063516.8","873157000","1.94","353648","","","/mutual-fund/holding-history/14416/881/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","928485000","866655000","1.92","4500000","","","/mutual-fund/holding-history/14416/596/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","802060000","822220000","1.82","2800000","","","/mutual-fund/holding-history/14416/1698179/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","874950000","820800000","1.82","500000","","","/mutual-fund/holding-history/14416/962/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","811580000","768740000","1.71","700000","","","/mutual-fund/holding-history/14416/276825/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","721020000","721140000","1.6","1200000","","","/mutual-fund/holding-history/14416/790/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","735445755","708414000","1.57","56551","","","/mutual-fund/holding-history/14416/1508/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","741870000","681660000","1.51","1800000","","","/mutual-fund/holding-history/14416/556/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","681520000","660520000","1.47","700000","","","/mutual-fund/holding-history/14416/1103/"
"L&T Finance Ltd","LTF","533519","Financial Services","689200000","656680000","1.46","4000000","","","/mutual-fund/holding-history/14416/777/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","676800000","638580000","1.42","120000","","","/mutual-fund/holding-history/14416/1023/"
"Thermax Ltd","THERMAX","500411","Industrials","661818602.9","631064000","1.4","191737","","","/mutual-fund/holding-history/14416/1387/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","590091837.3","627525000","1.39","1537298","","","/mutual-fund/holding-history/14416/629/"
"Indian Bank","INDIANB","532814","Financial Services","657305000","622380000","1.38","1100000","","","/mutual-fund/holding-history/14416/609/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","702100000","608250000","1.35","500000","","","/mutual-fund/holding-history/14416/27/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","642200000","606841000","1.35","190000","","","/mutual-fund/holding-history/14416/46/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","765862500","603375000","1.34","750000","","","/mutual-fund/holding-history/14416/709/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","552487000","587808000","1.3","130000","-5901","-4.34","/mutual-fund/holding-history/14416/914/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","561060150","555251000","1.23","79583","79583","New","/mutual-fund/holding-history/14416/93/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","515650000","542475000","1.2","250000","-170000","-40.48","/mutual-fund/holding-history/14416/897/"
"UPL Ltd","UPL","512070","Basic Materials","504280000","535920000","1.19","800000","","","/mutual-fund/holding-history/14416/1455/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","564608698.54","530891000","1.18","2356267","","","/mutual-fund/holding-history/14416/114/"
"Patanjali Foods Ltd","PATANJALI","500368","Consumer Defensive","469881000","514620000","1.14","270000","","","/mutual-fund/holding-history/14416/1157/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","516375000","509250000","1.13","1250000","","","/mutual-fund/holding-history/14416/1026/"
"Biocon Ltd","BIOCON","532523","Healthcare","525228400.6","504458000","1.12","1567612","","","/mutual-fund/holding-history/14416/197/"
"Bharat Electronics Ltd","BEL","500049","Industrials","616640000","502560000","1.12","1600000","","","/mutual-fund/holding-history/14416/175/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","482280000","499350000","1.11","300000","","","/mutual-fund/holding-history/14416/1036/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","514713042","496008000","1.1","262341","","","/mutual-fund/holding-history/14416/1955/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","554031240","477782000","1.06","479100","","","/mutual-fund/holding-history/14416/764/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","441375000","463705000","1.03","1100000","","","/mutual-fund/holding-history/14416/1267/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","428797800","462792000","1.03","173000","","","/mutual-fund/holding-history/14416/153/"
