"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","2050100000","1953510000","4.16","1300000","","","/mutual-fund/holding-history/14416/845/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1314360000","1376595000","2.93","270000","","","/mutual-fund/holding-history/14416/1878/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1222799874.4","1208197000","2.57","369694","","","/mutual-fund/holding-history/14416/297/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1246590000","1179990000","2.51","1800000","","","/mutual-fund/holding-history/14416/701/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","1328465000","1178185000","2.51","1700000","","","/mutual-fund/holding-history/14416/54902/"
"Lupin Ltd","LUPIN","500257","Healthcare","1206540000","1174620000","2.5","600000","","","/mutual-fund/holding-history/14416/804/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","1145400000","1147800000","2.44","1000000","","","/mutual-fund/holding-history/14416/132/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1166820000","1125240000","2.39","600000","","","/mutual-fund/holding-history/14416/61147/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1018653684.9","1054719000","2.24","576129","","","/mutual-fund/holding-history/14416/2170198/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1057088943.4","1007783000","2.14","1001126","","","/mutual-fund/holding-history/14416/864/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1046237500","962063000","2.05","175000","","","/mutual-fund/holding-history/14416/683/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1036625000","955925000","2.03","250000","","","/mutual-fund/holding-history/14416/1038/"
"UPL Ltd","UPL","512070","Basic Materials","965625000","941850000","2","1500000","700000","87.5","/mutual-fund/holding-history/14416/1455/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","955485000","929970000","1.98","4500000","","","/mutual-fund/holding-history/14416/596/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","1017388800","918163000","1.95","816000","116000","16.57","/mutual-fund/holding-history/14416/276825/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","925245000","909270000","1.93","4500000","","","/mutual-fund/holding-history/14416/412/"
"Mphasis Ltd","MPHASIS","526299","Technology","957466595.2","904915000","1.92","353648","","","/mutual-fund/holding-history/14416/881/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","964450000","873150000","1.86","500000","","","/mutual-fund/holding-history/14416/962/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","855540000","814380000","1.73","2800000","","","/mutual-fund/holding-history/14416/1698179/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","775425000","779813000","1.66","750000","","","/mutual-fund/holding-history/14416/709/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","753542075","755974000","1.61","56551","","","/mutual-fund/holding-history/14416/1508/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","711630000","739890000","1.57","1800000","","","/mutual-fund/holding-history/14416/556/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","700300000","716400000","1.52","500000","","","/mutual-fund/holding-history/14416/27/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","726600000","715740000","1.52","1200000","","","/mutual-fund/holding-history/14416/790/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","708433462","685181000","1.46","99583","20000","25.13","/mutual-fund/holding-history/14416/93/"
"L&T Finance Ltd","LTF","533519","Financial Services","766640000","685160000","1.46","4000000","","","/mutual-fund/holding-history/14416/777/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","791198000","684837000","1.46","470000","470000","New","/mutual-fund/holding-history/14416/464/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","749595000","683165000","1.45","700000","","","/mutual-fund/holding-history/14416/1103/"
"Indian Bank","INDIANB","532814","Financial Services","695970000","678260000","1.44","1100000","","","/mutual-fund/holding-history/14416/609/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","722280000","676560000","1.44","120000","","","/mutual-fund/holding-history/14416/1023/"
"Patanjali Foods Ltd","PATANJALI","500368","Consumer Defensive","672000000","668520000","1.42","400000","130000","48.15","/mutual-fund/holding-history/14416/1157/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","645962000","664601000","1.41","190000","","","/mutual-fund/holding-history/14416/46/"
"Thermax Ltd","THERMAX","500411","Industrials","677119215.5","649643000","1.38","191737","","","/mutual-fund/holding-history/14416/1387/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","619078004.4","622604000","1.32","251842","78842","45.57","/mutual-fund/holding-history/14416/153/"
"Bharat Electronics Ltd","BEL","500049","Industrials","646160000","615360000","1.31","1600000","","","/mutual-fund/holding-history/14416/175/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","601160382.9","590553000","1.26","1537298","","","/mutual-fund/holding-history/14416/629/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","586742000","553956000","1.18","130000","","","/mutual-fund/holding-history/14416/914/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","658325000","553850000","1.18","250000","","","/mutual-fund/holding-history/14416/897/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","526099710","539706000","1.15","479100","","","/mutual-fund/holding-history/14416/764/"
"Granules India Ltd","GRANULES","532482","Healthcare","516045503.55","530957000","1.13","1000767","","","/mutual-fund/holding-history/14416/488/"
"Biocon Ltd","BIOCON","532523","Healthcare","560029387","526482000","1.12","1567612","","","/mutual-fund/holding-history/14416/197/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","540317523.6","513060000","1.09","262341","","","/mutual-fund/holding-history/14416/1955/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","508187500","507438000","1.08","1250000","","","/mutual-fund/holding-history/14416/1026/"
"SKF India Ltd","SKFINDIA","500472","Industrials","484438500","493080000","1.05","105000","47290","81.94","/mutual-fund/holding-history/14416/1251/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","505285320","486836000","1.04","380400","","","/mutual-fund/holding-history/14416/577216/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","461300000","474450000","1.01","500000","","","/mutual-fund/holding-history/14416/677/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","471520000","472060000","1","2000000","-356267","-15.12","/mutual-fund/holding-history/14416/114/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","477421200","464628000","0.99","14790","","","/mutual-fund/holding-history/14416/214/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","456300000","463800000","0.99","10000","","","/mutual-fund/holding-history/14416/994/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","484980000","461130000","0.98","300000","","","/mutual-fund/holding-history/14416/1036/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","467665000","449955000","0.96","1100000","","","/mutual-fund/holding-history/14416/1267/"
"Astral Ltd","ASTRAL","532830","Industrials","465750000","449430000","0.96","300000","","","/mutual-fund/holding-history/14416/122/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","459760000","441980000","0.94","350000","","","/mutual-fund/holding-history/14416/1500/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","423555000","415800000","0.88","550000","","","/mutual-fund/holding-history/14416/167028/"
"ACC Ltd","ACC","500410","Basic Materials","389210731.8","391310000","0.83","207834","","","/mutual-fund/holding-history/14416/22/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","381675000","389745000","0.83","1500000","","","/mutual-fund/holding-history/14416/189/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","390835666.7","357664000","0.76","326813","","","/mutual-fund/holding-history/14416/219/"
"Sobha Ltd","SOBHA","532784","Real Estate","388295116.1","350903000","0.75","244873","","","/mutual-fund/holding-history/14416/1261/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","285500000","300220000","0.64","40000","","","/mutual-fund/holding-history/14416/791/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","281610000","297540000","0.63","300000","","","/mutual-fund/holding-history/14416/238/"
"3M India Ltd","3MINDIA","523395","Industrials","291450000","292750000","0.62","10000","","","/mutual-fund/holding-history/14416/10/"
