"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","48683400","50405000","4.21","41000","","","/mutual-fund/holding-history/6372/132/"
"Bank of India","BANKINDIA","532149","Financial Services","46820812.29","46183000","3.86","401241","-100000","-19.95","/mutual-fund/holding-history/6372/163/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","45057618.8","42544000","3.56","21844","","","/mutual-fund/holding-history/6372/120412/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","43681309.2","42234000","3.53","62264","-16000","-20.44","/mutual-fund/holding-history/6372/54902/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","46265814.84","41032000","3.43","209026","","","/mutual-fund/holding-history/6372/61684/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","41960977.8","39005000","3.26","102997","","","/mutual-fund/holding-history/6372/556/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","43855800","38489000","3.22","57000","","","/mutual-fund/holding-history/6372/279/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","37182272.4","36398000","3.04","29484","","","/mutual-fund/holding-history/6372/1500/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","37134964.92","35980000","3.01","183012","","","/mutual-fund/holding-history/6372/412/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","40379990","34570000","2.89","3539","","","/mutual-fund/holding-history/6372/548271/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","37112193","34022000","2.84","31358","","","/mutual-fund/holding-history/6372/100478/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","36330193.9","34017000","2.84","70421","","","/mutual-fund/holding-history/6372/1565404/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","33185345","33908000","2.83","43028","","","/mutual-fund/holding-history/6372/606/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","30410000","29877000","2.5","1000","441","78.89","/mutual-fund/holding-history/6372/18/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","31940800","27788000","2.32","8000","","","/mutual-fund/holding-history/6372/406/"
"Astral Ltd","ASTRAL","532830","Industrials","30453912.2","26842000","2.24","19958","","","/mutual-fund/holding-history/6372/122/"
"Coforge Ltd","COFORGE","532541","Technology","30718875","26490000","2.21","3630","-1770","-32.78","/mutual-fund/holding-history/6372/942/"
"Vodafone Idea Ltd","IDEA","532822","Communication Services","25169014.95","25785000","2.15","3621441","","","/mutual-fund/holding-history/6372/589/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","25636258.55","25538000","2.13","42511","","","/mutual-fund/holding-history/6372/790/"
"REC Ltd","RECLTD","532955","Financial Services","24437359.2","25502000","2.13","60496","","","/mutual-fund/holding-history/6372/1119/"
"Faze Three Ltd","","530079","Consumer Cyclical","30014090.15","24700000","2.06","51923","-11465","-18.09","/mutual-fund/holding-history/6372/3253/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","23821875","22560000","1.89","7623","","","/mutual-fund/holding-history/6372/463/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","28213100","22093000","1.85","11780","","","/mutual-fund/holding-history/6372/4797/"
"KEI Industries Ltd","KEI","517569","Industrials","25583760","22044000","1.84","7200","","","/mutual-fund/holding-history/6372/729/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","19568250","19636000","1.64","225000","","","/mutual-fund/holding-history/6372/472/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","20387250","19306000","1.61","20500","","","/mutual-fund/holding-history/6372/1087/"
