"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bank of India","BANKINDIA","532149","Financial Services","48770843.55","48911000","3.82","401241","","","/mutual-fund/holding-history/6372/163/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","46961400","47048000","3.68","41000","","","/mutual-fund/holding-history/6372/132/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","51995217.5","46477000","3.63","209026","","","/mutual-fund/holding-history/6372/61684/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","43582200","44640000","3.49","57000","","","/mutual-fund/holding-history/6372/279/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","45778470.8","44023000","3.44","21844","","","/mutual-fund/holding-history/6372/120412/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","40719863.95","42347000","3.31","102997","","","/mutual-fund/holding-history/6372/556/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","37697428","40907000","3.2","3539","","","/mutual-fund/holding-history/6372/548271/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","38730182.4","37263000","2.91","29484","","","/mutual-fund/holding-history/6372/1500/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","37629097.32","36968000","2.89","183012","","","/mutual-fund/holding-history/6372/412/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","37475945.8","35903000","2.8","31358","","","/mutual-fund/holding-history/6372/100478/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","37590729.8","35640000","2.78","70421","","","/mutual-fund/holding-history/6372/1565404/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","32144000","33448000","2.61","8000","","","/mutual-fund/holding-history/6372/406/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","32481837.2","33117000","2.59","43028","","","/mutual-fund/holding-history/6372/606/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","36153002.8","32066000","2.51","46264","-16000","-25.7","/mutual-fund/holding-history/6372/54902/"
"Coforge Ltd","COFORGE","532541","Technology","6641085","31040000","2.43","3630","","","/mutual-fund/holding-history/6372/942/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","31675000","30453000","2.38","1000","","","/mutual-fund/holding-history/6372/18/"
"Astral Ltd","ASTRAL","532830","Industrials","30984795","29894000","2.34","19958","","","/mutual-fund/holding-history/6372/122/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","28968198","28622000","2.24","11780","","","/mutual-fund/holding-history/6372/4797/"
"KEI Industries Ltd","KEI","517569","Industrials","26533440","25960000","2.03","7200","","","/mutual-fund/holding-history/6372/729/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","25740410.5","25349000","1.98","42511","","","/mutual-fund/holding-history/6372/790/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","25665116.4","25118000","1.96","7623","","","/mutual-fund/holding-history/6372/463/"
"Vodafone Idea Ltd","IDEA","532822","Communication Services","24227440.29","25060000","1.96","3621441","","","/mutual-fund/holding-history/6372/589/"
"REC Ltd","RECLTD","532955","Financial Services","24289144","24380000","1.9","60496","","","/mutual-fund/holding-history/6372/1119/"
"ITC Ltd","ITC","500875","Consumer Defensive","23125623.6","23109000","1.81","55298","55298","New","/mutual-fund/holding-history/6372/647/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","19833750","20213000","1.58","20500","","","/mutual-fund/holding-history/6372/1087/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","20053980","19539000","1.53","16200","","","/mutual-fund/holding-history/6372/750564/"
"Faze Three Ltd","","530079","Consumer Cyclical","19576827.4","19118000","1.49","34723","-17200","-33.13","/mutual-fund/holding-history/6372/3253/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","18803250","18925000","1.48","225000","","","/mutual-fund/holding-history/6372/472/"
"SAMHI Hotels Ltd","SAMHI","543984","Consumer Cyclical","21029910.8","18217000","1.42","94610","","","/mutual-fund/holding-history/6372/1679657/"
