"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","56133932.3","57817000","4.33","209026","","","/mutual-fund/holding-history/6372/61684/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","42525000","53183000","3.99","70000","13000","22.81","/mutual-fund/holding-history/6372/279/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","50682448.8","48259000","3.62","21844","","","/mutual-fund/holding-history/6372/120412/"
"Bank of India","BANKINDIA","532149","Financial Services","45392394.33","47567000","3.57","401241","","","/mutual-fund/holding-history/6372/163/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","45157400","46539000","3.49","41000","","","/mutual-fund/holding-history/6372/132/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","44211462.25","45108000","3.38","102997","","","/mutual-fund/holding-history/6372/556/"
"Kalpataru Ltd","KALPATARU","544423","Real Estate","40311532.8","40002000","3","96624","96624","New","/mutual-fund/holding-history/6372/3147465/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","37023101.92","39275000","2.94","223664","-1","0","/mutual-fund/holding-history/6372/1627/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","38871748.8","39000000","2.92","183012","","","/mutual-fund/holding-history/6372/412/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","40021581.6","38751000","2.9","29484","","","/mutual-fund/holding-history/6372/1500/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","40128832.6","37960000","2.85","31358","","","/mutual-fund/holding-history/6372/100478/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","33578411.2","37832000","2.84","46264","","","/mutual-fund/holding-history/6372/54902/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","45160987.3","37679000","2.82","70421","","","/mutual-fund/holding-history/6372/1565404/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","34130000","35637000","2.67","1000","","","/mutual-fund/holding-history/6372/18/"
"Coforge Ltd","COFORGE","532541","Technology","33729960","34942000","2.62","18150","","","/mutual-fund/holding-history/6372/942/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","33086256","33349000","2.5","5007","4200","520.45","/mutual-fund/holding-history/6372/791/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","32542076.4","32710000","2.45","43028","","","/mutual-fund/holding-history/6372/606/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","30816480","32654000","2.45","11780","","","/mutual-fund/holding-history/6372/4797/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","34249600","32385000","2.43","8000","","","/mutual-fund/holding-history/6372/406/"
"Astral Ltd","ASTRAL","532830","Industrials","29438050","30067000","2.25","19958","","","/mutual-fund/holding-history/6372/122/"
"KEI Industries Ltd","KEI","517569","Industrials","28730160","27323000","2.05","7200","","","/mutual-fund/holding-history/6372/729/"
"Vodafone Idea Ltd","IDEA","532822","Communication Services","26690020.17","26944000","2.02","3621441","","","/mutual-fund/holding-history/6372/589/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","26365322.2","26293000","1.97","42511","","","/mutual-fund/holding-history/6372/790/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","23620627.8","25817000","1.93","7623","","","/mutual-fund/holding-history/6372/463/"
"REC Ltd","RECLTD","532955","Financial Services","23793076.8","24350000","1.83","60496","","","/mutual-fund/holding-history/6372/1119/"
"ITC Ltd","ITC","500875","Consumer Defensive","23003968","23032000","1.73","55298","","","/mutual-fund/holding-history/6372/647/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","22362480","23030000","1.73","11600","6000","107.14","/mutual-fund/holding-history/6372/318/"
