"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","549958769.28","527587000","3.92","2682464","","","/mutual-fund/holding-history/189785/412/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","458155818.6","380170000","2.82","291318","","","/mutual-fund/holding-history/189785/845/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","301588659","345212000","2.56","20983","-1223","-5.51","/mutual-fund/holding-history/189785/60393/"
"Coforge Ltd","COFORGE","532541","Technology","79179799","315123000","2.34","43138","5191","13.68","/mutual-fund/holding-history/189785/942/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","317252678.6","309550000","2.3","139802","-22800","-14.02","/mutual-fund/holding-history/189785/284/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","296060258","308495000","2.29","391640","","","/mutual-fund/holding-history/189785/606/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","336723065.47","291142000","2.16","5162089","361456","7.53","/mutual-fund/holding-history/189785/1337/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","328946521.5","282206000","2.1","55197","","","/mutual-fund/holding-history/189785/683/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","291519204","274864000","2.04","222364","-22800","-9.3","/mutual-fund/holding-history/189785/1500/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","285124843.5","272170000","2.02","161133","-26500","-14.12","/mutual-fund/holding-history/189785/2170198/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","301499586.15","270771000","2.01","394969","","","/mutual-fund/holding-history/189785/424/"
"Indian Bank","INDIANB","532814","Financial Services","297414760.2","265150000","1.97","468628","","","/mutual-fund/holding-history/189785/609/"
"BSE Ltd","BSE","","Financial Services","111581362.8","262970000","1.95","41354","4852","13.29","/mutual-fund/holding-history/189785/52884/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","250866025","258555000","1.92","155335","","","/mutual-fund/holding-history/189785/1036/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","286923399","253484000","1.88","47634","8856","22.84","/mutual-fund/holding-history/189785/1023/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","286243140.4","252654000","1.88","230062","","","/mutual-fund/holding-history/189785/276825/"
