"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","7034542810.75","7071144610","3.03","10765235","","","/mutual-fund/holding-history/17696/555690/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","7096112600.2","7038343890","3.02","3775733","","","/mutual-fund/holding-history/17696/1424/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","5924823317","6520171570","2.8","3821234","-50625","-1.31","/mutual-fund/holding-history/17696/209/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","6617225448.6","6331018600","2.72","6154986","-5203","-0.08","/mutual-fund/holding-history/17696/219/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","5457738562","5257578790","2.25","914807","-119720","-11.57","/mutual-fund/holding-history/17696/1124672/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","4419385261.2","4446663860","1.91","2525796","","","/mutual-fund/holding-history/17696/1886/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","5916501852","4107524470","1.76","6944251","","","/mutual-fund/holding-history/17696/243/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","4186974120","4005898110","1.72","653704","74262","12.82","/mutual-fund/holding-history/17696/853/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","3916856902","3915026500","1.68","2033780","","","/mutual-fund/holding-history/17696/533/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","4077209130","3893220420","1.67","2414550","","","/mutual-fund/holding-history/17696/665/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","4272729174","3887191000","1.67","2391676","","","/mutual-fund/holding-history/17696/710819/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","3732087225.5","3343494000","1.43","4303358","","","/mutual-fund/holding-history/17696/685/"
"BSE Ltd","BSE","","Financial Services","1254057778","3319963950","1.42","522089","","","/mutual-fund/holding-history/17696/52884/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","3912110280","3204576010","1.37","690210","","","/mutual-fund/holding-history/17696/1475/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","3345691511.4","3118909320","1.34","4361196","","","/mutual-fund/holding-history/17696/234/"
"City Union Bank Ltd","CUB","532210","Financial Services","3346846155.01","3060330190","1.31","17333089","","","/mutual-fund/holding-history/17696/295/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","3040052201.2","3013562460","1.29","2022118","","","/mutual-fund/holding-history/17696/369403/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3163431396.8","2913017100","1.25","1406032","","","/mutual-fund/holding-history/17696/74800/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","3160409940.6","2806464800","1.2","5769277","","","/mutual-fund/holding-history/17696/863/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2716518576.2","2798220910","1.2","1681118","","","/mutual-fund/holding-history/17696/1036/"
"Ahluwalia Contracts (India) Ltd","AHLUCONT","532811","Industrials","3007617298","2731972710","1.17","3220147","","","/mutual-fund/holding-history/17696/43/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","2940558970","2584123740","1.11","633550","","","/mutual-fund/holding-history/17696/92286/"
"Nifty May 2025 Future","","","","","2459543340","1.05","100725","100725","New",""
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","2540106102","2381494450","1.02","5799329","","","/mutual-fund/holding-history/17696/623875/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2500724588.25","2365048100","1.01","7011705","","","/mutual-fund/holding-history/17696/2020/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","2288354731","2205851420","0.95","10110700","","","/mutual-fund/holding-history/17696/721/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","2041069989","2169974620","0.93","479913","","","/mutual-fund/holding-history/17696/914/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","2115750954.6","2074331240","0.89","531022","","","/mutual-fund/holding-history/17696/297909/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","2066187038.3","2073003370","0.89","2391697","","","/mutual-fund/holding-history/17696/1826519/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2545064320.5","2065518500","0.89","448509","-60000","-11.8","/mutual-fund/holding-history/17696/445359/"
"DOMS Industries Ltd","DOMS","544045","Industrials","1779306870","2016915030","0.86","734492","","","/mutual-fund/holding-history/17696/1819409/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","2143846228","1993173910","0.85","1945414","","","/mutual-fund/holding-history/17696/1304/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","1881138551.6","1968907960","0.84","1967924","","","/mutual-fund/holding-history/17696/644314/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","1748426185.2","1947103590","0.84","1625838","","","/mutual-fund/holding-history/17696/1253626/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","2042848876.6","1924510900","0.83","1214969","","","/mutual-fund/holding-history/17696/154217/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","2024808632.95","1920966710","0.82","4353959","","","/mutual-fund/holding-history/17696/989/"
"Coforge Ltd","COFORGE","532541","Technology","2220606180","1917438320","0.82","262483","","","/mutual-fund/holding-history/17696/942/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","2045797339.1","1856184480","0.8","1217809","","","/mutual-fund/holding-history/17696/141845/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","2058660592.5","1855029000","0.8","1405325","","","/mutual-fund/holding-history/17696/53219/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","1983826626.3","1755447600","0.75","705963","","","/mutual-fund/holding-history/17696/755079/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1805948595.9","1668391190","0.72","1532673","","","/mutual-fund/holding-history/17696/100478/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","1802507406.35","1625881310","0.7","4005127","","","/mutual-fund/holding-history/17696/816/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","1540525960.26","1602136240","0.69","8968017","","","/mutual-fund/holding-history/17696/616664/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1557778941.6","1595233050","0.68","1560588","","","/mutual-fund/holding-history/17696/238/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","2039309440","1591493730","0.68","1040464","","","/mutual-fund/holding-history/17696/80210/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","1582182620","1564139010","0.67","6732692","","","/mutual-fund/holding-history/17696/94299/"
"Suven Pharmaceuticals Ltd","COHANCE","543064","Healthcare","1446079156.2","1513982700","0.65","1331442","","","/mutual-fund/holding-history/17696/191143/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1602541475","1510366230","0.65","895775","","","/mutual-fund/holding-history/17696/496/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","1486755135.2","1442872290","0.62","2104693","","","/mutual-fund/holding-history/17696/424/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","1462382530.5","1380821390","0.59","1078851","","","/mutual-fund/holding-history/17696/317/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1356060754.8","1361327120","0.58","554354","400000","259.14","/mutual-fund/holding-history/17696/1090/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1417973322","1338016670","0.57","251436","-49908","-16.56","/mutual-fund/holding-history/17696/1023/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1378282748.7","1305083460","0.56","868319","","","/mutual-fund/holding-history/17696/1374/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","1255502654.4","1285721180","0.55","1102866","","","/mutual-fund/holding-history/17696/1359/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1479605121.6","1285527490","0.55","1722073","","","/mutual-fund/holding-history/17696/745/"
"SJS Enterprises Ltd","SJS","543387","Consumer Cyclical","1494012629.7","1280247750","0.55","1377351","","","/mutual-fund/holding-history/17696/710818/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","1274409550.95","1278644520","0.55","2117487","","","/mutual-fund/holding-history/17696/4984/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","1435948696","1265852680","0.54","1445780","","","/mutual-fund/holding-history/17696/92/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","1510107181","1262527710","0.54","981290","","","/mutual-fund/holding-history/17696/612873/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","1262619351.95","1242305430","0.53","1618639","","","/mutual-fund/holding-history/17696/1514/"
"Mahanagar Gas Ltd","MGL","539957","Utilities","1226633704","1235906910","0.53","918139","","","/mutual-fund/holding-history/17696/4581/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","1410975736.4","1214107890","0.52","1533836","","","/mutual-fund/holding-history/17696/127257/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1308539307.61","1165390310","0.5","9265307","","","/mutual-fund/holding-history/17696/1447/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","1320225594.65","1155252050","0.5","2914727","","","/mutual-fund/holding-history/17696/130968/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","1171912812","1150840040","0.49","832916","","","/mutual-fund/holding-history/17696/877862/"
"Anant Raj Ltd","ANANTRAJ","515055","Real Estate","1323382024.8","1146981850","0.49","2538132","","","/mutual-fund/holding-history/17696/78/"
"Niva Bupa Health Insurance Co Ltd","NIVABUPA","544286","Financial Services","1212586956.63","1129781540","0.48","13847059","","","/mutual-fund/holding-history/17696/2768807/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","1257619201.3","1098595260","0.47","978007","","","/mutual-fund/holding-history/17696/2245414/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1491424967","1092489750","0.47","194983","","","/mutual-fund/holding-history/17696/88/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","959345146.95","1048648500","0.45","2803873","","","/mutual-fund/holding-history/17696/706/"
"Birlasoft Ltd","BSOFT","532400","Technology","1109147656.65","1039484610","0.45","2663979","","","/mutual-fund/holding-history/17696/763/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","1143847684","1029280970","0.44","1212988","297739","32.53","/mutual-fund/holding-history/17696/480/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","1037584105.25","1023923120","0.44","1858637","","","/mutual-fund/holding-history/17696/157/"
