"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","7315515444.25","7366112050","2.94","10765235","","","/mutual-fund/holding-history/17696/555690/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","7360747757.4","6736016680","2.69","6154986","","","/mutual-fund/holding-history/17696/219/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","7151253814.8","6686542350","2.67","3582972","-192761","-5.11","/mutual-fund/holding-history/17696/1424/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","5625537735.1","6139759520","2.45","6944251","","","/mutual-fund/holding-history/17696/243/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","5120632182.5","5470545860","2.18","914807","","","/mutual-fund/holding-history/17696/1124672/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","5945851017.6","5438650620","2.17","3549338","-271896","-7.12","/mutual-fund/holding-history/17696/209/"
"Nifty June 2025 Future","","","","","4864806720","1.94","195600","195600","New",""
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","4885142043.6","4404735640","1.76","2525796","","","/mutual-fund/holding-history/17696/1886/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","5116868060","4315753810","1.72","653704","","","/mutual-fund/holding-history/17696/853/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","4565231148.8","4213176440","1.68","2391676","","","/mutual-fund/holding-history/17696/710819/"
"BSE Ltd","BSE","","Financial Services","4224848605.8","4188197960","1.67","1566267","","","/mutual-fund/holding-history/17696/52884/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","405843480","4093911590","1.63","690210","","","/mutual-fund/holding-history/17696/1475/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","4189727160","4047510170","1.61","2414550","","","/mutual-fund/holding-history/17696/665/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","3936177812","3955498720","1.58","2033780","","","/mutual-fund/holding-history/17696/533/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","3533056918","3644298720","1.45","4303358","","","/mutual-fund/holding-history/17696/685/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","3400642581","3437276630","1.37","4361196","","","/mutual-fund/holding-history/17696/234/"
"City Union Bank Ltd","CUB","532210","Financial Services","3398236392.48","3405545180","1.36","17401866","68777","0.4","/mutual-fund/holding-history/17696/295/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3525765843.2","3242450400","1.29","1406032","","","/mutual-fund/holding-history/17696/74800/"
"Ahluwalia Contracts (India) Ltd","AHLUCONT","532811","Industrials","3002143048.1","3133203030","1.25","3220147","","","/mutual-fund/holding-history/17696/43/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","3087717050.4","3015889550","1.2","5769277","","","/mutual-fund/holding-history/17696/863/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","2975784350","2965584200","1.18","633550","","","/mutual-fund/holding-history/17696/92286/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","2806497572.2","2950472370","1.18","2022118","","","/mutual-fund/holding-history/17696/369403/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2717695358.8","2584046480","1.03","1681118","","","/mutual-fund/holding-history/17696/1036/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","2875075000","2531708900","1.01","2347000","721162","44.36","/mutual-fund/holding-history/17696/1253626/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2359381594.5","2513623840","1","448509","","","/mutual-fund/holding-history/17696/445359/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2444630948.25","2474430690","0.99","7011705","","","/mutual-fund/holding-history/17696/2020/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","2521838215.65","2461525190","0.98","5799329","","","/mutual-fund/holding-history/17696/623875/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","2492075334","2296172140","0.92","1945414","","","/mutual-fund/holding-history/17696/1304/"
"Coforge Ltd","COFORGE","532541","Technology","480212648.5","2244360890","0.9","262483","","","/mutual-fund/holding-history/17696/942/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","2513014485","2241441080","0.89","10110700","","","/mutual-fund/holding-history/17696/721/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","2364599845","2149725650","0.86","1405325","","","/mutual-fund/holding-history/17696/53219/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","2382675705.9","2108700200","0.84","1214969","","","/mutual-fund/holding-history/17696/154217/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","2187226515.8","2103431240","0.84","531022","","","/mutual-fund/holding-history/17696/297909/"
