"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sobha Ltd","SOBHA","532784","Real Estate","3281875298","3204555000","3.13","2423837","261915","12.11","/mutual-fund/holding-history/189266/1261/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","2904573615.2","2440786000","2.38","7043098","444573","6.74","/mutual-fund/holding-history/189266/302/"
"The South Indian Bank Ltd","SOUTHBANK","532218","Financial Services","2714854186.4","2387684000","2.33","93744965","2499969","2.74","/mutual-fund/holding-history/189266/1270/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2282463927","2247618000","2.19","1205739","27290","2.32","/mutual-fund/holding-history/189266/1424/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2193524757.75","1936667000","1.89","5384865","187782","3.61","/mutual-fund/holding-history/189266/1034/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","1868328205","1869870000","1.83","5139830","161997","3.25","/mutual-fund/holding-history/189266/105/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","1692736831.5","1594502000","1.56","3296469","46081","1.42","/mutual-fund/holding-history/189266/1565404/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2010538638","1473326000","1.44","262953","52189","24.76","/mutual-fund/holding-history/189266/88/"
"REC Ltd","RECLTD","532955","Financial Services","1410085680.6","1462118000","1.43","3480404","811383","30.4","/mutual-fund/holding-history/189266/1119/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","1355229685.33","1351779000","1.32","6901409","63300","0.93","/mutual-fund/holding-history/189266/775/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1358680942.8","1339934000","1.31","3288988","1089557","49.54","/mutual-fund/holding-history/189266/1026/"
"Shaily Engineering Plastics Ltd","SHAILY","501423","Basic Materials","1518429251.9","1289733000","1.26","842963","16244","1.96","/mutual-fund/holding-history/189266/2105/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","1126128429.2","1150416000","1.12","1372156","","","/mutual-fund/holding-history/189266/625/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","1334326350","1149434000","1.12","117355","2500","2.18","/mutual-fund/holding-history/189266/548271/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1452579708","1131850000","1.1","124386","3615","2.99","/mutual-fund/holding-history/189266/1309/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","1131115967.76","1126432000","1.1","4879496","100000","2.09","/mutual-fund/holding-history/189266/827/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","1160075400","1105367000","1.08","2636535","339093","14.76","/mutual-fund/holding-history/189266/2863354/"
"TARC Ltd Ordinary Shares","TARC","543249","Real Estate","1170958598.7","1098224000","1.07","7068445","1053897","17.52","/mutual-fund/holding-history/189266/376564/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","1140551199","1085754000","1.06","789582","50113","6.78","/mutual-fund/holding-history/189266/1071/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1071551666","1070931000","1.05","775363","102000","15.15","/mutual-fund/holding-history/189266/464/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1103534552.25","1020969000","1","2902129","14221","0.49","/mutual-fund/holding-history/189266/948/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","1190584967.5","998528000","0.97","1529725","169214","12.44","/mutual-fund/holding-history/189266/879/"
"Rashi Peripherals Ltd","RPTECH","544119","Technology","1120120320","989381000","0.97","3500376","","","/mutual-fund/holding-history/189266/1992194/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","937160073.45","970231000","0.95","2405133","736337","44.12","/mutual-fund/holding-history/189266/1132/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1088368950","939269000","0.92","1258230","27771","2.26","/mutual-fund/holding-history/189266/745/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","949514200.8","921775000","0.9","912468","","","/mutual-fund/holding-history/189266/4826/"
"Vedanta Ltd","VEDL","500295","Basic Materials","898000320","840272000","0.82","2004465","399000","24.85","/mutual-fund/holding-history/189266/1289/"
"Cyient Ltd","CYIENT","532175","Industrials","951273122.8","838897000","0.82","706321","60300","9.33","/mutual-fund/holding-history/189266/301/"
"Kolte-Patil Developers Ltd","KOLTEPATIL","532924","Real Estate","979900428","809102000","0.79","2400540","44447","1.89","/mutual-fund/holding-history/189266/755/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","774791024.8","799442000","0.78","650429","","","/mutual-fund/holding-history/189266/132/"
"eClerx Services Ltd","ECLERX","532927","Technology","1072295509","792516000","0.77","315103","16349","5.47","/mutual-fund/holding-history/189266/356/"
"Signatureglobal (India) Ltd","SIGNATURE","543990","Real Estate","802552660","774295000","0.76","674414","","","/mutual-fund/holding-history/189266/1696785/"
"Shilpa Medicare Ltd","SHILPAMED","530549","Healthcare","1033127372.2","764332000","0.75","1181257","","","/mutual-fund/holding-history/189266/1218/"
"Godawari Power & Ispat Ltd","GPIL","532734","Basic Materials","821935048.41","760037000","0.74","4168239","-108300","-2.53","/mutual-fund/holding-history/189266/486/"
"Jupiter Wagons Ltd","JWL","533272","Industrials","846590864.05","749472000","0.73","2113571","6010","0.29","/mutual-fund/holding-history/189266/245/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","783562161.6","739915000","0.72","578104","-3495","-0.6","/mutual-fund/holding-history/189266/317/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","881341744","696656000","0.68","775829","94935","13.94","/mutual-fund/holding-history/189266/700/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","904867269.9","694455000","0.68","300331","","","/mutual-fund/holding-history/189266/300864/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","636837477.49","659040000","0.64","2636899","57300","2.22","/mutual-fund/holding-history/189266/162/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","710052826.95","658461000","0.64","677499","20471","3.12","/mutual-fund/holding-history/189266/68/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","710039581.05","655164000","0.64","916121","46383","5.33","/mutual-fund/holding-history/189266/234/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","746246878.86","654986000","0.64","3875198","-100000","-2.52","/mutual-fund/holding-history/189266/1627/"
"Juniper Hotels Ltd","JUNIPER","544129","Consumer Cyclical","717738190.85","654680000","0.64","2284699","935307","69.31","/mutual-fund/holding-history/189266/2049000/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","681853327.2","654061000","0.64","504404","13","0","/mutual-fund/holding-history/189266/1527/"
"NCC Ltd","NCC","500294","Industrials","719824175.01","651590000","0.64","3074989","","","/mutual-fund/holding-history/189266/918/"
"Stove Kraft Ltd Ordinary Shares","STOVEKRAFT","543260","Consumer Cyclical","591101251.2","638576000","0.62","1049168","41153","4.08","/mutual-fund/holding-history/189266/409322/"
"Neuland Laboratories Ltd","NEULANDLAB","524558","Healthcare","575334630","620730000","0.61","51762","51762","New","/mutual-fund/holding-history/189266/933/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","749132472","612860000","0.6","1335352","","","/mutual-fund/holding-history/189266/2056/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","671882106.9","612335000","0.6","942199","118387","14.37","/mutual-fund/holding-history/189266/1291/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","671362051.5","612198000","0.6","427483","-31670","-6.9","/mutual-fund/holding-history/189266/54899/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","634361949","604428000","0.59","1740362","200713","13.04","/mutual-fund/holding-history/189266/1525832/"
"Spicejet Ltd","","500285","Industrials","555465378","603849000","0.59","12567090","360000","2.95","/mutual-fund/holding-history/189266/2064/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","579280866.77","601275000","0.59","2848969","30000","1.06","/mutual-fund/holding-history/189266/1093348/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","594527120","596519000","0.58","242912","","","/mutual-fund/holding-history/189266/1090/"
"Baazar Style Retail Ltd","STYLEBAAZA","544243","Consumer Cyclical","500367604.8","596370000","0.58","1876144","48956","2.68","/mutual-fund/holding-history/189266/2586584/"
"Birlasoft Ltd","BSOFT","532400","Technology","632313717","593812000","0.58","1521814","60000","4.1","/mutual-fund/holding-history/189266/763/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","635229345.3","584367000","0.57","1157277","-196833","-14.54","/mutual-fund/holding-history/189266/77534/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","643191354","565728000","0.55","92826","-147","-0.16","/mutual-fund/holding-history/189266/1715909/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","568268783","559574000","0.55","143249","","","/mutual-fund/holding-history/189266/297909/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","780366183.5","552876000","0.54","353027","10000","2.92","/mutual-fund/holding-history/189266/67/"
"Fedbank Financial Services Ltd","FEDFINA","544027","Financial Services","564187800","535220000","0.52","6022500","130859","2.22","/mutual-fund/holding-history/189266/1785397/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","573325720.6","533899000","0.52","613642","","","/mutual-fund/holding-history/189266/452/"
"S H Kelkar & Co Ltd","SHK","539450","Basic Materials","605672083","516485000","0.5","2599451","","","/mutual-fund/holding-history/189266/1788/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","536728389.5","512037000","0.5","83557","","","/mutual-fund/holding-history/189266/853/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","575663408.5","496046000","0.48","258667","19278","8.05","/mutual-fund/holding-history/189266/253/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","488156466.4","485222000","0.47","1107433","5000","0.45","/mutual-fund/holding-history/189266/749/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","520465204.8","481284000","0.47","941848","253677","36.86","/mutual-fund/holding-history/189266/2618334/"
"Punjab National Bank","PNB","532461","Financial Services","484976248.74","476372000","0.47","4753737","","","/mutual-fund/holding-history/189266/1048/"
"Power Mech Projects Ltd","POWERMECH","539302","Industrials","560302353","469410000","0.46","179205","","","/mutual-fund/holding-history/189266/1766/"
"Sunteck Realty Ltd","SUNTECK","512179","Real Estate","468936208.3","450237000","0.44","1123066","37757","3.48","/mutual-fund/holding-history/189266/1317/"
"Epigral Ltd","EPIGRAL","543332","Basic Materials","476953015.5","444879000","0.43","256385","-667","-0.26","/mutual-fund/holding-history/189266/634820/"
"Updater Services Ltd","UDS","543996","Industrials","526065798.75","440849000","0.43","1562185","","","/mutual-fund/holding-history/189266/1712499/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","511464105.7","435454000","0.43","401747","","","/mutual-fund/holding-history/189266/658068/"
"Tilaknagar Industries Ltd","TI","507205","Consumer Defensive","548631866.2","433850000","0.42","1513676","60000","4.13","/mutual-fund/holding-history/189266/1391/"
"CESC Ltd","CESC","500084","Utilities","453463375.63","430556000","0.42","2707729","","","/mutual-fund/holding-history/189266/256/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","432337996.6","430349000","0.42","686033","","","/mutual-fund/holding-history/189266/1121044/"
"EFC (I) Ltd","","512008","Real Estate","511651620","422093000","0.41","1567080","","","/mutual-fund/holding-history/189266/2513/"
"Hi-Tech Pipes Ltd","HITECH","543411","Basic Materials","448959784.5","420022000","0.41","4652433","","","/mutual-fund/holding-history/189266/87816/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","374535993.15","417945000","0.41","3122955","137346","4.6","/mutual-fund/holding-history/189266/1063762/"
