"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sobha Ltd","SOBHA","532784","Real Estate","4076179805.9","3683651000","3.14","2570587","146750","6.05","/mutual-fund/holding-history/189266/1261/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","3033675854","2959011000","2.52","6726554","-316544","-4.49","/mutual-fund/holding-history/189266/302/"
"The South Indian Bank Ltd","SOUTHBANK","532218","Financial Services","2826349694.73","2796938000","2.38","94875787","1130822","1.21","/mutual-fund/holding-history/189266/1270/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2568202370.1","2401312000","2.04","1286739","81000","6.72","/mutual-fund/holding-history/189266/1424/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2149360104.1","2130916000","1.81","5346002","-38863","-0.72","/mutual-fund/holding-history/189266/1034/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2016085481","2114460000","1.8","260594","-2359","-0.9","/mutual-fund/holding-history/189266/88/"
"REC Ltd","RECLTD","532955","Financial Services","1972249906","1976180000","1.68","4912204","1431800","41.14","/mutual-fund/holding-history/189266/1119/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","1834047847.05","1893569000","1.61","5290777","150947","2.94","/mutual-fund/holding-history/189266/105/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","1759655152.2","1667189000","1.42","3296469","","","/mutual-fund/holding-history/189266/1565404/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1611826424.75","1609448000","1.37","3964645","675657","20.54","/mutual-fund/holding-history/189266/1026/"
"Shaily Engineering Plastics Ltd","SHAILY","501423","Basic Materials","1370924157","1580022000","1.35","783430","-59533","-7.06","/mutual-fund/holding-history/189266/2105/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1324771778","1422293000","1.21","119878","-4508","-3.62","/mutual-fund/holding-history/189266/1309/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","1442989327.78","1388612000","1.18","7016383","114974","1.67","/mutual-fund/holding-history/189266/775/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","1250065460","1357563000","1.16","117355","","","/mutual-fund/holding-history/189266/548271/"
"TARC Ltd Ordinary Shares","TARC","543249","Real Estate","1396719311.06","1274543000","1.09","7454338","385893","5.46","/mutual-fund/holding-history/189266/376564/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","1213700390","1273974000","1.08","2739730","103195","3.91","/mutual-fund/holding-history/189266/2863354/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","1264743593.75","1251073000","1.07","1544725","15000","0.98","/mutual-fund/holding-history/189266/879/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1407115341.8","1217956000","1.04","835877","60514","7.8","/mutual-fund/holding-history/189266/464/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","1358729692.6","1172667000","1","799582","10000","1.27","/mutual-fund/holding-history/189266/1071/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","1360452279.76","1164541000","0.99","4879496","","","/mutual-fund/holding-history/189266/827/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1093338958.5","1138258000","0.97","1258230","","","/mutual-fund/holding-history/189266/745/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1124040800","1132323000","0.96","2906000","3871","0.13","/mutual-fund/holding-history/189266/948/"
"eClerx Services Ltd","ECLERX","532927","Technology","1131636425.5","1110813000","0.95","313603","-1500","-0.48","/mutual-fund/holding-history/189266/356/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","1186697733.75","1097327000","0.93","2810415","405282","16.85","/mutual-fund/holding-history/189266/1132/"
"Rashi Peripherals Ltd","RPTECH","544119","Technology","1068839811.6","1078466000","0.92","3500376","","","/mutual-fund/holding-history/189266/1992194/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","993765273.6","1035584000","0.88","882249","106420","13.72","/mutual-fund/holding-history/189266/700/"
"Shilpa Medicare Ltd","SHILPAMED","530549","Healthcare","1114790977.8","1021679000","0.87","1133436","-47821","-4.05","/mutual-fund/holding-history/189266/1218/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1006231591.7","989005000","0.84","946507","34039","3.73","/mutual-fund/holding-history/189266/4826/"
"Kolte-Patil Developers Ltd","KOLTEPATIL","532924","Real Estate","1083978889","971855000","0.83","2380540","-20000","-0.83","/mutual-fund/holding-history/189266/755/"
"Cyient Ltd","CYIENT","532175","Industrials","940020826","960780000","0.82","713380","7059","1","/mutual-fund/holding-history/189266/301/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","936353115","931450000","0.79","1140156","-232000","-16.91","/mutual-fund/holding-history/189266/625/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","880119995.5","911685000","0.78","300331","","","/mutual-fund/holding-history/189266/300864/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","955342497.5","901394000","0.77","607531","29427","5.09","/mutual-fund/holding-history/189266/317/"
"Jupiter Wagons Ltd","JWL","533272","Industrials","866249374.9","874883000","0.74","2213773","100202","4.74","/mutual-fund/holding-history/189266/245/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","806457834","828275000","0.71","803565","126066","18.61","/mutual-fund/holding-history/189266/68/"
"Signatureglobal (India) Ltd","SIGNATURE","543990","Real Estate","868442907.8","817525000","0.7","674414","","","/mutual-fund/holding-history/189266/1696785/"
"Godawari Power & Ispat Ltd","GPIL","532734","Basic Materials","772916557.77","793966000","0.68","4168239","","","/mutual-fund/holding-history/189266/486/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","766825886","771700000","0.66","1335352","","","/mutual-fund/holding-history/189266/2056/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","668665414.9","755664000","0.64","3875198","","","/mutual-fund/holding-history/189266/1627/"
"Vedanta Ltd","VEDL","500295","Basic Materials","804618313.5","755446000","0.64","1734465","-270000","-13.47","/mutual-fund/holding-history/189266/1289/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","806265995.25","746627000","0.64","802135","188493","30.72","/mutual-fund/holding-history/189266/452/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","745001376.6","746562000","0.64","650429","","","/mutual-fund/holding-history/189266/132/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","909894375.6","739103000","0.63","504404","","","/mutual-fund/holding-history/189266/1527/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","796566592.8","724403000","0.62","893112","-49087","-5.21","/mutual-fund/holding-history/189266/1291/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","714345349.75","722041000","0.61","916121","","","/mutual-fund/holding-history/189266/234/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","740275667.6","721791000","0.61","322027","-31000","-8.78","/mutual-fund/holding-history/189266/67/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","696861532.75","721518000","0.61","3497423","648454","22.76","/mutual-fund/holding-history/189266/1093348/"
