"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sobha Ltd","SOBHA","532784","Real Estate","4331939898","3805668000","2.93","2596308","25721","1","/mutual-fund/holding-history/189266/1261/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","3351505530.5","3272132000","2.52","6726554","","","/mutual-fund/holding-history/189266/302/"
"The South Indian Bank Ltd","SOUTHBANK","532218","Financial Services","2918553906.32","3060704000","2.36","99405787","4530000","4.77","/mutual-fund/holding-history/189266/1270/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2681792740","2772679000","2.14","1280092","-6647","-0.52","/mutual-fund/holding-history/189266/1424/"
"REC Ltd","RECLTD","532955","Financial Services","2539379809.2","2597144000","2","6454136","1541932","31.39","/mutual-fund/holding-history/189266/1119/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2394153180","2274576000","1.75","260801","207","0.08","/mutual-fund/holding-history/189266/88/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2246642919.4","2260403000","1.74","5396044","50042","0.94","/mutual-fund/holding-history/189266/1034/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","1869929885","1981109000","1.53","11298670","6636","0.06","/mutual-fund/holding-history/189266/1627/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","1828726120.8","1906544000","1.47","5404037","113260","2.14","/mutual-fund/holding-history/189266/105/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1765276298.5","1819337000","1.4","4256755","292110","7.37","/mutual-fund/holding-history/189266/1026/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","2112871805.55","1764435000","1.36","3296469","","","/mutual-fund/holding-history/189266/1565404/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","1597114536.3","1599625000","1.23","1321349","439100","49.77","/mutual-fund/holding-history/189266/700/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1863037730.7","1513314000","1.17","862877","27000","3.23","/mutual-fund/holding-history/189266/464/"
"TARC Ltd Ordinary Shares","TARC","543249","Real Estate","1557313020.9","1474862000","1.14","7973953","519615","6.97","/mutual-fund/holding-history/189266/376564/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","1359552325.33","1396376000","1.08","7136383","120000","1.71","/mutual-fund/holding-history/189266/775/"
"Shaily Engineering Plastics Ltd","SHAILY","501423","Basic Materials","1333503273.6","1362247000","1.05","818904","35474","4.53","/mutual-fund/holding-history/189266/2105/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","1430063416.25","1330937000","1.03","1529725","-15000","-0.97","/mutual-fund/holding-history/189266/879/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","1499619390","1326183000","1.02","2761730","22000","0.8","/mutual-fund/holding-history/189266/2863354/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1455593846","1322115000","1.02","120686","808","0.67","/mutual-fund/holding-history/189266/1309/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","1300022912","1316130000","1.01","4779496","-100000","-2.05","/mutual-fund/holding-history/189266/827/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","1288266330.45","1306651000","1.01","2965281","154866","5.51","/mutual-fund/holding-history/189266/1132/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","1337448230.5","1234854000","0.95","745055","-54527","-6.82","/mutual-fund/holding-history/189266/1071/"
