"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","576937500","511360000","3.12","425000","","","/mutual-fund/holding-history/138033/2582/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","480300000","446920000","2.73","2000000","","","/mutual-fund/holding-history/138033/54143/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","448350000","431040000","2.63","75000","","","/mutual-fund/holding-history/138033/1124672/"
"Ami Organics Ltd","AMIORG","543349","Basic Materials","437940770.8","424136000","2.59","375142","","","/mutual-fund/holding-history/138033/644637/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","394497600","413207000","2.52","413000","","","/mutual-fund/holding-history/138033/644314/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","401390000","402735000","2.46","164000","","","/mutual-fund/holding-history/138033/1090/"
"CarTrade Tech Ltd","CARTRADE","543333","Consumer Cyclical","352061654.4","396209000","2.42","232476","-9305","-3.85","/mutual-fund/holding-history/138033/621767/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","424192050","386810000","2.36","270100","","","/mutual-fund/holding-history/138033/54899/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","413846666","383790000","2.34","352570","","","/mutual-fund/holding-history/138033/100478/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","420438266.88","373191000","2.28","3711496","","","/mutual-fund/holding-history/138033/2789016/"
"PG Electroplast Ltd","PGEL","533581","Technology","336688000","371492000","2.27","440000","","","/mutual-fund/holding-history/138033/1031/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","404538290","355894000","2.17","58396","","","/mutual-fund/holding-history/138033/1715909/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","355626400","341090000","2.08","632000","132000","26.4","/mutual-fund/holding-history/138033/71/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","339592000","340153000","2.08","935000","","","/mutual-fund/holding-history/138033/105/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","381458000","331593000","2.02","308000","","","/mutual-fund/holding-history/138033/1873481/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","321401225.6","316528000","1.93","169802","","","/mutual-fund/holding-history/138033/1424/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","322586000","313162000","1.91","310000","","","/mutual-fund/holding-history/138033/4826/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","314135600","308598000","1.88","79000","","","/mutual-fund/holding-history/138033/297909/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","326081600","270267000","1.65","122000","","","/mutual-fund/holding-history/138033/888523/"
"Castrol India Ltd","CASTROLIND","500870","Energy","279396000","266936000","1.63","1350000","","","/mutual-fund/holding-history/138033/241/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","270360000","259340000","1.58","200000","","","/mutual-fund/holding-history/138033/1527/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","285067500","258143000","1.58","597000","","","/mutual-fund/holding-history/138033/1373/"
"HEG Ltd","HEG","509631","Industrials","267446500","249497000","1.52","535000","","","/mutual-fund/holding-history/138033/535/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","229515600","248391000","1.52","96500","","","/mutual-fund/holding-history/138033/1053/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","262378200","236280000","1.44","179000","","","/mutual-fund/holding-history/138033/53219/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","276832000","232464000","1.42","16000","","","/mutual-fund/holding-history/138033/202203/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","220624400","229694000","1.4","202000","","","/mutual-fund/holding-history/138033/191143/"
"Tips Music Ltd","TIPSMUSIC","532375","Communication Services","243133800","229156000","1.4","364000","","","/mutual-fund/holding-history/138033/1401/"
"Carraro India Ltd","CARRARO","544320","Consumer Cyclical","274278169.65","227890000","1.39","608763","89763","17.3","/mutual-fund/holding-history/138033/2867597/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","297402723.65","225728000","1.38","702001","","","/mutual-fund/holding-history/138033/1690561/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","255997039.5","220591000","1.35","115029","","","/mutual-fund/holding-history/138033/253/"
"Indian Bank","INDIANB","532814","Financial Services","232446950","220096000","1.34","389000","43872","12.71","/mutual-fund/holding-history/138033/609/"
"Ganesha Ecosphere Ltd","GANECOS","514167","Consumer Cyclical","239886400","219625000","1.34","152000","","","/mutual-fund/holding-history/138033/1563/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","284251500","219429000","1.34","645000","75000","13.16","/mutual-fund/holding-history/138033/2978666/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","226033300","205762000","1.26","466000","","","/mutual-fund/holding-history/138033/755507/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","203269500","201191000","1.23","135000","","","/mutual-fund/holding-history/138033/369403/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","201547965","198930000","1.21","361100","","","/mutual-fund/holding-history/138033/157/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","205728000","181936000","1.11","1600000","","","/mutual-fund/holding-history/138033/1165/"
"Latent View Analytics Ltd","LATENTVIEW","543398","Industrials","185551600","173817000","1.06","442000","","","/mutual-fund/holding-history/138033/717540/"
"Manorama Industries Ltd","MANORAMA","541974","Consumer Defensive","187412500","173742000","1.06","136300","","","/mutual-fund/holding-history/138033/110310/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","171400400","172095000","1.05","262000","","","/mutual-fund/holding-history/138033/555690/"
"Unicommerce eSolutions Ltd","UNIECOM","544227","Technology","193609987.98","169765000","1.04","1402666","","","/mutual-fund/holding-history/138033/2492906/"
"General Insurance Corp of India","GICRE","540755","Financial Services","166560000","166860000","1.02","400000","","","/mutual-fund/holding-history/138033/63527/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","197020000","163470000","1","200000","","","/mutual-fund/holding-history/138033/361/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","167688000","155504000","0.95","160000","","","/mutual-fund/holding-history/138033/68/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","160787016","153326000","0.94","441480","","","/mutual-fund/holding-history/138033/1525832/"
