"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","645320000","592068000","3.26","425000","","","/mutual-fund/holding-history/138033/2582/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","459600000","482480000","2.65","2000000","","","/mutual-fund/holding-history/138033/54143/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","419812500","448500000","2.47","75000","","","/mutual-fund/holding-history/138033/1124672/"
"Acutaas Chemicals Ltd","ACUTAAS","543349","Basic Materials","410255291.2","441280000","2.43","375142","","","/mutual-fund/holding-history/138033/644637/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","499063770","427244000","2.35","270100","","","/mutual-fund/holding-history/138033/54899/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","402140591.6","412941000","2.27","3711496","","","/mutual-fund/holding-history/138033/2789016/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","421356407","403516000","2.22","352570","","","/mutual-fund/holding-history/138033/100478/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","349980400","399045000","2.19","308000","","","/mutual-fund/holding-history/138033/1873481/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","394410100","387658000","2.13","371000","61000","19.68","/mutual-fund/holding-history/138033/4826/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","418760000","385520000","2.12","800000","155000","24.03","/mutual-fund/holding-history/138033/2978666/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","360162000","366920000","2.02","51000","-7396","-12.67","/mutual-fund/holding-history/138033/1715909/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","342271000","360229000","1.98","122000","","","/mutual-fund/holding-history/138033/888523/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","372053217.5","360151000","1.98","142195","-21805","-13.3","/mutual-fund/holding-history/138033/1090/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","354194375.75","350185000","1.93","366187","-46813","-11.33","/mutual-fund/holding-history/138033/644314/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","347694800","349812000","1.92","632000","","","/mutual-fund/holding-history/138033/71/"
"PG Electroplast Ltd","PGEL","533581","Technology","335192000","339438000","1.87","440000","","","/mutual-fund/holding-history/138033/1031/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","331922500","338585000","1.86","650000","53000","8.88","/mutual-fund/holding-history/138033/1373/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","338907811.8","316884000","1.74","169802","","","/mutual-fund/holding-history/138033/1424/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","325393100","312927000","1.72","79000","","","/mutual-fund/holding-history/138033/297909/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","281424000","308768000","1.7","16000","","","/mutual-fund/holding-history/138033/202203/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","302316730.65","304142000","1.67","702001","","","/mutual-fund/holding-history/138033/1690561/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","360780000","293060000","1.61","200000","","","/mutual-fund/holding-history/138033/1527/"
"Syrma SGS Technology Ltd","SYRMA","543573","Technology","279406234.1","288869000","1.59","536134","536134","New","/mutual-fund/holding-history/138033/995074/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","272120250","280952000","1.54","785000","-150000","-16.04","/mutual-fund/holding-history/138033/105/"
"HEG Ltd","HEG","509631","Industrials","270014500","280073000","1.54","535000","","","/mutual-fund/holding-history/138033/535/"
"Carraro India Ltd","CARRARO","544320","Consumer Cyclical","272269251.75","278205000","1.53","608763","","","/mutual-fund/holding-history/138033/2867597/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","301185400","273816000","1.51","179000","","","/mutual-fund/holding-history/138033/53219/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","287814060.9","250556000","1.38","115029","","","/mutual-fund/holding-history/138033/253/"
"Castrol India Ltd","CASTROLIND","500870","Energy","243340498.6","247426000","1.36","1144324","-205676","-15.24","/mutual-fund/holding-history/138033/241/"
"Indian Bank","INDIANB","532814","Financial Services","246120300","239857000","1.32","389000","","","/mutual-fund/holding-history/138033/609/"
"Tips Music Ltd","TIPSMUSIC","532375","Communication Services","243989200","236673000","1.3","364000","","","/mutual-fund/holding-history/138033/1401/"
"Ganesha Ecosphere Ltd","GANECOS","514167","Consumer Cyclical","229459200","233214000","1.28","152000","","","/mutual-fund/holding-history/138033/1563/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","227757500","229295000","1.26","466000","","","/mutual-fund/holding-history/138033/755507/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","211894700","217955000","1.2","96500","","","/mutual-fund/holding-history/138033/1053/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","219927955","213157000","1.17","361100","","","/mutual-fund/holding-history/138033/157/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","200687000","211635000","1.16","202000","","","/mutual-fund/holding-history/138033/191143/"
"Kernex Microsystems (India) Ltd","KERNEX","532686","Technology","235711296","211285000","1.16","181876","","","/mutual-fund/holding-history/138033/731/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","206272000","206688000","1.14","1600000","","","/mutual-fund/holding-history/138033/1165/"
"Manorama Industries Ltd","MANORAMA","541974","Consumer Defensive","193641410","199093000","1.09","136300","","","/mutual-fund/holding-history/138033/110310/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","187366500","196979000","1.08","135000","","","/mutual-fund/holding-history/138033/369403/"
"Unicommerce eSolutions Ltd","UNIECOM","544227","Technology","184492658.98","187915000","1.03","1402666","","","/mutual-fund/holding-history/138033/2492906/"
"Godavari Biorefineries Ltd","GODAVARIB","544279","Basic Materials","177472100","184505000","1.01","647000","","","/mutual-fund/holding-history/138033/2729499/"
"Latent View Analytics Ltd","LATENTVIEW","543398","Industrials","176954700","183894000","1.01","442000","","","/mutual-fund/holding-history/138033/717540/"
"CarTrade Tech Ltd","CARTRADE","543333","Consumer Cyclical","198868320","183835000","1.01","118374","-114102","-49.08","/mutual-fund/holding-history/138033/621767/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","178042100","179274000","0.99","262000","","","/mutual-fund/holding-history/138033/555690/"
"Schneider Electric Infrastructure Ltd","SCHNEIDER","534139","Industrials","176214750","176755000","0.97","235000","","","/mutual-fund/holding-history/138033/1195/"
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","192014850","172304000","0.95","449000","59000","15.13","/mutual-fund/holding-history/138033/2916661/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","158822430","168226000","0.93","441480","","","/mutual-fund/holding-history/138033/1525832/"
"General Insurance Corp of India","GICRE","540755","Financial Services","154780000","164640000","0.91","400000","","","/mutual-fund/holding-history/138033/63527/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","172048943.6","158224000","0.87","68611","","","/mutual-fund/holding-history/138033/74800/"
"Hi-Tech Pipes Ltd","HITECH","543411","Basic Materials","166736360","157518000","0.87","1652000","","","/mutual-fund/holding-history/138033/87816/"
"Vinati Organics Ltd","VINATIORGA","524200","Basic Materials","155933798.6","153045000","0.84","83023","","","/mutual-fund/holding-history/138033/1485/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","152437500.15","149851000","0.82","157713","-42287","-21.14","/mutual-fund/holding-history/138033/361/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","146013139.6","145288000","0.8","162952","","","/mutual-fund/holding-history/138033/1434/"
"KSB Ltd","KSB","500249","Industrials","138856000","143854000","0.79","170000","","","/mutual-fund/holding-history/138033/768/"
"Gufic Biosciences Ltd","GUFICBIO","509079","Healthcare","127897819.2","134865000","0.74","344924","","","/mutual-fund/holding-history/138033/509/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","139322672","133580000","0.73","46880","","","/mutual-fund/holding-history/138033/877860/"
"Jupiter Wagons Ltd","JWL","533272","Industrials","126598462.9","127860000","0.7","323533","","","/mutual-fund/holding-history/138033/245/"
"Tinna Rubber & Infrastructure Ltd","","530475","Basic Materials","123040305.5","127281000","0.7","131278","","","/mutual-fund/holding-history/138033/3340/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","120758850","116628000","0.64","243000","-72000","-22.86","/mutual-fund/holding-history/138033/1061/"
"Advanced Enzyme Technologies Ltd","ADVENZYMES","540025","Basic Materials","121284000","109836000","0.6","360000","","","/mutual-fund/holding-history/138033/4635/"
"Sanstar Ltd","SANSTAR","544217","Basic Materials","99404550","108186000","0.59","1099000","-236737","-17.72","/mutual-fund/holding-history/138033/2444060/"
"Shanthi Gears Ltd","SHANTIGEAR","522034","Industrials","114773317.2","105832000","0.58","213651","-71349","-25.03","/mutual-fund/holding-history/138033/1213/"
"Sky Gold and Diamonds Ltd","","541967","Consumer Cyclical","93167162","96463000","0.53","245080","245080","New","/mutual-fund/holding-history/138033/109637/"
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","542760","Technology","104715000","91780000","0.5","325000","","","/mutual-fund/holding-history/138033/155630/"
"Apar Industries Ltd","APARINDS","532259","Industrials","85101500","89254000","0.49","11000","11000","New","/mutual-fund/holding-history/138033/88/"
"Rane Holdings Ltd","RANEHOLDIN","505800","Consumer Cyclical","87948752.4","88175000","0.48","58098","","","/mutual-fund/holding-history/138033/1111/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","90622400","86051000","0.47","44000","-35613","-44.73","/mutual-fund/holding-history/138033/1955/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","80410000","79720000","0.44","200000","-200313","-50.04","/mutual-fund/holding-history/138033/1034/"
"Stylam Industries Ltd","STYLAMIND","526951","Consumer Cyclical","80949639.6","78228000","0.43","47741","4205","9.66","/mutual-fund/holding-history/138033/3226/"
