"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lloyds Metals & Energy Ltd","LLOYDSME","512455","Basic Materials","650590000","675283000","3.54","425000","","","/mutual-fund/holding-history/138033/2582/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","691200000","547600000","2.87","800000","","","/mutual-fund/holding-history/138033/2978666/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","502922100","475412000","2.49","393000","40430","11.47","/mutual-fund/holding-history/138033/100478/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","450920000","475120000","2.49","2000000","","","/mutual-fund/holding-history/138033/54143/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","433725000","457125000","2.4","75000","","","/mutual-fund/holding-history/138033/1124672/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","479616570","454794000","2.38","270100","","","/mutual-fund/holding-history/138033/54899/"
"Acutaas Chemicals Ltd","ACUTAAS","543349","Basic Materials","441767219.2","429313000","2.25","375142","","","/mutual-fund/holding-history/138033/644637/"
"Sky Gold and Diamonds Ltd","","541967","Consumer Cyclical","458374364","420919000","2.21","1340080","1095000","446.79","/mutual-fund/holding-history/138033/109637/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","403128600","411587000","2.16","371000","","","/mutual-fund/holding-history/138033/4826/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","402437511.28","388557000","2.04","3711496","","","/mutual-fund/holding-history/138033/2789016/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","356040833.6","367791000","1.93","169802","","","/mutual-fund/holding-history/138033/1424/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","392187600","364948000","1.91","632000","","","/mutual-fund/holding-history/138033/71/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","371954445.25","360786000","1.89","366187","","","/mutual-fund/holding-history/138033/644314/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","355960800","348180000","1.83","117000","117000","New","/mutual-fund/holding-history/138033/3145560/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","335552500","338926000","1.78","79000","","","/mutual-fund/holding-history/138033/297909/"
"PG Electroplast Ltd","PGEL","533581","Technology","347116000","332046000","1.74","440000","","","/mutual-fund/holding-history/138033/1031/"
"Syrma SGS Technology Ltd","SYRMA","543573","Technology","414817600.45","331363000","1.74","584209","48075","8.97","/mutual-fund/holding-history/138033/995074/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","366317200","330522000","1.73","122000","","","/mutual-fund/holding-history/138033/888523/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","325679200","326172000","1.71","308000","","","/mutual-fund/holding-history/138033/1873481/"
