"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","4358312560","4154907000","3.62","678020","","","/mutual-fund/holding-history/138297/853/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2936834040","2827232000","2.46","491932","-44480","-8.29","/mutual-fund/holding-history/138297/1124672/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3444187222.4","2807004000","2.45","8936656","-1822592","-16.94","/mutual-fund/holding-history/138297/175/"
"KEI Industries Ltd","KEI","517569","Industrials","3083209178.4","2673493000","2.33","872664","","","/mutual-fund/holding-history/138297/729/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2381973258","2345608000","2.04","1258306","","","/mutual-fund/holding-history/138297/1424/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2678647010","2303516000","2.01","1201187","","","/mutual-fund/holding-history/138297/253/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2258534590","2154829000","1.88","1336411","33047","2.54","/mutual-fund/holding-history/138297/665/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","1896235308.5","1783252000","1.55","4944551","245968","5.23","/mutual-fund/holding-history/138297/1476/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1783334060.7","1712908000","1.49","7851255","537728","7.35","/mutual-fund/holding-history/138297/721/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","1949235120","1644625000","1.43","113196","","","/mutual-fund/holding-history/138297/202203/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","1662359449","1636923000","1.43","419047","","","/mutual-fund/holding-history/138297/297909/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","1469919690","1618980000","1.41","948825","62660","7.07","/mutual-fund/holding-history/138297/209/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","1472156613","1604182000","1.4","875502","","","/mutual-fund/holding-history/138297/1316/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","1517296384","1587234000","1.38","23707756","-1190836","-4.78","/mutual-fund/holding-history/138297/325199/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1545547364.55","1578922000","1.38","2004471","","","/mutual-fund/holding-history/138297/606/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","1495011566","1566867000","1.37","579013","","","/mutual-fund/holding-history/138297/49/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","1880351184","1561895000","1.36","1910926","","","/mutual-fund/holding-history/138297/361/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1510809932.5","1515872000","1.32","617287","","","/mutual-fund/holding-history/138297/1090/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","2123492992.2","1503301000","1.31","959901","","","/mutual-fund/holding-history/138297/67/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","1573870153.05","1487646000","1.3","4410453","","","/mutual-fund/holding-history/138297/2020/"
"Sobha Ltd","SOBHA","532784","Real Estate","1496459756","1461203000","1.27","1105214","177968","19.19","/mutual-fund/holding-history/138297/1261/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1499586116.7","1455358000","1.27","1440663","","","/mutual-fund/holding-history/138297/4826/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","1499346389","1422743000","1.24","2031910","","","/mutual-fund/holding-history/138297/1110875/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","1365489902.19","1416638000","1.23","6712333","","","/mutual-fund/holding-history/138297/1093348/"
"Innova Captab Ltd","INNOVACAP","544067","Healthcare","1382295289.6","1415337000","1.23","1600064","17945","1.13","/mutual-fund/holding-history/138297/1842149/"
"Suven Pharmaceuticals Ltd","COHANCE","543064","Healthcare","1349388612","1408990000","1.23","1239108","","","/mutual-fund/holding-history/138297/191143/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","1467992270.6","1400804000","1.22","7359095","","","/mutual-fund/holding-history/138297/63143/"
"CESC Ltd","CESC","500084","Utilities","1457599792.44","1382563000","1.2","8694821","","","/mutual-fund/holding-history/138297/256/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1335252582.8","1321783000","1.15","1104062","","","/mutual-fund/holding-history/138297/1108489/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1494080352","1301754000","1.13","374832","","","/mutual-fund/holding-history/138297/406/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","1368815962.8","1295444000","1.13","1179607","","","/mutual-fund/holding-history/138297/276825/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","1371513000","1290858000","1.12","149500","","","/mutual-fund/holding-history/138297/150/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1420381312","1271389000","1.11","1636384","65215","4.15","/mutual-fund/holding-history/138297/685/"
"Indian Bank","INDIANB","532814","Financial Services","1329542424.7","1263657000","1.1","2233399","","","/mutual-fund/holding-history/138297/609/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1219308615.48","1261238000","1.1","5424212","","","/mutual-fund/holding-history/138297/589490/"
"City Union Bank Ltd","CUB","532210","Financial Services","1367819372.6","1248719000","1.09","7072489","","","/mutual-fund/holding-history/138297/295/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1329540852.5","1228610000","1.07","1717975","","","/mutual-fund/holding-history/138297/234/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1216335383.8","1215589000","1.06","4972753","","","/mutual-fund/holding-history/138297/974/"
"ICRA Ltd","ICRA","532835","Financial Services","1415479000","1210561000","1.05","217766","","","/mutual-fund/holding-history/138297/586/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","1404193050","1210312000","1.05","1213650","","","/mutual-fund/holding-history/138297/764/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","1487352440","1182633000","1.03","6249380","","","/mutual-fund/holding-history/138297/393/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","1065415798","1166810000","1.02","3119812","","","/mutual-fund/holding-history/138297/706/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1219836270.1","1166425000","1.02","1133993","","","/mutual-fund/holding-history/138297/219/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","1349655063.75","1160651000","1.01","7417725","957725","14.83","/mutual-fund/holding-history/138297/911/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1238332041.3","1152027000","1","1058313","","","/mutual-fund/holding-history/138297/100478/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","1253793070.4","1146106000","1","3258298","","","/mutual-fund/holding-history/138297/404/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","1103008830","1136094000","0.99","924180","61856","7.17","/mutual-fund/holding-history/138297/407835/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1137680000","1124000000","0.98","800000","","","/mutual-fund/holding-history/138297/1127/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","1169032059.4","1103939000","0.96","696931","","","/mutual-fund/holding-history/138297/154217/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","1124435362.35","1091525000","0.95","1156767","","","/mutual-fund/holding-history/138297/1103/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","1245234900","1086739000","0.95","638582","","","/mutual-fund/holding-history/138297/747241/"
"Cera Sanitaryware Ltd","CERA","532443","Industrials","1299346377.5","1078744000","0.94","201371","","","/mutual-fund/holding-history/138297/254/"
"Cyient Ltd","CYIENT","532175","Industrials","1219974904.2","1076576000","0.94","906438","176261","24.14","/mutual-fund/holding-history/138297/301/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","1228471048.8","1054960000","0.92","2028184","","","/mutual-fund/holding-history/138297/1418/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1048249254","1036892000","0.9","197522","","","/mutual-fund/holding-history/138297/1784/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","1178078304","1022670000","0.89","910416","204668","29","/mutual-fund/holding-history/138297/2245414/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","963874755","991855000","0.86","582930","","","/mutual-fund/holding-history/138297/139598/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","1047585040","963061000","0.84","358762","","","/mutual-fund/holding-history/138297/1114/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","997497688","944652000","0.82","781738","","","/mutual-fund/holding-history/138297/168/"
"ITC Ltd","ITC","500875","Consumer Defensive","934605000","915470000","0.8","2150000","","","/mutual-fund/holding-history/138297/647/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","948277583","863260000","0.75","2972657","","","/mutual-fund/holding-history/138297/494/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","905598530.1","862679000","0.75","264123","","","/mutual-fund/holding-history/138297/1498/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","868169502.5","859456000","0.75","1281431","","","/mutual-fund/holding-history/138297/2228/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","917793428.75","854541000","0.74","982175","","","/mutual-fund/holding-history/138297/452/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","895095550.8","846074000","0.74","19846908","19846908","New","/mutual-fund/holding-history/138297/175415/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","932843966","811883000","0.71","754118","","","/mutual-fund/holding-history/138297/1873481/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","882216203.4","797541000","0.7","1964628","","","/mutual-fund/holding-history/138297/816/"
