"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","5289570000","5011110000","3.51","7800000","","","/mutual-fund/holding-history/8801/450809/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","4575396331.5","4481961000","3.14","5839689","","","/mutual-fund/holding-history/8801/1514/"
"eClerx Services Ltd","ECLERX","532927","Technology","5451840000","4024160000","2.82","1600000","","","/mutual-fund/holding-history/8801/356/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","4468500000","3896250000","2.73","3750000","","","/mutual-fund/holding-history/8801/555688/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","3905400000","3764640000","2.64","9200000","","","/mutual-fund/holding-history/8801/1419/"
"Cyient Ltd","CYIENT","532175","Industrials","4040400000","3563100000","2.5","3000000","","","/mutual-fund/holding-history/8801/301/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","4057033426","3556142000","2.49","9241534","-18961","-0.2","/mutual-fund/holding-history/8801/1323/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","4124000000","3465500000","2.43","10000000","300000","3.09","/mutual-fund/holding-history/8801/302/"
"Thangamayil Jewellery Ltd","THANGAMAYL","533158","Consumer Cyclical","3047658859.5","3327995000","2.33","1587405","","","/mutual-fund/holding-history/8801/1384/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","3740423175.3","3265883000","2.29","1629601","","","/mutual-fund/holding-history/8801/2912/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","3386272000","3250784000","2.28","2320000","65096","2.89","/mutual-fund/holding-history/8801/642/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","4215825000","3203842000","2.25","6150000","","","/mutual-fund/holding-history/8801/803/"
"Swaraj Engines Ltd","SWARAJENG","500407","Consumer Cyclical","3084456132","3118621000","2.19","766020","-13980","-1.79","/mutual-fund/holding-history/8801/1339/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","2835900000","2822850000","1.98","4500000","200000","4.65","/mutual-fund/holding-history/8801/1121044/"
"Atul Ltd","ATUL","500027","Basic Materials","2839141872","2723671000","1.91","403746","23553","6.2","/mutual-fund/holding-history/8801/129/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","3126750000","2658750000","1.86","2500000","","","/mutual-fund/holding-history/8801/118204/"
"Dhanuka Agritech Ltd","DHANUKA","507717","Basic Materials","3362800000","2608600000","1.83","2000000","","","/mutual-fund/holding-history/8801/327/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","2842125000","2463450000","1.73","3300000","194620","6.27","/mutual-fund/holding-history/8801/745/"
"TCPL Packaging Ltd","TCPLPACK","523301","Consumer Cyclical","2725070890.8","2280977000","1.6","629652","","","/mutual-fund/holding-history/8801/2936/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","2444250000","2271000000","1.59","5000000","","","/mutual-fund/holding-history/8801/1504/"
"IFB Industries Ltd","IFBIND","505726","Consumer Cyclical","2360925000","2261700000","1.59","1750000","","","/mutual-fund/holding-history/8801/592/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","2124950000","2260800000","1.59","500000","","","/mutual-fund/holding-history/8801/914/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2522970000","2218500000","1.56","1700000","","","/mutual-fund/holding-history/8801/845/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","2152603149","2123555000","1.49","1536915","102799","7.17","/mutual-fund/holding-history/8801/877862/"
"Aarti Drugs Ltd","AARTIDRUGS","524348","Healthcare","2760493014","2049377000","1.44","5872140","272140","4.86","/mutual-fund/holding-history/8801/13/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","2435955173.6","2018996000","1.42","911387","","","/mutual-fund/holding-history/8801/888523/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","2180925000","2013300000","1.41","750000","","","/mutual-fund/holding-history/8801/1114/"
"Nilkamal Ltd","NILKAMAL","523385","Consumer Cyclical","2110557013.8","1900338000","1.33","1178358","","","/mutual-fund/holding-history/8801/943/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","2149940000","1898390000","1.33","260000","","","/mutual-fund/holding-history/8801/1499/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","1847246432.5","1828706000","1.28","2726563","","","/mutual-fund/holding-history/8801/2228/"
"Shriram Pistons & Rings Ltd","SHRIPISTON","544344","Consumer Cyclical","2442688193.7","1824932000","1.28","1015713","43108","4.43","/mutual-fund/holding-history/8801/87722/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","2115613296","1802762000","1.26","1663218","","","/mutual-fund/holding-history/8801/658068/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","1752297569","1770297000","1.24","1005565","-331986","-24.82","/mutual-fund/holding-history/8801/1886/"
"Campus Activewear Ltd","CAMPUS","543523","Consumer Cyclical","1953068000","1723028000","1.21","7100000","200000","2.9","/mutual-fund/holding-history/8801/877863/"
