"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","5341855512.75","5463321000","3.35","5839689","","","/mutual-fund/holding-history/8801/1514/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","5876006697.75","5325214000","3.27","7581455","-218545","-2.8","/mutual-fund/holding-history/8801/450809/"
"eClerx Services Ltd","ECLERX","532927","Technology","5258497450.5","5161736000","3.17","1457253","-142747","-8.92","/mutual-fund/holding-history/8801/356/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","6252090000","4991032000","3.06","6150000","","","/mutual-fund/holding-history/8801/803/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","5031750000","4612125000","2.83","3750000","","","/mutual-fund/holding-history/8801/555688/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","4510000000","4399000000","2.7","10000000","","","/mutual-fund/holding-history/8801/302/"
"Cyient Ltd","CYIENT","532175","Industrials","3953100000","4040400000","2.48","3000000","","","/mutual-fund/holding-history/8801/301/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","3800520000","4030980000","2.47","9200000","","","/mutual-fund/holding-history/8801/1419/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","3716750000","3524500000","2.16","2500000","","","/mutual-fund/holding-history/8801/118204/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","3201000000","3461550000","2.12","1500000","-129601","-7.95","/mutual-fund/holding-history/8801/2912/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","3161000000","3305536000","2.03","2320000","","","/mutual-fund/holding-history/8801/642/"
"Dhanuka Agritech Ltd","DHANUKA","507717","Basic Materials","3429200000","3302000000","2.03","2000000","","","/mutual-fund/holding-history/8801/327/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3084772500","3211508000","1.97","3550000","250000","7.58","/mutual-fund/holding-history/8801/745/"
"Thangamayil Jewellery Ltd","THANGAMAYL","533158","Consumer Cyclical","3008926177.5","3060358000","1.88","1587405","","","/mutual-fund/holding-history/8801/1384/"
"Swaraj Engines Ltd","SWARAJENG","500407","Consumer Cyclical","2945890689.1","2886445000","1.77","734801","-31219","-4.08","/mutual-fund/holding-history/8801/1339/"
"Atul Ltd","ATUL","500027","Basic Materials","2928571611","2881333000","1.77","403746","","","/mutual-fund/holding-history/8801/129/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","3093092478.9","2842549000","1.74","6789798","-2451736","-26.53","/mutual-fund/holding-history/8801/1323/"
"Aarti Drugs Ltd","AARTIDRUGS","524348","Healthcare","2939193585.9","2822809000","1.73","6359826","487686","8.31","/mutual-fund/holding-history/8801/13/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","2852325000","2817000000","1.73","4500000","","","/mutual-fund/holding-history/8801/1121044/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","2556896228.5","2691052000","1.65","911387","","","/mutual-fund/holding-history/8801/888523/"
"Shriram Pistons & Rings Ltd","SHRIPISTON","544344","Consumer Cyclical","2641826677.5","2669288000","1.64","1081165","65452","6.44","/mutual-fund/holding-history/8801/87722/"
"TCPL Packaging Ltd","TCPLPACK","523301","Consumer Cyclical","2328767922","2654550000","1.63","629652","","","/mutual-fund/holding-history/8801/2936/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","2363500000","2458750000","1.51","5000000","","","/mutual-fund/holding-history/8801/1504/"
"IFB Industries Ltd","IFBIND","505726","Consumer Cyclical","2815575000","2444575000","1.5","1750000","","","/mutual-fund/holding-history/8801/592/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","2191788680.4","2263141000","1.39","1663218","","","/mutual-fund/holding-history/8801/658068/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","2229141516","2155523000","1.32","1536915","","","/mutual-fund/holding-history/8801/877862/"
