"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","7020225000","7233015000","4.22","6150000","","","/mutual-fund/holding-history/8801/803/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","4992375000","5376750000","3.14","3750000","","","/mutual-fund/holding-history/8801/555688/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","5731950000","5338200000","3.12","7000000","-581455","-7.67","/mutual-fund/holding-history/8801/450809/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","5189969609.4","5243568000","3.06","5671788","-167901","-2.88","/mutual-fund/holding-history/8801/1514/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","4973500000","4864500000","2.84","10000000","","","/mutual-fund/holding-history/8801/302/"
"eClerx Services Ltd","ECLERX","532927","Technology","5157906656","4833743000","2.82","1380596","-76657","-5.26","/mutual-fund/holding-history/8801/356/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","3792500000","4000250000","2.34","2500000","","","/mutual-fund/holding-history/8801/118204/"
"Cyient Ltd","CYIENT","532175","Industrials","3813600000","3865800000","2.26","3000000","","","/mutual-fund/holding-history/8801/301/"
"Dhanuka Agritech Ltd","DHANUKA","507717","Basic Materials","3499400000","3494200000","2.04","2000000","","","/mutual-fund/holding-history/8801/327/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","3421020000","3490940000","2.04","9200000","","","/mutual-fund/holding-history/8801/1419/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3634400000","3404200000","1.99","4000000","450000","12.68","/mutual-fund/holding-history/8801/745/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","3387664000","3224336000","1.88","2320000","","","/mutual-fund/holding-history/8801/642/"
"Atul Ltd","ATUL","500027","Basic Materials","2733562293","3017799000","1.76","403746","","","/mutual-fund/holding-history/8801/129/"
"Thangamayil Jewellery Ltd","THANGAMAYL","533158","Consumer Cyclical","3011027126.4","2983788000","1.74","1602292","14887","0.94","/mutual-fund/holding-history/8801/1384/"
"Aarti Drugs Ltd","AARTIDRUGS","524348","Healthcare","3421769978.25","2920697000","1.71","6374979","15153","0.24","/mutual-fund/holding-history/8801/13/"
"Swaraj Engines Ltd","SWARAJENG","500407","Consumer Cyclical","3233565280.6","2901435000","1.69","734801","","","/mutual-fund/holding-history/8801/1339/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","2748600000","2893800000","1.69","6000000","-789798","-11.63","/mutual-fund/holding-history/8801/1323/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","3110625000","2846700000","1.66","4500000","","","/mutual-fund/holding-history/8801/1121044/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","2785380000","2805400000","1.64","1300000","-200000","-13.33","/mutual-fund/holding-history/8801/2912/"
"Harsha Engineers International Ltd","HARSHA","543600","Industrials","2660346579.55","2770365000","1.62","6529259","2565259","64.71","/mutual-fund/holding-history/8801/1037930/"
"IFB Industries Ltd","IFBIND","505726","Consumer Cyclical","2431800000","2702000000","1.58","1750000","","","/mutual-fund/holding-history/8801/592/"
"Shriram Pistons & Rings Ltd","SHRIPISTON","544344","Consumer Cyclical","2627230950","2678694000","1.56","1081165","","","/mutual-fund/holding-history/8801/87722/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","2422750000","2502750000","1.46","5000000","","","/mutual-fund/holding-history/8801/1504/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","2453490000","2474160000","1.44","260000","","","/mutual-fund/holding-history/8801/1499/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","2736530606.2","2469130000","1.44","911387","","","/mutual-fund/holding-history/8801/888523/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","2496700000","2410050000","1.41","500000","","","/mutual-fund/holding-history/8801/914/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","2337494023.5","2400661000","1.4","1536915","","","/mutual-fund/holding-history/8801/877862/"
"TCPL Packaging Ltd","TCPLPACK","523301","Consumer Cyclical","2359054183.2","2339535000","1.37","629652","","","/mutual-fund/holding-history/8801/2936/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","2285420356.8","2320744000","1.36","1682064","18846","1.13","/mutual-fund/holding-history/8801/658068/"
