"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1120264805","1124018000","2.65","457718","","","/mutual-fund/holding-history/138341/1090/"
"City Union Bank Ltd","CUB","532210","Financial Services","1229959404.4","1122863000","2.65","6359666","596300","10.35","/mutual-fund/holding-history/138341/295/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","1054426476","1058698000","2.5","1611780","","","/mutual-fund/holding-history/138341/555690/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1041056396.31","1001575000","2.36","4590803","","","/mutual-fund/holding-history/138341/721/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1005470455","959216000","2.26","156530","","","/mutual-fund/holding-history/138341/853/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1083023465.15","958519000","2.26","1071929","","","/mutual-fund/holding-history/138341/864/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","895143687.3","952371000","2.25","210627","19812","10.38","/mutual-fund/holding-history/138341/914/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","965889723.15","915042000","2.16","1424301","","","/mutual-fund/holding-history/138341/450809/"
"BSE Ltd","BSE","","Financial Services","341396848","903054000","2.13","142012","","","/mutual-fund/holding-history/138341/52884/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","834104362.7","871259000","2.06","321961","","","/mutual-fund/holding-history/138341/49/"
"KEI Industries Ltd","KEI","517569","Industrials","982648223.2","851947000","2.01","278087","","","/mutual-fund/holding-history/138341/729/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","728367115","794056000","1.87","48265","","","/mutual-fund/holding-history/138341/60393/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","903698448","794039000","1.87","490208","","","/mutual-fund/holding-history/138341/91/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","780969280","769128000","1.82","412600","","","/mutual-fund/holding-history/138341/1424/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","795551806.6","759652000","1.79","471131","","","/mutual-fund/holding-history/138341/665/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","803439014.4","717465000","1.69","634027","","","/mutual-fund/holding-history/138341/2214/"
"Indian Bank","INDIANB","532814","Financial Services","738553275.95","699311000","1.65","1235969","","","/mutual-fund/holding-history/138341/609/"
"Firstsource Solutions Ltd","FSL","532809","Technology","786310287","693133000","1.64","2034438","","","/mutual-fund/holding-history/138341/428/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","724120947.6","668349000","1.58","957452","","","/mutual-fund/holding-history/138341/252/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","766169350.8","660725000","1.56","662547","","","/mutual-fund/holding-history/138341/764/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","747077194.8","651404000","1.54","626953","","","/mutual-fund/holding-history/138341/555688/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","626906313","646642000","1.53","388490","","","/mutual-fund/holding-history/138341/1036/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","679255130.5","646534000","1.53","197947","","","/mutual-fund/holding-history/138341/1498/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","664767538.6","645347000","1.52","638831","638831","New","/mutual-fund/holding-history/138341/4826/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","625533019.2","643380000","1.52","523371","","","/mutual-fund/holding-history/138341/407835/"
