"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"City Union Bank Ltd","CUB","532210","Financial Services","1241915576.48","1244587000","2.72","6359666","","","/mutual-fund/holding-history/138341/295/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1197619147","1159308000","2.53","457718","","","/mutual-fund/holding-history/138341/1090/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","1095285099","1102860000","2.41","1611780","","","/mutual-fund/holding-history/138341/555690/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1131849831.1","1079057000","2.36","1071929","","","/mutual-fund/holding-history/138341/864/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1225238575","1033411000","2.26","156530","","","/mutual-fund/holding-history/138341/853/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1141044085.65","1017735000","2.22","4590803","","","/mutual-fund/holding-history/138341/721/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1026864209.7","1004031000","2.19","554193","63985","13.05","/mutual-fund/holding-history/138341/91/"
"KEI Industries Ltd","KEI","517569","Industrials","1024806212.4","1003950000","2.19","278087","","","/mutual-fund/holding-history/138341/729/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","1103904490.05","1000429000","2.18","1424301","","","/mutual-fund/holding-history/138341/450809/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","950635714.1","934361000","2.04","894211","255380","39.98","/mutual-fund/holding-history/138341/4826/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","950643901.8","897524000","1.96","210627","","","/mutual-fund/holding-history/138341/914/"
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","790470939.8","835219000","1.82","539129","","","/mutual-fund/holding-history/138341/580869/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","836519070.2","808380000","1.76","321961","","","/mutual-fund/holding-history/138341/49/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","846965698","807061000","1.76","537074","82235","18.08","/mutual-fund/holding-history/138341/845/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","859106585","794943000","1.74","634027","","","/mutual-fund/holding-history/138341/2214/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","817506511.2","789757000","1.72","471131","","","/mutual-fund/holding-history/138341/665/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","841245535.4","771089000","1.68","626953","","","/mutual-fund/holding-history/138341/555688/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","823508340","769994000","1.68","412600","","","/mutual-fund/holding-history/138341/1424/"
"BSE Ltd","BSE","","Financial Services","774032417","767318000","1.68","286955","-139081","-32.65","/mutual-fund/holding-history/138341/52884/"
"Indian Bank","INDIANB","532814","Financial Services","781997586.3","762098000","1.66","1235969","","","/mutual-fund/holding-history/138341/609/"
"Firstsource Solutions Ltd","FSL","532809","Technology","788039559.3","755692000","1.65","2034438","","","/mutual-fund/holding-history/138341/428/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","727542860.7","746359000","1.63","662547","","","/mutual-fund/holding-history/138341/764/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","727376284.4","744802000","1.63","957452","","","/mutual-fund/holding-history/138341/252/"
