"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","4401426007","4049007219","3.23","8018630","","","/mutual-fund/holding-history/8298/77534/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4167740814.3","3979335563","3.18","3868691","","","/mutual-fund/holding-history/8298/219/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","3076101184","3217890223","2.57","48064081","","","/mutual-fund/holding-history/8298/325199/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","3174534408.09","3054143722","2.44","13998917","","","/mutual-fund/holding-history/8298/721/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2828399152.6","2686548925","2.14","1387967","","","/mutual-fund/holding-history/8298/318/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","2931853374","2673484379","2.13","1866828","","","/mutual-fund/holding-history/8298/54899/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","2793192179.75","2563879912","2.05","4963469","","","/mutual-fund/holding-history/8298/447071/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2446313657.8","2335920965","1.86","1448723","","","/mutual-fund/holding-history/8298/665/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2463300000","2327370000","1.86","6900000","","","/mutual-fund/holding-history/8298/2020/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","2671594064","2316873613","1.85","3220340","157640","5.15","/mutual-fund/holding-history/8298/1544/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","2256304448","2226041515","1.78","1559945","-200000","-11.36","/mutual-fund/holding-history/8298/584/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","2166007148.9","2120627092","1.69","15488074","","","/mutual-fund/holding-history/8298/81513/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","2383297613.2","2055295352","1.64","2060963","","","/mutual-fund/holding-history/8298/764/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1995887587.5","1994540625","1.59","1036125","","","/mutual-fund/holding-history/8298/533/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","2309087645.75","1960991315","1.56","2432539","","","/mutual-fund/holding-history/8298/752902/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","2575989848.25","1810155029","1.44","3060279","","","/mutual-fund/holding-history/8298/243/"
