"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","4649386098.85","4437924132","3.28","7934783","-83847","-1.05","/mutual-fund/holding-history/8298/77534/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4626567566.9","4233895430","3.13","3868691","","","/mutual-fund/holding-history/8298/219/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","3479430820.35","3103419910","2.29","13998917","","","/mutual-fund/holding-history/8298/721/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","3244806108.31","3057356192","2.26","48064081","","","/mutual-fund/holding-history/8298/325199/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","3449338095.6","2952948530","2.18","1866828","","","/mutual-fund/holding-history/8298/54899/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","2641152017.9","2882575678","2.13","3260279","200000","6.54","/mutual-fund/holding-history/8298/243/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2648796222.8","2813825499","2.08","1387967","","","/mutual-fund/holding-history/8298/318/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","2587704563.15","2781528028","2.05","4963469","","","/mutual-fund/holding-history/8298/447071/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","2832128013","2682704237","1.98","3220340","","","/mutual-fund/holding-history/8298/1544/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2405685000","2435010000","1.8","6900000","","","/mutual-fund/holding-history/8298/2020/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2513824149.6","2428494365","1.79","1448723","","","/mutual-fund/holding-history/8298/665/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","2398855383.2","2357787593","1.74","2256472","1000003","79.59","/mutual-fund/holding-history/8298/4826/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","2157175585.2","2350805690","1.74","2432539","","","/mutual-fund/holding-history/8298/752902/"
"Intellect Design Arena Ltd","INTELLECT","538835","Technology","2368862395.2","2294028412","1.69","1956444","","","/mutual-fund/holding-history/8298/1553/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","2229346148.5","2287003403","1.69","2030185","-30778","-1.49","/mutual-fund/holding-history/8298/764/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","2133637074.24","2157953350","1.59","15488074","","","/mutual-fund/holding-history/8298/81513/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2005316325","2015159513","1.49","1036125","","","/mutual-fund/holding-history/8298/533/"
"Sobha Ltd","SOBHA","532784","Real Estate","2150339227.4","1943265506","1.43","1356082","","","/mutual-fund/holding-history/8298/1261/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1877469368","1936583355","1.43","2286808","","","/mutual-fund/holding-history/8298/685/"
"Syrma SGS Technology Ltd","SYRMA","543573","Technology","1845452082.25","1907952762","1.41","3541115","375000","11.84","/mutual-fund/holding-history/8298/995074/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1869160520.5","1893918481","1.4","1309945","-250000","-16.03","/mutual-fund/holding-history/8298/584/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","1826370348.4","1875778434","1.38","1819819","","","/mutual-fund/holding-history/8298/68/"
"DCB Bank Ltd","DCBBANK","532772","Financial Services","1744348594.05","1793266965","1.32","12199095","","","/mutual-fund/holding-history/8298/311/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","1832752728.3","1788920077","1.32","4214678","","","/mutual-fund/holding-history/8298/623875/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","1849400000","1701600000","1.26","500000","","","/mutual-fund/holding-history/8298/1498/"
"CESC Ltd","CESC","500084","Utilities","1717633220.4","1661862586","1.23","10233144","1500000","17.18","/mutual-fund/holding-history/8298/256/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","1628366018.5","1630672849","1.2","5126290","","","/mutual-fund/holding-history/8298/716755/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1913815922.5","1614182398","1.19","244499","","","/mutual-fund/holding-history/8298/853/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1577675000","1606550000","1.19","2750000","","","/mutual-fund/holding-history/8298/374/"
"Elecon Engineering Co Ltd","ELECON","505700","Industrials","1591148293","1577252320","1.16","2375380","","","/mutual-fund/holding-history/8298/367/"
