"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","4066863290","3508525000","2.38","3518200","72900","2.12","/mutual-fund/holding-history/20566/764/"
"Neuland Laboratories Ltd","NEULANDLAB","524558","Healthcare","2905728109","3134433000","2.13","261377","261377","New","/mutual-fund/holding-history/20566/933/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","3540578706","3059832000","2.08","1595574","","","/mutual-fund/holding-history/20566/253/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","3146571920","3057194000","2.07","15544000","","","/mutual-fund/holding-history/20566/412/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","2622900012","2909852000","1.97","2429736","","","/mutual-fund/holding-history/20566/1253626/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","3294708300","2839852000","1.93","4446300","355900","8.7","/mutual-fund/holding-history/20566/64356/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","2924793900","2789159000","1.89","455150","50216","12.4","/mutual-fund/holding-history/20566/853/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","2511117479.5","2613152000","1.77","2298085","","","/mutual-fund/holding-history/20566/191143/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","2700302832","2598928000","1.76","11912400","","","/mutual-fund/holding-history/20566/721/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","2678342940","2592375000","1.76","2566200","","","/mutual-fund/holding-history/20566/4826/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","2691343007.4","2571111000","1.74","2499622","","","/mutual-fund/holding-history/20566/219/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","2870332878.6","2494914000","1.69","2317401","","","/mutual-fund/holding-history/20566/1873481/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","2846148667.2","2430057000","1.65","2284962","281920","14.07","/mutual-fund/holding-history/20566/118204/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","2356668272.4","2376292000","1.61","4672221","","","/mutual-fund/holding-history/20566/182906/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","2650479840","2361640000","1.6","2086992","50000","2.45","/mutual-fund/holding-history/20566/2214/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","2551485292.4","2317927000","1.57","3565768","","","/mutual-fund/holding-history/20566/1322/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","2589352100","2299225000","1.56","6810500","","","/mutual-fund/holding-history/20566/1398/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","2466295795","2261494000","1.53","842458","","","/mutual-fund/holding-history/20566/1114/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","2236737108.8","2242307000","1.52","913103","","","/mutual-fund/holding-history/20566/1090/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","2304568998","2192207000","1.49","356138","","","/mutual-fund/holding-history/20566/73518/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","1996856800","2178245000","1.48","132400","","","/mutual-fund/holding-history/20566/60393/"
"Sobha Ltd","SOBHA","532784","Real Estate","2061169476","2020068000","1.37","1527924","","","/mutual-fund/holding-history/20566/1261/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","2148088800","1931300000","1.31","2276000","","","/mutual-fund/holding-history/20566/480/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","2168329372","1899907000","1.29","10634800","","","/mutual-fund/holding-history/20566/380/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","2222056102.5","1846761000","1.25","2259450","","","/mutual-fund/holding-history/20566/361/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","1930320000","1797289000","1.22","8043000","2180100","37.18","/mutual-fund/holding-history/20566/54143/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","1820005541.8","1792599000","1.22","961643","","","/mutual-fund/holding-history/20566/1424/"
"KEI Industries Ltd","KEI","517569","Industrials","2062073275.5","1786737000","1.21","583215","","","/mutual-fund/holding-history/20566/729/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","1766107450","1743323000","1.18","3164500","","","/mutual-fund/holding-history/20566/157/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","2458513750","1742286000","1.18","1112500","","","/mutual-fund/holding-history/20566/67/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","1794120585","1718322000","1.17","1325150","269362","25.51","/mutual-fund/holding-history/20566/1527/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","1756666886","1686777000","1.14","1570556","","","/mutual-fund/holding-history/20566/78664/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1814731600","1684166000","1.14","325600","","","/mutual-fund/holding-history/20566/1412/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1596278030.8","1679758000","1.14","3984718","","","/mutual-fund/holding-history/20566/1267/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","1777150320","1674057000","1.14","1335400","-166700","-11.1","/mutual-fund/holding-history/20566/141324/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","1509265062.9","1658355000","1.13","971901","-149399","-13.32","/mutual-fund/holding-history/20566/209/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","1879563890.75","1649604000","1.12","1903645","","","/mutual-fund/holding-history/20566/416/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2172843650","1588731000","1.08","283550","","","/mutual-fund/holding-history/20566/88/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","1582372212","1549441000","1.05","11316400","","","/mutual-fund/holding-history/20566/81513/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1626713254","1547994000","1.05","534049","","","/mutual-fund/holding-history/20566/67548/"
"KEC International Ltd","KEC","532714","Industrials","1893483307.1","1536708000","1.04","2200957","","","/mutual-fund/holding-history/20566/727/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","1529949483","1533883000","1.04","4140594","","","/mutual-fund/holding-history/20566/363/"
"BSE Ltd","BSE","","Financial Services","578883500","1530611000","1.04","240700","","","/mutual-fund/holding-history/20566/52884/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1606282400","1514499000","1.03","284600","-27400","-8.78","/mutual-fund/holding-history/20566/1023/"
"Polycab India Ltd","POLYCAB","542652","Industrials","1626935022","1505436000","1.02","272724","","","/mutual-fund/holding-history/20566/139599/"
"Firstsource Solutions Ltd","FSL","532809","Technology","1705788027","1501711000","1.02","4407721","","","/mutual-fund/holding-history/20566/428/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1598308280","1496483000","1.02","911600","","","/mutual-fund/holding-history/20566/962/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","1414928000","1482341000","1.01","1481600","","","/mutual-fund/holding-history/20566/644314/"
"Aegis Logistics Ltd","AEGISLOG","500003","Energy","1472930106.9","1426524000","0.97","1816302","","","/mutual-fund/holding-history/20566/35/"
"NCC Ltd","NCC","500294","Industrials","1435969334.88","1300017000","0.88","6135048","","","/mutual-fund/holding-history/20566/918/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","1309123746","1296827000","0.88","853962","","","/mutual-fund/holding-history/20566/1587026/"
"PG Electroplast Ltd","PGEL","533581","Technology","1168843270","1289837000","0.88","1527700","","","/mutual-fund/holding-history/20566/1031/"
"Jindal Saw Ltd","JINDALSAW","500378","Basic Materials","1085550496.05","1255967000","0.85","5064383","","","/mutual-fund/holding-history/20566/676/"
"IIFL Finance Ltd","IIFL","532636","Financial Services","1419832483.2","1221274000","0.83","3399982","","","/mutual-fund/holding-history/20566/598/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","1539922735","1212140000","0.82","1506700","665500","79.11","/mutual-fund/holding-history/20566/709/"
"Welspun Living Ltd","WELSPUNLIV","514162","Consumer Cyclical","1385386787.43","1191435000","0.81","9365151","","","/mutual-fund/holding-history/20566/1518/"
"Mahindra Lifespace Developers Ltd","MAHLIFE","532313","Real Estate","1156491065.6","1170549000","0.79","3428672","","","/mutual-fund/holding-history/20566/818/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1240068060.6","1169853000","0.79","693822","","","/mutual-fund/holding-history/20566/496/"
"eClerx Services Ltd","ECLERX","532927","Technology","1577359872","1168616000","0.79","464640","","","/mutual-fund/holding-history/20566/356/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","1327996296","1146296000","0.78","20324400","5351500","35.74","/mutual-fund/holding-history/20566/1337/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","1160864818.5","1115020000","0.76","194011","194011","New","/mutual-fund/holding-history/20566/1124672/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","1079058235.5","1092800000","0.74","207891","","","/mutual-fund/holding-history/20566/1311/"
"Cera Sanitaryware Ltd","CERA","532443","Industrials","1279984608","1064072000","0.72","198632","","","/mutual-fund/holding-history/20566/254/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","1344675055.51","1044189000","0.71","5984579","","","/mutual-fund/holding-history/20566/417/"
"PTC Industries Ltd","PTCIL","539006","Industrials","1268396256","1031913000","0.7","80656","","","/mutual-fund/holding-history/20566/4156/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","1196442432","995822000","0.68","449520","","","/mutual-fund/holding-history/20566/888523/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","950743560","972726000","0.66","951600","","","/mutual-fund/holding-history/20566/238/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","1070000464","946410000","0.64","556712","","","/mutual-fund/holding-history/20566/1769/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","1236902388","862159000","0.59","1457580","","","/mutual-fund/holding-history/20566/243/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","885624600","850248000","0.58","606800","308800","103.62","/mutual-fund/holding-history/20566/642/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","881112684","840538000","0.57","1200426","331452","38.14","/mutual-fund/holding-history/20566/1110875/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","798126784","828985000","0.56","4640272","880572","23.42","/mutual-fund/holding-history/20566/616664/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","886917870","808955000","0.55","2299800","","","/mutual-fund/holding-history/20566/404/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","913143309.6","768115000","0.52","217043","","","/mutual-fund/holding-history/20566/1324/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","814687014","765150000","0.52","13722200","","","/mutual-fund/holding-history/20566/856676/"
"Indo Count Industries Ltd","ICIL","521016","Consumer Cyclical","793319400","752788000","0.51","2471400","","","/mutual-fund/holding-history/20566/585/"
