"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2879213283","3475479000","2.16","1595574","","","https://trendlyne.com/mutual-fund/holding-history/20566/253/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","3570212490","3403398000","2.12","2414100","129138","5.65","https://trendlyne.com/mutual-fund/holding-history/20566/118204/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","3037045050","3348240000","2.08","2972250","-545950","-15.52","https://trendlyne.com/mutual-fund/holding-history/20566/764/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","3851162745","3294486000","2.05","4446300","","","https://trendlyne.com/mutual-fund/holding-history/20566/64356/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","3940940800","3163678000","1.97","479200","24050","5.28","https://trendlyne.com/mutual-fund/holding-history/20566/853/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","3104292240","3140821000","1.96","15544000","","","https://trendlyne.com/mutual-fund/holding-history/20566/412/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","2192261346","3002425000","1.87","2317401","","","https://trendlyne.com/mutual-fund/holding-history/20566/1873481/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","2074644390","2681422000","1.67","2566200","","","https://trendlyne.com/mutual-fund/holding-history/20566/4826/"
"Neuland Laboratories Ltd","NEULANDLAB","524558","Healthcare","3164589230","2658458000","1.66","231110","-30267","-11.58","https://trendlyne.com/mutual-fund/holding-history/20566/933/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","3090672180","2640860000","1.64","11912400","","","https://trendlyne.com/mutual-fund/holding-history/20566/721/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","2711099428.8","2620956000","1.63","2429736","","","https://trendlyne.com/mutual-fund/holding-history/20566/1253626/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","2647558051.2","2616671000","1.63","2086992","","","https://trendlyne.com/mutual-fund/holding-history/20566/2214/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","3292876750","2574028000","1.6","6810500","","","https://trendlyne.com/mutual-fund/holding-history/20566/1398/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","2948355270.8","2547920000","1.59","3565768","","","https://trendlyne.com/mutual-fund/holding-history/20566/1322/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","3104320000","2493558000","1.55","1112500","","","https://trendlyne.com/mutual-fund/holding-history/20566/67/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","2066554336","2440474000","1.52","10634800","","","https://trendlyne.com/mutual-fund/holding-history/20566/380/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","2018360876.4","2391738000","1.49","842458","","","https://trendlyne.com/mutual-fund/holding-history/20566/1114/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","2757311223.15","2367648000","1.47","4672221","","","https://trendlyne.com/mutual-fund/holding-history/20566/182906/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","2587277350.5","2312707000","1.44","913103","","","https://trendlyne.com/mutual-fund/holding-history/20566/1090/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","2621887956","2311870000","1.44","356138","","","https://trendlyne.com/mutual-fund/holding-history/20566/73518/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","2007868518.6","2297826000","1.43","2099622","-400000","-16","https://trendlyne.com/mutual-fund/holding-history/20566/219/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","1755592600","2255175000","1.4","2276000","","","https://trendlyne.com/mutual-fund/holding-history/20566/480/"
"Sobha Ltd","SOBHA","532784","Real Estate","2300442374.4","2189515000","1.36","1527924","","","https://trendlyne.com/mutual-fund/holding-history/20566/1261/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","2611246365","2146816000","1.34","2259450","","","https://trendlyne.com/mutual-fund/holding-history/20566/361/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2044936800","1986307000","1.24","244800","-38750","-13.67","https://trendlyne.com/mutual-fund/holding-history/20566/88/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","2234382400","1945221000","1.21","132400","","","https://trendlyne.com/mutual-fund/holding-history/20566/60393/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","1969967990","1941742000","1.21","1325150","","","https://trendlyne.com/mutual-fund/holding-history/20566/1527/"
"KEI Industries Ltd","KEI","517569","Industrials","2143487280","1941205000","1.21","537700","-45515","-7.8","https://trendlyne.com/mutual-fund/holding-history/20566/729/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","1724338770","1940293000","1.21","8043000","","","https://trendlyne.com/mutual-fund/holding-history/20566/54143/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","1996561000","1925560000","1.2","322000","127989","65.97","https://trendlyne.com/mutual-fund/holding-history/20566/1124672/"
"eClerx Services Ltd","ECLERX","532927","Technology","2167581003.3","1924306000","1.2","543267","78627","16.92","https://trendlyne.com/mutual-fund/holding-history/20566/356/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","1847276875","1868004000","1.16","3164500","","","https://trendlyne.com/mutual-fund/holding-history/20566/157/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","1593731594","1853770000","1.15","1903645","","","https://trendlyne.com/mutual-fund/holding-history/20566/416/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1775496800","1837524000","1.14","325600","","","https://trendlyne.com/mutual-fund/holding-history/20566/1412/"
"KEC International Ltd","KEC","532714","Industrials","1805555074.95","1832077000","1.14","2200957","","","https://trendlyne.com/mutual-fund/holding-history/20566/727/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1563903998.25","1831240000","1.14","1747867","-550218","-23.94","https://trendlyne.com/mutual-fund/holding-history/20566/191143/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","1852957320","1817901000","1.13","2056100","598520","41.06","https://trendlyne.com/mutual-fund/holding-history/20566/243/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","1790194608.8","1794618000","1.12","961643","","","https://trendlyne.com/mutual-fund/holding-history/20566/1424/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","1621976840","1786498000","1.11","1335400","","","https://trendlyne.com/mutual-fund/holding-history/20566/141324/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","2118056073.5","1786424000","1.11","2205734","2205734","New","https://trendlyne.com/mutual-fund/holding-history/20566/879/"
"Firstsource Solutions Ltd","FSL","532809","Technology","1633721788.65","1637248000","1.02","4407721","","","https://trendlyne.com/mutual-fund/holding-history/20566/428/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","1458004172.1","1635453000","1.02","1460487","-110069","-7.01","https://trendlyne.com/mutual-fund/holding-history/20566/78664/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1698275820","1635311000","1.02","534049","","","https://trendlyne.com/mutual-fund/holding-history/20566/67548/"
