"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2551017402","2600157000","3.42","223362","-71380","-24.22","/mutual-fund/holding-history/9129/1443/"
"Larsen & Toubro Ltd","LT","500510","Industrials","2768485720","2541074000","3.34","760573","143959","23.35","/mutual-fund/holding-history/9129/800/"
"Atul Ltd","ATUL","500027","Basic Materials","2102722704","2017202000","2.65","299022","794","0.27","/mutual-fund/holding-history/9129/129/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","2039641004.4","1896703000","2.49","2265261","319110","16.4","/mutual-fund/holding-history/9129/1355/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","2008836971.22","1812574000","2.38","13629398","","","/mutual-fund/holding-history/9129/487/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","1921925288","1766864000","2.32","347671","","","/mutual-fund/holding-history/9129/858/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1778279191.8","1731339000","2.28","597962","90044","17.73","/mutual-fund/holding-history/9129/297/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","1750064399.6","1727737000","2.27","5316113","","","/mutual-fund/holding-history/9129/502/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","1735792924.5","1483932000","1.95","184649","","","/mutual-fund/holding-history/9129/456/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1854376955","1451206000","1.91","159482","","","/mutual-fund/holding-history/9129/1309/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","1562146776.2","1378212000","1.81","360091","","","/mutual-fund/holding-history/9129/540/"
"Jamna Auto Industries Ltd","JAMNAAUTO","520051","Consumer Cyclical","1584754973.58","1374095000","1.81","17154741","5799530","51.07","/mutual-fund/holding-history/9129/660/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","1448431031.1","1285835000","1.69","2643846","190980","7.79","/mutual-fund/holding-history/9129/473/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","1150539428.5","1154278000","1.52","3115882","244259","8.51","/mutual-fund/holding-history/9129/363/"
"SKF India Ltd","SKFINDIA","500472","Industrials","1298824395.2","1100201000","1.45","283141","74444","35.67","/mutual-fund/holding-history/9129/1251/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1156368450.2","1091504000","1.44","647354","","","/mutual-fund/holding-history/9129/496/"
"Pfizer Ltd","PFIZER","500680","Healthcare","1259017734.4","997621000","1.31","232394","","","/mutual-fund/holding-history/9129/1027/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1002918876","981306000","1.29","198645","","","/mutual-fund/holding-history/9129/2638456/"
"Gujarat Alkalies & Chemicals Ltd","GUJALKALI","530001","Basic Materials","959740355.7","965158000","1.27","1593459","","","/mutual-fund/holding-history/9129/510/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1061321971.5","952737000","1.25","1226253","","","/mutual-fund/holding-history/9129/685/"
"CESC Ltd","CESC","500084","Utilities","981168211.9","931603000","1.23","5858770","-521015","-8.17","/mutual-fund/holding-history/9129/256/"
"Gujarat State Fertilizers & Chemicals Ltd","GSFC","500690","Basic Materials","986343650.88","897777000","1.18","4823904","","","/mutual-fund/holding-history/9129/499/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","907839678.5","866076000","1.14","141331","","","/mutual-fund/holding-history/9129/853/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","1088388635.4","820666000","1.08","774213","","","/mutual-fund/holding-history/9129/198/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","792045403.6","810602000","1.07","792997","","","/mutual-fund/holding-history/9129/238/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","802718274","752403000","0.99","200379","","","/mutual-fund/holding-history/9129/631/"
"FDC Ltd","FDC","531599","Healthcare","791882541.5","725533000","0.95","1723357","61806","3.72","/mutual-fund/holding-history/9129/410/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","697661700.95","722281000","0.95","1790483","","","/mutual-fund/holding-history/9129/1132/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","768388404","696932000","0.92","1072120","120427","12.65","/mutual-fund/holding-history/9129/1322/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","743299545.6","685946000","0.9","11470672","","","/mutual-fund/holding-history/9129/852172/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","818944536","679601000","0.89","528215","","","/mutual-fund/holding-history/9129/612873/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","728514000","670816000","0.88","323784","","","/mutual-fund/holding-history/9129/74800/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","724312663.4","650638000","0.86","2038021","","","/mutual-fund/holding-history/9129/622855/"
"Cyient Ltd","CYIENT","532175","Industrials","727527892","641584000","0.84","540190","65000","13.68","/mutual-fund/holding-history/9129/301/"
"Andhra Paper Ltd","ANDHRAPAP","502330","Basic Materials","684089820.54","636552000","0.84","8550054","","","/mutual-fund/holding-history/9129/641/"
"JM Financial Ltd","JMFINANCIL","523405","Financial Services","751953140.56","623904000","0.82","6144412","","","/mutual-fund/holding-history/9129/689/"
"Kansai Nerolac Paints Ltd","KANSAINER","500165","Basic Materials","606579906.7","606863000","0.8","2359774","25986","1.11","/mutual-fund/holding-history/9129/718/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","633866659.85","604946000","0.8","3178073","","","/mutual-fund/holding-history/9129/63143/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","614862779.2","604023000","0.79","154628","","","/mutual-fund/holding-history/9129/297909/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","689046155.6","599131000","0.79","172516","-53537","-23.68","/mutual-fund/holding-history/9129/406/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","687181446","580287000","0.76","1283252","","","/mutual-fund/holding-history/9129/489/"
"Mold-tek Packaging Ltd","MOLDTKPAC","533080","Consumer Cyclical","716991460.05","570563000","0.75","1126371","","","/mutual-fund/holding-history/9129/1577/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","590924709.9","533813000","0.7","2010974","","","/mutual-fund/holding-history/9129/1717/"
"ICRA Ltd","ICRA","532835","Financial Services","605467889","518733000","0.68","93314","","","/mutual-fund/holding-history/9129/586/"
"Sagar Cements Ltd","SAGCEM","502090","Basic Materials","583872903.36","514927000","0.68","2418294","-19887","-0.82","/mutual-fund/holding-history/9129/1163/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","479931717.5","510289000","0.67","236245","-10082","-4.09","/mutual-fund/holding-history/9129/1437/"
"GHCL Ltd","GHCL","500171","Basic Materials","551100248.65","506367000","0.67","869449","","","/mutual-fund/holding-history/9129/453/"
"DLF Ltd","DLF","532868","Real Estate","574364451.25","500347000","0.66","742025","742025","New","/mutual-fund/holding-history/9129/337/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","495629520","495780000","0.65","214800","","","/mutual-fund/holding-history/9129/149049/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","540207136.3","486139000","0.64","1197533","","","/mutual-fund/holding-history/9129/816/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","489920132.13","483736000","0.64","2082197","-181000","-8","/mutual-fund/holding-history/9129/94299/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","533954984.5","470119000","0.62","1116010","195000","21.17","/mutual-fund/holding-history/9129/14/"
"Camlin Fine Sciences Ltd","CAMLINFINE","532834","Basic Materials","674045938.54","446473000","0.59","2744822","-462347","-14.42","/mutual-fund/holding-history/9129/1559/"
