"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Larsen & Toubro Ltd","LT","500510","Industrials","2705460745.1","2740055000","3.32","745573","-15000","-1.97","/mutual-fund/holding-history/9129/800/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2567546190","2503888000","3.03","223362","","","/mutual-fund/holding-history/9129/1443/"
"Atul Ltd","ATUL","500027","Basic Materials","2168956077","2133971000","2.59","299022","","","/mutual-fund/holding-history/9129/129/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","2183293265.62","2128230000","2.58","13629398","","","/mutual-fund/holding-history/9129/487/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","2139804137.35","2027369000","2.46","2285261","20000","0.88","/mutual-fund/holding-history/9129/1355/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","2054040268","1998413000","2.42","347671","","","/mutual-fund/holding-history/9129/858/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1977819111.2","1954200000","2.37","597962","","","/mutual-fund/holding-history/9129/297/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1735007000","1862727000","2.26","157000","-2482","-1.56","/mutual-fund/holding-history/9129/1309/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","1871694588.5","1739948000","2.11","184649","","","/mutual-fund/holding-history/9129/456/"
"Jamna Auto Industries Ltd","JAMNAAUTO","520051","Consumer Cyclical","1631905072.22","1701599000","2.06","18437522","1282781","7.48","/mutual-fund/holding-history/9129/660/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","1663090700.25","1660313000","2.01","5049615","-266498","-5.01","/mutual-fund/holding-history/9129/502/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","1632811824","1612161000","1.95","374112","14021","3.89","/mutual-fund/holding-history/9129/540/"
"SKF India Ltd","SKFINDIA","500472","Industrials","1306327631.7","1329630000","1.61","283141","","","/mutual-fund/holding-history/9129/1251/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","1321110192.75","1311801000","1.59","2449903","-193943","-7.34","/mutual-fund/holding-history/9129/473/"
"Pfizer Ltd","PFIZER","500680","Healthcare","1364849962","1304497000","1.58","232394","","","/mutual-fund/holding-history/9129/1027/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","1154984020.3","1188590000","1.44","3215882","100000","3.21","/mutual-fund/holding-history/9129/363/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1131380585.8","1163036000","1.41","647354","","","/mutual-fund/holding-history/9129/496/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","1052155467","1064078000","1.29","774213","","","/mutual-fund/holding-history/9129/198/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1010109825","1046581000","1.27","198645","","","/mutual-fund/holding-history/9129/2638456/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1006753713","1038452000","1.26","1226253","","","/mutual-fund/holding-history/9129/685/"
"Gujarat State Fertilizers & Chemicals Ltd","GSFC","500690","Basic Materials","979590185.28","964443000","1.17","4823904","","","/mutual-fund/holding-history/9129/499/"
