"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Larsen & Toubro Ltd","LT","500510","Industrials","2594874532.8","2748563000","3.21","748968","3395","0.46","/mutual-fund/holding-history/9129/800/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2781303624","2701117000","3.15","223362","","","/mutual-fund/holding-history/9129/1443/"
"Atul Ltd","ATUL","500027","Basic Materials","2024528451","2235040000","2.61","299022","","","/mutual-fund/holding-history/9129/129/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","2203055892.72","2201420000","2.57","13629398","","","/mutual-fund/holding-history/9129/487/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","2199906501.65","2140490000","2.5","2285261","","","/mutual-fund/holding-history/9129/1355/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","2039090415","2044479000","2.39","347671","","","/mutual-fund/holding-history/9129/858/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","2145128878.8","2032712000","2.37","597962","","","/mutual-fund/holding-history/9129/297/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","2040740748","2014428000","2.35","184649","","","/mutual-fund/holding-history/9129/456/"
"Jamna Auto Industries Ltd","JAMNAAUTO","520051","Consumer Cyclical","1786511183.01","1753191000","2.05","18511151","73629","0.4","/mutual-fund/holding-history/9129/660/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1905666000","1719935000","2.01","157000","","","/mutual-fund/holding-history/9129/1309/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","1677734583.75","1664101000","1.94","5049615","","","/mutual-fund/holding-history/9129/502/"
"SKF India Ltd","SKFINDIA","500472","Industrials","1678466446","1630326000","1.9","338537","55396","19.56","/mutual-fund/holding-history/9129/1251/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","1624543948.8","1585150000","1.85","374112","","","/mutual-fund/holding-history/9129/540/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","1336422086.5","1354796000","1.58","2449903","","","/mutual-fund/holding-history/9129/473/"
"Pfizer Ltd","PFIZER","500680","Healthcare","1230177639","1319417000","1.54","232394","","","/mutual-fund/holding-history/9129/1027/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1393739353.3","1243218000","1.45","1382198","155945","12.72","/mutual-fund/holding-history/9129/685/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","1223160718.7","1187786000","1.39","3215882","","","/mutual-fund/holding-history/9129/363/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1019300000","1139200000","1.33","200000","1355","0.68","/mutual-fund/holding-history/9129/2638456/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1148276525.2","1119405000","1.31","647354","","","/mutual-fund/holding-history/9129/496/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","979190452.5","1046610000","1.22","1209325","-8426","-0.69","/mutual-fund/holding-history/9129/1322/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","1134686572.8","1039304000","1.21","774213","","","/mutual-fund/holding-history/9129/198/"
"Gujarat State Fertilizers & Chemicals Ltd","GSFC","500690","Basic Materials","971727221.76","985138000","1.15","4823904","","","/mutual-fund/holding-history/9129/499/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","896885000","983840000","1.15","110000","-31331","-22.17","/mutual-fund/holding-history/9129/853/"
"Gujarat Alkalies & Chemicals Ltd","GUJALKALI","530001","Basic Materials","968317418.85","967511000","1.13","1613459","","","/mutual-fund/holding-history/9129/510/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","988836471","942966000","1.1","243346","42967","21.44","/mutual-fund/holding-history/9129/631/"
"FDC Ltd","FDC","531599","Healthcare","932583235.5","926879000","1.08","1901291","","","/mutual-fund/holding-history/9129/410/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","868280000","866390000","1.01","1400000","243858","21.09","/mutual-fund/holding-history/9129/790/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","795703076","850849000","0.99","528215","","","/mutual-fund/holding-history/9129/612873/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","823594960.1","839770000","0.98","320927","-2857","-0.88","/mutual-fund/holding-history/9129/74800/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","777785815.2","788976000","0.92","1790483","","","/mutual-fund/holding-history/9129/1132/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","776938810.75","765599000","0.89","792997","","","/mutual-fund/holding-history/9129/238/"
