"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PG Electroplast Ltd","PGEL","533581","Technology","613365190","676770000","2.95","801575","-34725","-4.15","/mutual-fund/holding-history/182450/1031/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","574415064","547990000","2.39","89424","","","/mutual-fund/holding-history/182450/853/"
"Ami Organics Ltd","AMIORG","543349","Basic Materials","556583632.8","539038000","2.35","476772","","","/mutual-fund/holding-history/182450/644637/"
"BSE Ltd","BSE","","Financial Services","181151016","479176000","2.09","75354","-2682","-3.44","/mutual-fund/holding-history/182450/52884/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","467458915.83","449731000","1.96","2061379","-106639","-4.92","/mutual-fund/holding-history/182450/721/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","439321355","440793000","1.92","179498","","","/mutual-fund/holding-history/182450/1090/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","399657677.4","435008000","1.9","237411","3901","1.67","/mutual-fund/holding-history/182450/1316/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","495466171.2","418133000","1.82","136752","-2376","-1.71","/mutual-fund/holding-history/182450/305195/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","494131330","409610000","1.79","31097","542","1.77","/mutual-fund/holding-history/182450/1263/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","369201315","402498000","1.75","24465","-1284","-4.99","/mutual-fund/holding-history/182450/60393/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","421937049.6","376787000","1.64","332968","-9748","-2.84","/mutual-fund/holding-history/182450/2214/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","322781165.6","358194000","1.56","299093","","","/mutual-fund/holding-history/182450/1253626/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","387864266.9","356808000","1.56","706621","","","/mutual-fund/holding-history/182450/77534/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","365472552.88","355004000","1.55","1804981","","","/mutual-fund/holding-history/182450/412/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","347947912.8","333765000","1.46","257396","","","/mutual-fund/holding-history/182450/1527/"
"Saregama India Ltd","SAREGAMA","532163","Communication Services","349011365.3","327103000","1.43","624182","","","/mutual-fund/holding-history/182450/1185/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","321263881.8","322565000","1.41","491079","","","/mutual-fund/holding-history/182450/555690/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","290994405.3","320069000","1.4","187581","12304","7.02","/mutual-fund/holding-history/182450/209/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","309414571.2","318242000","1.39","258881","-40417","-13.5","/mutual-fund/holding-history/182450/407835/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","331564725","313096000","1.36","244625","13454","5.82","/mutual-fund/holding-history/182450/317/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","331036422.6","312067000","1.36","248937","22048","9.72","/mutual-fund/holding-history/182450/141324/"
